,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,,762.88,b'stride0001',b'stride0001',b'stride0001',b'stance0000',1060.9523118302204,241.33463049616302,56.744171944836964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,762.88,b'stride0001',b'stride0001',b'stride0001',b'stance0000',1060.9523118302204,241.33463049616302,56.744171944836964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,3333.95,b'stride0001',b'stride0001',b'stride0001',b'stance0000',1060.9523118302204,241.33463049616302,56.744171944836964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,2058.52,b'stride0001',b'stride0001',b'stride0001',b'stance0000',1060.9523118302204,241.33463049616302,56.744171944836964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,2471.77,b'stride0001',b'stride0001',b'stride0001',b'stride0001',1060.9523118302204,241.33463049616302,56.744171944836964,544.0758966352863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DOWN,,4995.51,b'stride0001',b'stride0001',b'stride0001',b'stride0001',1060.9523118302204,241.33463049616302,56.744171944836964,544.0758966352863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DOWN,,4136.82,b'stride0001',b'stride0001',b'stride0001',b'stride0001',1060.9523118302204,241.33463049616302,56.744171944836964,544.0758966352863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DOWN,,5584.93,b'stride0001',b'stride0001',b'stride0001',b'stance0001',1060.9523118302204,241.33463049616302,56.744171944836964,,,,,,,,,,,,,,,,,,,,,,,127.05272478626794,,,,169.6085050403741,,,,,,,,,,,,,,
8,DOWN,,4943.47,b'stride0001',b'stride0001',b'stride0001',b'stride0002',1060.9523118302204,241.33463049616302,56.744171944836964,1271.7284947462942,,,,,,,,,,,,,,,,,,,,,163.06834694526077,102.49493913403575,,,137.41699254818997,154.52082673385382,,,,,,,,,,,,,,
9,DOWN,32.79876613533147,7061.975,b'stride0001',b'stride0001',b'stride0001',b'stride0002',1060.9523118302204,241.33463049616302,56.744171944836964,1271.7284947462942,,,,,,,,,,,,,,,,,,,,,,129.24582839606109,,,,178.69451668834822,,,,,,,,,,,,,,
