,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,1.3020052355383014,,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.0623005621096513,,,,65.86356864705893,,,,,,,,,,,,,,,,,137.5261141570161,138.10348153716527,151.34660230110435,137.94846434349222,97.6449911519099,,,28.169400476936175,,,,,,,,,,,,
1,DOWN,1.8022332886002508,,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.0623005621096513,,,,66.18871775171097,,,,,,,,,,,,,,,,,138.9667177573661,135.9709538510899,153.7672676996457,137.89498699962257,97.76064525313272,89.1468759600787,,,,,,,,,,,,,,
2,DOWN,1.5470860467840906,,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,137.6775173181676,138.21586307021374,154.08631082895866,139.72043574714735,97.16264553547734,89.30931297312158,,,,,,,,,,,,,,
3,DOWN,2.018878807190701,,b'stance0000',b'stance0000',b'stance0000',b'stride0002',,,,0.0,,,,64.30164357587218,,,,,,,,,,,,,,,,,134.61591321498034,137.59391544277017,145.95171715462757,138.22337108141463,95.79870768532913,89.65802385956988,,,,,,,,,,,,,,
4,DOWN,2.1187310782098563,,b'stride0001',b'stance0000',b'stance0000',b'stance0002',,1.226742011498225,,,108.11653801888134,,,,,,,,,,,,,,,,,,,,135.01995549959923,138.65804675358086,,136.96947624968314,95.62643267093102,91.76039667627516,,,,,,,,,,,,,,
5,DOWN,2.4815930285067074,,b'stride0001',b'stride0001',b'stance0000',b'stance0002',1.7854967898511165,1.226742011498225,,,109.06937477057329,129.913298223629,,,,,,,,,,,,,,,,,,,130.90161426413508,,,136.86194062269897,94.42129518625791,,,,,,,,,,,,,,,
6,DOWN,2.7496377336651365,,b'stance0001',b'stride0001',b'stride0001',b'stance0002',1.7854967898511165,,0.0,,,132.59921864505628,123.19821558502538,,,,,,,,,,,,,,,,,,132.39503561421435,133.26294305900484,,135.35016553138925,95.05429374368063,91.47617164509101,,,,,,,,,,,,,,
7,DOWN,3.051595636399231,,b'stride0002',b'stance0001',b'stance0001',b'stride0003',,10.20935097075966,,1.2458669208824178,110.31868368447648,,,63.151436648309144,,,,,,,,,,,,,,,,,129.2724230966308,134.40960672245347,,135.50512978337463,92.58067313713622,89.57310718775142,,82.59808040176985,,,,,,,,,,,,
8,DOWN,3.173993629421744,,b'stride0002',b'stance0001',b'stride0002',b'stride0003',,10.20935097075966,9.666363580187356,1.2458669208824178,112.42024682683817,,123.44422070124936,60.19007935732119,,,,,,,,,,,,,,,,,,134.02838526924472,,132.86781887569765,,88.47393360183129,,75.38043225962014,,,,,,,,,,,,
9,DOWN,2.9848531720105975,,b'stride0002',b'stance0001',b'stride0002',b'stance0003',,10.20935097075966,9.666363580187356,,112.01833640476306,,122.76214568021902,,,,,,,,,,,,,,,,,,,131.62840663559774,,136.6203973674697,,86.91082930106509,,,,,,,,,,,,,,
