,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,,78.08,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,1.2724638171833094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,78.08,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,1.2724638171833094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,317.24,b'stance0000',b'stance0000',b'stance0001',b'stride0001',,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,124.515,b'stance0000',b'stance0000',b'stance0001',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,13.567926809564042,116.515,b'stance0000',b'stance0000',b'stance0001',b'stride0002',,,,6.805226069559027,,,,,,,,,,,,,,,,1.4853127329325133,,,,,,,,172.59189879028662,,,,,,,,,,,,,,,,
6,UP,14.211503524989377,,b'stance0000',b'stance0000',b'stance0001',b'stride0002',,,,6.805226069559027,,,,,,,,,,,,,,,,1.4853127329325133,,,,,,,,173.65741293844846,,,,,,,,,,,,,,,,
7,UP,,123.87,b'stance0000',b'stride0001',b'stride0002',b'stride0002',1.6718583443181902,,0.3101789361094175,6.805226069559027,,,,,,,,,,,,,,,,1.4853127329325133,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,,,b'stance0000',b'stride0001',b'stride0002',b'stride0002',1.6718583443181902,,0.3101789361094175,6.805226069559027,,,,,,,,,,,,,,,,1.4853127329325133,,,,,,,,,,,,,,,,,,,,,,,,
9,UP,,,b'stance0000',b'stance0001',b'stride0002',b'stride0002',,,0.3101789361094175,6.805226069559027,,,,,,,,,,,,,,,,1.4853127329325133,,,,,,,,,,,,,,,,,,,,,,,,
