,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,1.8106464210117938,276.34000000000003,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,132.8849186461794,178.25806222365568,175.35594348123308,146.5728806410549,148.74570627128134,97.58211446332513,101.74218356853011,76.78502039407883,,,,,,,,,,,,
1,UP,0.6867810056223557,276.34000000000003,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,133.18226067281108,179.11257897570613,170.92977967637162,141.66233651171297,148.70569632737545,97.52894661254732,105.4464019536469,73.51341084205602,,,,,,,,,,,,
2,UP,0.17118341664570022,244.675,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,135.64969952675838,177.15189410724182,168.91751967895877,144.69870194558774,148.30330738237143,97.36637599318819,108.5008873676685,72.32548801723438,,,,,,,,,,,,
3,UP,0.8795831666618653,336.295,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.2558121327492129,,,,36.364224153389074,,,,,,,,,,,,,,,,,132.48052567626235,178.21840103011212,169.4785779104047,143.888372272454,147.68156408026277,93.51269799469658,109.30474886629091,69.74700112743868,,,,,,,,,,,,
4,UP,1.780090840879884,366.71,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.2558121327492129,,,,35.162938524242435,,,,,,,,,,,,,,,,,135.11353952716206,178.8049738525074,169.67700014468386,140.831211370346,145.6644772399011,92.703970257301,110.28382750302781,66.083424374856,,,,,,,,,,,,
5,UP,2.2433100186174726,273.03499999999997,b'stance0000',b'stance0000',b'stride0001',b'stance0001',,,1.0636310889858207,,,,96.48040444014629,,,,,,,,,,,,,,,,,,134.38675996489417,179.01209111282952,165.62715874233447,140.7794709525811,146.35033609767405,91.71580376148394,108.95062761617949,63.97141305100608,,,,,,,,,,,,
6,UP,2.4664604692785312,301.225,b'stance0000',b'stance0000',b'stride0001',b'stride0002',,,1.0636310889858207,0.0,,,97.627303536645,37.68053727384836,,,,,,,,,,,,,,,,,132.7407381581838,178.80130835845932,170.28814171045497,146.93287450047984,146.27277046768043,90.47317801312327,111.78949374705459,66.1501182871383,,,,,,,,,,,,
7,UP,3.1332129829593285,194.605,b'stride0001',b'stance0000',b'stance0001',b'stance0002',,0.0,,,151.6825106668665,,,,,,,,,,,,,,,,,,,,131.37684566712667,177.36779299766158,170.8319667885081,146.89785614933993,140.82681119226402,88.35369567014227,111.15691856054353,61.19886071478186,,,,,,,,,,,,
8,UP,3.274473046008265,532.21,b'stance0001',b'stance0000',b'stance0001',b'stance0002',,,,,,,,,42.165377403379246,,,,,,,,,,,,,,,,131.4247972353151,179.45476748998402,161.14663565188903,147.26719865613165,142.31562307901078,89.92881042151777,113.88519351291589,56.842344036918405,54.065084954078806,23.19618810967071,20.428857136797294,,,,,,,,,
9,UP,3.775883503317464,407.36,b'stance0001',b'stance0000',b'stride0002',b'stride0003',,,0.0,1.534386971394459,,,96.98430116242879,37.03511650209081,42.165377403379246,,,,,,,,,,,,,,,,129.83859050546732,176.17600076337973,166.69540774840152,146.53457118611166,145.54054717676902,84.80033205158192,116.52221934069556,57.61941059837015,54.065084954078806,23.19618810967071,20.428857136797294,,,,,,,,,
