,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'DOWN',8.892583343452031,159.085,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.376387401457817,,,,97.23110988185397,,,,,,,,1.8809738608934623,,,,0.34301757691354096,,,,0.0,121.7471749201674,147.2175468235921,143.9302488695281,176.74746294407916,125.25154247198003,83.16286565059052,,113.8869828450817,32.82972610571495,21.91059249743137,31.866385131121206,52.270858533404734,46.582971811980734,47.50569354561446,37.93720250560246,41.4081016753684,64.94919884721712,39.55415756813813,12.6402573690976,89.84243574615553,15.487575340643371,26.85200854879997,25.24835434325138,23.85041460096215
1,b'DOWN',8.75505542922096,159.085,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,1.376387401457817,,,,99.11208374274743,,,,,,,,1.8809738608934623,,,,0.34301757691354096,,,,0.0,121.28967776347375,144.41076632198676,145.97998707512195,179.35379142947707,124.70026452970444,77.1139163176016,,113.80085369026337,31.052041470350463,20.660174745887847,30.36019242736517,53.42021325015084,46.77749814276134,48.178816728568016,37.954735314626234,39.37246113100644,63.72306201614857,39.79031660869843,11.674404790542775,87.82861170818524,8.83522246810522,23.39940218350999,24.215417961135238,25.032224954679855
2,b'DOWN',8.126231940087735,261.045,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,112.02040229026171,,,,,,,,,,,,,121.81332333263344,144.08639199309056,140.64696225637965,177.0241339909663,126.29976495051885,77.28502372434129,,114.84369229263335,31.2555476812678,20.928238573789667,31.34749248016541,52.225441997985854,47.07986269394233,47.46766620292204,38.44849068735933,39.86400889391258,62.69468276887542,40.56697093261221,11.748489161696574,88.42866582540033,11.95588491020356,23.63388692293363,24.087702101991837,24.485655351478062
3,b'DOWN',7.838215628515599,275.46500000000003,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,112.02040229026171,,,,,,,,,,,,,120.59598467398486,144.22416307888398,142.54990122712363,177.45456493938596,123.67142411266954,75.6467882176109,,113.29042201254143,31.6434080575911,20.44626621472249,33.644114909376036,51.28351211089274,47.98982086951424,51.92037146100343,34.68650500988252,39.14114065946414,60.51680839817499,45.82762736636389,13.49076236843097,85.44248274572887,14.694471333981635,22.93245680143029,24.653454187769977,22.687947289028184
4,b'DOWN',7.254988526520947,184.64499999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,112.02040229026171,,,,,,,,,,,,,118.5700987338399,142.53300715239362,146.5522516094385,175.07125954675004,121.86183460414851,74.69449834624801,,112.68224035839742,31.4355685505919,20.94598643702184,32.666880540467375,50.548730299619976,47.87033754509955,51.64561004294695,33.84356594038079,39.362013106794336,59.562736353279284,47.79537985933407,12.460221473091519,85.03752831213684,16.06477149030151,23.92992848199846,22.664877715049467,22.04838115312809
5,b'DOWN',7.187827662512234,242.285,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,112.02040229026171,,,,,,,,,,,,,124.0925214489261,153.66008469229627,137.9813094190854,179.02987902158313,123.67759120181972,75.0380820731459,,111.84379586025034,31.790944682945177,20.026711342741667,33.562319230026084,50.8429975929828,48.01913372488705,46.73921117146601,35.95502766021838,41.65534423612826,59.7473624550782,47.72834758921619,12.188428163410926,84.6402254799168,19.10560072765521,24.15568595481847,21.139042328570923,25.99324132917182
6,b'DOWN',6.359116592972555,221.62,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,112.02040229026171,,,,,,,,,,,,,122.84760882339151,154.41483403844347,136.05150714669617,178.80624966329782,120.72067850214245,74.59852104293944,,113.22231735767734,31.11914215343891,20.54087660103989,34.05594624671015,50.3352669193261,47.915436157990484,46.466742539568116,34.570337517670374,41.78319318758292,56.87489692700437,44.87914052899929,10.597903699529805,89.05601787091958,17.086786196510932,24.35093198829444,19.803181733885843,26.516222169500388
7,b'DOWN',6.417280532207229,82.125,b'stance0000',b'stride0001',b'stance0000',b'stance0001',0.0,,,,,123.16842466531038,,,,,,112.02040229026171,,,,,,,,,,0.0,,,123.9646024961161,155.2351999256868,143.22618480035138,178.39718518384635,121.96573453223061,74.50224330558085,,106.54464572218049,29.98348371530665,19.439339831186853,34.760847395051655,51.56615368796239,49.07374408904795,44.15474102780908,34.76455293801,41.79495691288382,57.315747410851976,44.20535759196109,15.06488277701876,84.80872441085938,21.04365421362549,24.185700431086495,20.77315127354373,25.325783736286628
8,b'DOWN',5.981923421877468,83.755,b'stance0000',b'stance0001',b'stance0000',b'stance0001',,,,,,,,,,0.8728974357257605,,112.02040229026171,,,,,,,,,,,,,120.4668454243544,155.07718875594065,136.74833398117397,179.9849396927705,113.90354936886106,75.21739686139283,,107.01880881350469,30.062261640119438,20.352653238646695,34.24139596273162,50.4486998307505,49.318832398017896,45.07440541149336,34.346443379017835,42.71873687511588,58.166982458461455,43.34524040569991,10.502571502177021,89.78126840566202,20.236283117981706,24.25966744483963,19.78383520251203,24.372980957897493
9,b'DOWN',5.905742964672072,84.765,b'stance0000',b'stance0001',b'stance0000',b'stance0001',,,,,,,,,,0.8728974357257605,,112.02040229026171,,,,,,,,,,,,,122.9777150279933,154.82117680112296,135.98468049310898,178.27205380122487,121.23788445376857,74.38555065856974,,105.13926738271914,30.377907326623724,19.476734003359347,33.72896547433636,51.615226850005264,49.940871459947346,44.706359949271196,34.39498898217788,41.973735392837185,60.84392731165499,40.334437855927625,10.965611288413182,86.30920697048765,15.825940272565251,26.126785836031175,20.878295402182687,24.09488688805778
