,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,,226.79,b'stride0001',b'stride0001',b'stride0001',b'stance0000',1.3624684252492596,15.737930842183305,2.1871557816386917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,226.79,b'stride0001',b'stride0001',b'stride0001',b'stance0000',1.3624684252492596,15.737930842183305,2.1871557816386917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,243.04,b'stride0001',b'stance0001',b'stride0001',b'stance0000',,15.737930842183305,2.1871557816386917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,161.12,b'stride0001',b'stance0001',b'stride0001',b'stride0001',,15.737930842183305,2.1871557816386917,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,665.82,b'stance0001',b'stride0002',b'stride0001',b'stance0001',0.0,,2.1871557816386917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,590.7,b'stance0001',b'stance0002',b'stance0001',b'stride0002',,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,138.1,b'stride0002',b'stance0002',b'stride0002',b'stance0002',,13.670523656962883,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UP,,743.67,b'stride0002',b'stride0003',b'stance0002',b'stance0002',558.0103108332296,13.670523656962883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,,314.24,b'stride0002',b'stride0003',b'stride0003',b'stride0003',558.0103108332296,13.670523656962883,0.0,8.480905120603337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UP,,1690.07,b'stance0002',b'stride0003',b'stance0003',b'stride0003',558.0103108332296,,,8.480905120603337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UP,,723.53,b'stride0003',b'stride0003',b'stride0004',b'stride0003',558.0103108332296,15.67433467275223,39.14896649948369,8.480905120603337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UP,,460.61,b'stride0003',b'stride0003',b'stride0004',b'stride0003',558.0103108332296,15.67433467275223,39.14896649948369,8.480905120603337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UP,,943.12,b'stride0003',b'stride0003',b'stride0004',b'stance0003',558.0103108332296,15.67433467275223,39.14896649948369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UP,,551.94,b'stride0003',b'stride0003',b'stride0004',b'stride0004',558.0103108332296,15.67433467275223,39.14896649948369,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,UP,,418.8,b'stride0003',b'stance0003',b'stride0004',b'stride0004',,15.67433467275223,39.14896649948369,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UP,,753.47,b'stance0003',b'stance0003',b'stance0004',b'stride0004',,,,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,UP,,633.12,b'stride0004',b'stance0003',b'stride0005',b'stride0004',,69.98481579421603,1.3419287684777972,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UP,,661.5350000000001,b'stride0004',b'stride0004',b'stride0005',b'stride0004',0.0,69.98481579421603,1.3419287684777972,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UP,,1449.98,b'stance0004',b'stance0004',b'stance0005',b'stride0004',,,,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,UP,,776.8199999999999,b'stride0005',b'stride0005',b'stride0006',b'stride0004',2.144311102570345,70.25050554383311,34.84798041973456,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UP,,723.635,b'stride0005',b'stride0005',b'stride0006',b'stride0004',2.144311102570345,70.25050554383311,34.84798041973456,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,UP,,975.46,b'stance0005',b'stance0005',b'stride0006',b'stride0004',,,34.84798041973456,488.07408195909386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,UP,,1728.7,b'stride0006',b'stride0006',b'stride0006',b'stride0004',9.536251515891584,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,21.953003474292544,,,,40.242815874226466,,,,,,,,154.73623085824423,,,,97.79130427375775,,,,,,,,,,,,,,
23,UP,,1027.15,b'stride0006',b'stride0006',b'stride0006',b'stride0004',9.536251515891584,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,21.953003474292544,,,,40.242815874226466,,,,,,,,153.02451784465086,,,,85.97360830760586,,,,,,,,,,,,,,
24,UP,,1811.42,b'stride0006',b'stride0006',b'stride0006',b'stride0004',9.536251515891584,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,21.953003474292544,,,,40.242815874226466,,,,,,,,149.18883195004952,,,,79.5333229606265,,,,,,,,,,,,,,
25,UP,,1282.74,b'stride0006',b'stride0006',b'stride0006',b'stride0004',9.536251515891584,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,21.953003474292544,,,,40.242815874226466,,,,,,,,137.9027304561636,,,,69.28230819717939,,,,,,,,,,,,,,
26,UP,,556.71,b'stride0006',b'stride0006',b'stride0006',b'stride0004',9.536251515891584,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,21.953003474292544,,,,40.242815874226466,,,,,,,,150.7439551658635,,,,79.62015440223036,,,,,,,,,,,,,,
27,UP,,1427.99,b'stride0006',b'stride0006',b'stride0006',b'stride0004',9.536251515891584,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,21.953003474292544,,,,40.242815874226466,,,,,,,124.89279713768812,150.32785761284657,,,,76.10815922708304,,,,,,,,,,,,,,
28,UP,,1880.52,b'stride0006',b'stride0006',b'stride0006',b'stride0004',9.536251515891584,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,21.953003474292544,,,,40.242815874226466,,,,,,,128.50794884945543,137.9420194935036,,,131.90722928446553,84.34185372411747,,,,,,,,,,,,,,
29,UP,,1260.76,b'stride0006',b'stance0006',b'stride0006',b'stride0004',,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,,,,,,,,,,,,138.19730409227262,128.9830898583156,,,134.21136265617042,78.92028951937755,,,,,,,,,,,,,,
30,UP,,1650.75,b'stride0006',b'stride0007',b'stride0006',b'stride0004',249.2936745214029,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,43.138352862389766,,,,41.64089958985512,,,,,,,142.67759417805394,128.41500358891795,,,102.28980986391385,86.37119091859131,,,,,,,,,,,,,,
31,UP,,1477.26,b'stride0006',b'stride0007',b'stride0006',b'stride0004',249.2936745214029,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,43.138352862389766,,,,41.64089958985512,,,,,,,146.89222520263553,118.49456522395018,,,82.40631084836367,132.98019428223085,,,,,,,,,,,,,,
32,UP,6.008511021262109,1765.635,b'stride0006',b'stride0007',b'stride0006',b'stride0004',249.2936745214029,133.14791635909515,34.84798041973456,488.07408195909386,,,,,,,,,,43.138352862389766,,,,41.64089958985512,,,,,,,160.53510894437764,123.13474909501392,,,,,,,,,,,,,,,,,,
33,UP,7.512120164850381,860.48,b'stride0006',b'stride0007',b'stride0006',b'stance0004',249.2936745214029,133.14791635909515,34.84798041973456,,,,,,,,,,,43.138352862389766,,,,41.64089958985512,,,,,,,169.84304119676145,112.79163751174862,,,,,,,,,,,,,,,,,,
