,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',13.82307861874169,142.08499999999998,b'stride0001',b'stride0001',b'stride0001',b'stride0001',2.051898535006504,2.295749768612073,2.2446107401018414,2.334472331709533,148.16270803365498,144.39280064057118,51.77286145859499,21.199382940617568,,,,,3.1309953721066464,0.5482154681617075,0.13220187582612652,4.6079979952458245,1.1055664133730276,1.1055664133730276,1.357863052878531,1.1055664133730276,0.0,0.0,0.0,0.0,131.52356595277757,119.30595144473932,141.30177274539267,109.45731096622161,133.73760285055687,171.87448391511901,121.22520233182236,150.77706791294833,66.08294430685791,6.035490062833072,56.766783091186156,2.130031575054145,35.77364391785406,76.82985908508822,41.207403179025,24.9143958816355,12.634913162405917,25.263588206410898,15.171471144424526,73.05793216431822,29.51951744730075,10.287319617478195,21.05357560173956,87.08812173256531
1,b'UP',14.698608526220307,142.08499999999998,b'stride0001',b'stride0001',b'stride0001',b'stride0001',2.051898535006504,2.295749768612073,2.2446107401018414,2.334472331709533,151.29370340576165,144.94101610873287,52.61094309709088,16.59138494537173,,,,,3.1309953721066464,0.5482154681617075,0.13220187582612652,4.6079979952458245,1.1055664133730276,1.1055664133730276,1.357863052878531,1.1055664133730276,0.0,0.0,0.0,0.0,126.95154144222761,117.02197919086473,139.68237606771675,101.7737038119003,130.57721429661453,170.37493860022772,120.04198538677132,144.5062598764489,66.37972268386002,5.759083644966512,53.47731654301127,3.308098474688958,42.914778425079795,68.70427469715605,39.52500007329816,21.36392173949801,11.93793604585431,25.953658425044885,12.825276951923435,77.21570101075041,30.514502195634133,8.846096944021456,23.783102737803596,89.83455315106794
2,b'UP',15.339532740623815,589.215,b'stance0001',b'stance0001',b'stride0001',b'stance0001',,,2.2446107401018414,,,,52.769194586084396,,,,,,,,0.13220187582612652,,,,1.357863052878531,,,,0.0,,131.42763433243618,114.43578294702883,137.72745533502737,102.10188911932397,134.27255853863318,168.9193060509619,116.61530021252108,145.52786533033907,60.445227724016675,45.91925988812807,0.48372386698552877,3.5654182646587778,37.272960292430085,64.53486252604161,51.324054002791044,23.61590769945977,11.689042881953565,27.413458224805876,12.251924146359814,77.00671616267104,30.611455145810318,9.821593704389779,22.181753873889466,84.6401461193509
3,b'UP',15.098544317478291,655.225,b'stride0002',b'stride0002',b'stride0001',b'stance0001',1.8984887271708084,0.0,2.2446107401018414,,150.7926766173343,148.63746536747618,51.64065958276886,,,,,,,2.9379170179776253,0.13220187582612652,,,1.0165384866930678,1.357863052878531,,0.0,0.0,0.0,,129.53337822414989,113.94015165590409,127.90922465340017,105.45533647104891,133.58883973142306,167.78551760252728,125.85118530964023,146.9606817950043,64.21855759073344,2.09168175954922,35.22589913682887,7.822344339795582,28.42979520039943,75.37436521623248,41.90276681473157,18.73280640544715,12.928316113342916,24.63053430030232,11.466486807344497,76.76836592436622,29.636623446341073,9.755662019086778,22.847869698136652,86.76535687850291
4,b'UP',14.143261069318706,392.12,b'stance0002',b'stride0002',b'stance0001',b'stride0002',1.8984887271708084,,,0.0,,148.59181650284395,,16.84477086913323,,,88.60084743084457,,,2.9379170179776253,,,,1.0165384866930678,,,,0.0,,0.0,125.9934781537446,114.2972213347409,136.23670143659933,94.68468622360194,130.09682937259,170.86571697484064,130.47627894075887,141.94790033946109,65.96524514941993,3.76754094247295,14.983406318312086,63.88915532703223,25.957244875289547,71.04837285680385,42.31285556679047,16.72533355242993,11.369327209138074,24.504849238033685,12.53021078686341,74.83415514692985,28.59242074465429,10.091995719161226,23.192459902869178,83.85257601544565
5,b'UP',13.29612299259177,298.355,b'stance0002',b'stride0002',b'stance0001',b'stance0002',1.8984887271708084,,,,,151.57538238545382,,,,,88.60084743084457,20.94561876391432,,2.9379170179776253,,,,1.0165384866930678,,,,0.0,,,127.05793416312741,113.63677648805242,153.9754829170427,83.72828565852245,126.18363745198907,161.65127929679485,124.1543690714818,136.65231237146855,57.7794710883904,1.686229998572066,19.22154353006538,61.401901244109055,21.00388159766525,80.89275362715645,52.87286698188414,27.559812228289275,9.715203369869293,24.465480936105774,11.73882362954055,76.19701342079523,27.79845134291222,12.3522297401838,22.961313588927958,89.27965041747355
6,b'UP',12.755086859200285,259.62,b'stance0002',b'stance0002',b'stance0001',b'stance0002',,,,,,,,,,,88.60084743084457,20.94561876391432,,,,,,,,,,,,,127.06379687170673,111.92877993838553,147.0895316152732,90.18255863788698,125.3497631322769,163.50816249324117,137.29278263498873,136.5431099625477,57.854434263326105,0.8605906168010083,20.086414812093857,4.567034054660941,23.30197364753655,79.20327442524535,50.02101586440014,27.055823022593643,8.183234998818277,23.889738469302987,9.844310768970391,79.12960183761578,32.803485691091566,7.59460714958608,25.2917684410059,85.8821126647357
7,b'UP',12.740865498487643,1525.275,b'stride0003',b'stride0003',b'stance0001',b'stance0002',133.67893952704043,1.3685986868649762,,,154.9107504045725,152.20930996203563,,,,,88.60084743084457,20.94561876391432,4.410356080992699,65.05191485882868,,,1.4139928580747914,6.871077582793333,,,0.0,29.683352532621264,,,121.76336778329345,112.36785720265533,144.5215523060484,89.48362897934288,125.01463335126391,165.90856203539317,169.00955663513216,135.0995415668644,59.81168294938943,0.3605825109487124,21.58194797000945,11.892181429266227,26.47831433101694,71.3559865743942,51.25003013363725,21.17970309443237,16.411561365664664,22.293122915198087,10.788074157892856,75.62361196249624,33.918417954164724,7.494005268644657,26.329692139944605,87.9752984314258
8,b'UP',7.982108222207274,310.065,b'stride0003',b'stride0003',b'stride0002',b'stance0002',133.67893952704043,1.3685986868649762,2.477995697157656,,150.11877364681172,151.13897781357127,52.58971273171676,,,,,20.94561876391432,4.410356080992699,65.05191485882868,1.3106877156424872,,1.4139928580747914,6.871077582793333,5.214665598819088,,0.0,29.683352532621264,-38.065631126104506,,128.03509821205404,112.46310528909301,120.30956941112669,90.75035827679964,124.2722202131147,173.19409008040734,146.97979279187757,140.48670893073,53.7668522084177,4.226502696829662,11.062944319741103,63.27997228583452,31.82988719520453,64.25389265604413,51.10917681997755,7.499426246936622,17.053586400619203,24.185010871469405,11.452848904102,78.15771013718626,30.076546969828193,10.816538616026715,27.062529087745375,89.38597644855147
9,b'UP',6.686732143294293,163.155,b'stride0003',b'stride0003',b'stride0002',b'stance0002',133.67893952704043,1.3685986868649762,2.477995697157656,,150.5003943235798,148.1144909488113,49.406992498751016,,,,,20.94561876391432,4.410356080992699,65.05191485882868,1.3106877156424872,,1.4139928580747914,6.871077582793333,5.214665598819088,,0.0,29.683352532621264,-38.065631126104506,,126.83307056926596,118.5236973143601,123.77083687633225,94.42254004846592,128.70352396850365,173.9370000868581,134.13233299126207,140.57724544405832,54.433086529260294,3.898009388570167,21.836720180500834,49.40134403745727,20.257637348945764,70.45811871005631,68.82170499528884,70.81646762656742,19.361863064622614,18.958921900803656,12.160051262499632,82.01067585921926,32.90620441634773,5.887016079522213,27.11690376395411,88.75100720617836
10,b'UP',5.994529778534215,601.96,b'stance0003',b'stride0003',b'stride0002',b'stride0003',133.67893952704043,,2.477995697157656,0.0,,141.6419882344147,48.020428816094814,15.532881349506939,,,,,,65.05191485882868,1.3106877156424872,,,6.871077582793333,5.214665598819088,,,29.683352532621264,-38.065631126104506,0.0,141.97644149059175,122.55409674190992,131.44097618057543,112.00239193266246,135.42830065770116,178.61885414987452,124.88321571680424,140.65325587145446,51.57495058319217,5.989086915470463,19.492293637449947,20.004055760742393,8.64473529383904,50.922396203103155,6.324343115118761,73.94036309125636,21.496989793238882,16.049424226620154,22.963757699816963,79.48794796355392,34.20732837767334,5.818807164368806,26.803783493481045,87.1670599923643
11,b'UP',6.989433868120383,1393.175,b'stride0004',b'stride0003',b'stride0002',b'stance0003',133.67893952704043,1.230394688526947,2.477995697157656,,151.96515838483296,130.75030833632738,44.12741020536063,,,,,29.89961050558239,1.3419471363248867,65.05191485882868,1.3106877156424872,,1.739424312525912,6.871077582793333,5.214665598819088,,0.0,29.683352532621264,-38.065631126104506,,137.7541020582596,131.76851131193246,129.5436175000205,92.93469562168282,136.6493251425309,171.85353725955824,109.23068433199543,133.88196621917137,46.9118029767752,12.381398888396228,20.11733030472004,42.73971993178952,0.6888697075785729,59.62604378341645,29.224917946091974,22.04805365169824,24.784274717978295,20.74622715579792,22.84372008753986,78.84494674313531,32.12655859440748,6.342821318674177,27.71107963762841,89.74478018613526
12,b'UP',6.462947859143388,501.35,b'stride0004',b'stride0003',b'stride0002',b'stance0003',133.67893952704043,1.230394688526947,2.477995697157656,,153.30710552115787,128.8759165519039,49.59648168687668,,,,,29.89961050558239,1.3419471363248867,65.05191485882868,1.3106877156424872,,1.739424312525912,6.871077582793333,5.214665598819088,,0.0,29.683352532621264,-38.065631126104506,,140.79471505388963,132.31023284519733,125.36460856205173,113.85296375933707,136.68807020268457,156.64942753904265,115.72584697034284,138.77913098209538,45.36709988322599,14.639062748245754,20.33618246280434,49.28989114216927,13.34312676738999,25.040376234950266,20.27832051549648,74.38558275147027,24.622835344865603,19.098992988768593,21.59407809399927,80.08359242569084,31.043900441664988,7.525759212795308,27.26062678963867,88.01277041766366
13,b'UP',3.8265785693611605,1244.545,b'stance0004',b'stride0003',b'stride0002',b'stance0003',133.67893952704043,,2.477995697157656,,,124.7390394585157,51.27902501607426,,,,,29.89961050558239,,65.05191485882868,1.3106877156424872,,,6.871077582793333,5.214665598819088,,,29.683352532621264,-38.065631126104506,,131.26817093510354,138.623377487102,132.20686626608313,109.37756195782187,140.0506601506256,127.87113137735565,108.73914854655393,135.57785898328012,44.946311895505985,14.250040541013322,16.566420574686095,57.00032083446378,46.447964162960126,58.490968482973756,68.57495572819762,19.822687443743348,21.2368044295123,16.258471078274916,22.855207570658624,74.89147183095815,31.630422079246415,7.387066789024477,26.499243085429903,86.94338030054867
