,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,5.003868546265375,107.52000000000001,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.74300190190513,174.40690516339077,151.54317385200795,151.20849494478568,79.95692502155022,117.8819117484755,52.437332842536875,83.76802146270292,,,,,,,,,,,,
1,UP,5.027613738705395,107.52000000000001,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.9189059752529,173.67953181626407,152.17553944797345,152.38198016245093,78.41052794532182,118.92902568289122,53.310657162580256,84.20295103405267,,,,,,,,,,,,
2,UP,4.742522712464991,132.95,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.33215131502965,174.46467323953036,150.99288724580944,150.37521307516255,77.25485138849822,118.59449159934073,54.8526714916147,82.3359256703824,,,,,,,,,,,,
3,UP,4.477094601423407,294.755,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,152.01174488896018,173.27648250093418,150.16594724078186,149.69247288011826,77.1802045231674,119.04212913503403,57.34299894535165,81.02207427932917,,,,,,,,,,,,
4,UP,3.65071027343048,268.28,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,1.5849199042940507,,,,64.34796099456854,,,,,,,,,,,,,,,,,,152.6023889873185,174.3889206821125,146.71153473777977,148.90302066090484,78.07879846685418,117.76694945642504,57.10482315254583,80.22834673793636,,,,,,,,,,,,
5,UP,3.2728083135485493,272.315,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,1.5849199042940507,,,,65.01756029516672,,,,,,,,,,,,,,,,,,151.208067304013,177.71647051224298,147.04883271566686,150.42852436803372,78.55847863509912,115.85736937726217,56.888224441144175,79.18614974309769,,,,,,,,,,,,
6,UP,2.4150644472607805,333.725,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,60.88183252719432,,,,,,,,,,,,,,146.74082133791202,176.9609584647475,152.10020670624385,149.10121136190472,78.19647599009177,114.08719965438034,58.68310427925451,77.3295219148088,,,,,,,23.75658447677041,6.856000839715986,21.23990203827469,,,
7,UP,2.6033039097572086,465.76,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,60.88183252719432,,,,,,,,,,,,,,135.08681108380765,177.9385141033589,151.2170642647717,149.98801378641448,77.0354521309668,113.432759790544,58.98959925985851,73.31881506459565,,,,,,,23.75658447677041,6.856000839715986,21.23990203827469,,,
8,UP,2.0869854687725304,499.93499999999995,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,60.88183252719432,,,,,,,,,,,,,,131.6068429194904,173.053477403073,148.69697002978606,152.466367158391,77.5682271153986,107.28478238250798,60.30757454369426,71.77958938634553,,,,,,,23.75658447677041,6.856000839715986,21.23990203827469,,,
9,UP,2.1652707845503505,526.4449999999999,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,60.88183252719432,,,,,,,,,,,,,,126.93701861317689,173.51181751965447,154.36501188043394,154.16810719503314,76.20213631299565,109.9014822796849,63.87186306443421,69.21354897686511,,,,,,,23.75658447677041,6.856000839715986,21.23990203827469,,,
