,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',,970.69,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,144.0376531216073,172.71126938592403,,,86.47437716715702,124.23487528360883,,,51.89627437056371,20.846490346938406,23.86997230111097,37.191606663319725,53.90178257204621,22.164599609623505,28.746826691340683,31.850146938804723,60.66457628419209,10.776664946785498,55.72926454150444,43.75940143714132,16.024078257800255,17.188508738626446,47.239308877503,51.799114583469695
1,b'UP',,970.69,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.51424005276755,174.28267003424955,,,86.46101954958547,123.63417500247311,,,51.57256343657738,21.11293205873414,25.036296989179576,36.74136333273595,56.47495142299549,22.51866826022297,27.322596430082797,31.86240171206069,59.89994918120941,19.93866798612018,25.985876423478345,43.26859996374179,16.14251806082257,17.77430979672188,47.5743325359719,52.95828730239874
2,b'UP',,158.44,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,144.1174298202832,175.43196668984152,,,88.26975912295396,122.24135341663927,,,50.65145719540222,21.40172024138382,24.187124121618748,36.56510316885479,56.703819407757955,22.852137727876954,26.478430926994637,31.59692659964304,59.18991765686156,10.989222241372335,57.55960819435364,41.01454214023039,16.917181951990756,17.826802123920825,47.30321473385175,53.93243129379115
3,b'UP',,83.41,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,143.09459107685853,177.04703001036992,,,87.95571759007194,122.22365021721913,,,50.89503342529613,21.405551373555927,24.333462602413654,37.520011694553936,56.24062223347289,22.40826328908092,27.385874634202295,31.961617350419964,59.21145045744806,11.095094665835875,57.4628886270962,41.987057674129545,16.799401225607536,17.12981176525509,47.68886412026186,54.19726808514045
4,b'UP',,927.97,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.83776243936742,175.83230708889894,,,88.34405568719743,121.54136881350001,,,50.16906740369772,20.28457219885592,24.390986190206092,37.435348401702136,54.269279986242054,23.32824756840056,26.951544072954093,33.32562703432332,62.54911297040774,11.883391470463597,58.002869587382754,41.34271085477255,28.37009747887108,5.886635140100544,46.889711636392775,53.074315069094425
5,b'UP',,70.08,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,141.9300792870793,179.68833467133945,,,88.27686983847194,120.59461759963773,,,50.60170735594517,19.92692386018837,23.85930875284671,37.219074282012365,54.22694847196378,23.367149558733256,27.59612696382895,33.664591109747306,57.176439301137165,50.029197260616314,57.91287768667159,43.52530970783636,21.816801160272227,17.896713526127204,49.61501197996086,65.39332711218148
6,b'UP',,80.33,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,142.56934596602008,179.58698768397687,,,89.1069110503748,120.51761890332926,,,50.754128562516776,19.42996182093952,23.237888493797154,37.982964445059764,55.68797514442934,22.744074007640233,28.198686606069746,33.42347651727266,59.59309850305847,11.72864054106244,57.00866135415784,42.56754009608349,21.34389870200872,18.181783499181552,49.26341628502726,65.24212316303377
7,b'UP',,16.11,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,142.53666578518218,177.32859950119723,,,88.88421449586664,121.50552378103642,,,51.22632144437072,19.79149483215197,23.106616503818092,38.17522784353184,55.07669268547742,23.788327278228905,28.059413015258,34.33378635756439,58.27064295544452,11.334477680632238,58.000810723906106,43.21644867874787,22.833846951944565,18.514360858704787,50.04651385305543,66.98979538788474
8,b'UP',,97.23,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,141.4182340702122,176.9482218318634,,,87.26932159152605,121.50941427489894,,,52.48132708497501,20.26872823992522,23.519977477266185,38.2769748680752,54.470694371963944,23.36362343407958,28.510746711728913,36.04927770072068,60.11332265390261,9.968205126675052,56.44231559299484,41.39379330161347,21.940182524998974,14.309651366982235,56.21502023550117,67.09718969107364
9,b'UP',,44.75,b'stance0000',b'stance0000',b'stance0000',b'stride0002',,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,141.7106707203668,176.84079897837776,,,88.137884965239,122.95538177928968,,,51.99057830486632,19.610350254832447,23.289027261146302,38.08410069570511,55.24132684413246,23.1226585299009,28.943898596614993,34.563699218974556,58.01528881491211,13.020537665720832,57.8767852677587,41.623120114731705,15.300214252457355,16.433664036128288,46.39656067307693,56.40301753182671
10,b'UP',,242.6,b'stance0000',b'stance0000',b'stance0000',b'stance0002',,,,,,,,,,,,133.8559307044571,,,,,,,,,,,,,142.29286808632037,177.14371618811663,,,87.6905815390562,122.50624357025113,,,51.26118401088154,19.34496144775597,23.11635419456584,38.070562895616135,54.99528193680824,22.99944865554726,29.84879845904183,34.29175115629081,56.4490618647802,11.891447706404096,57.52672242904049,42.19844672258591,15.653841345576115,16.36794260851062,46.54195961973646,55.82921339879899
