,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,2.492913882440422,11.63,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.36107726005378,153.4958494381545,148.2207882416152,151.25253319810685,141.71163395867677,84.45289281415181,81.43334104674042,85.02569022507745,,,,,,,,,,,,
1,UP,2.5413922687567454,11.63,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.37977636334227,152.73543851285066,148.78316337904417,151.71448184828537,141.2983072049326,86.08941257259579,81.12224393414756,84.18045731792701,,,,,,,,,,,,
2,UP,2.605542378914328,1.3050000000000002,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.39229298175562,154.89718296493854,149.14762665694238,151.85760238785713,141.0383234484433,85.59054808447365,81.53997026428327,84.2054801079313,,,,,,,,,,,,
3,UP,2.595675036317723,3.745,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.14449515350563,154.92805394377856,149.29581343457508,151.80229634040097,141.04211603683086,85.51920077732353,81.69357905167094,84.16659140920605,,,,,,,,,,,,
4,UP,2.596658004842558,4.09,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.47934034283338,154.8605553493416,149.40208784047053,151.7372129687433,141.5857199634894,85.49139691243579,81.5468008483372,84.01071187541642,,,,,,,,,,,,
5,UP,2.5619884537277677,6.57,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.09075446075448,155.0436607171758,149.4494841224151,151.63372537493396,142.2356172085998,85.57215969628268,81.60463965586843,83.90164637139132,,,,,,,,,,,,
6,UP,2.5540622892510556,7.475,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.27138327166193,153.84946808371572,148.60423987241685,151.47344995186137,142.32346305740663,87.00256928709746,81.69512494955679,84.11581536574687,,,,,,,,,,,,
7,UP,2.6241894182675507,0.87,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.87613112965414,153.61794600714413,148.83231489582388,152.16915004042934,141.84897703817637,86.85116730632008,81.74923490650592,84.8297599747933,,,,,,,,,,,,
8,UP,2.5837568698354456,1.98,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.98440254505522,152.64263113666374,148.70533173376197,152.15157497481545,142.22518598632934,85.8001337447891,81.64524730932075,84.93958160772613,,,,,,,,,,,,
9,UP,2.607857593725131,5.54,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.07800890848395,152.64054196004184,148.176743846947,152.04614566969903,142.37997390282663,85.68733671564718,81.85658528507149,84.80749800004973,,,,,,,,,,,,
10,UP,2.588914048759205,23.880000000000003,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.78029924570373,154.425040082341,148.02266484217,152.05306440407782,142.4931083014169,84.67647330340435,82.22137599527275,84.68732033642364,,,,,,,,,,,,
11,UP,2.509205771751336,5.485,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.40616639588453,153.22139609840443,149.1217825385092,152.15580473187185,142.53544265177018,86.57075952030493,81.19307471405865,84.6706066142661,,,,,,,,,,,,
12,UP,2.5056061898405284,5.779999999999999,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.67009932137205,152.98746849495234,148.7279441011264,152.38585875267506,142.19836703116306,86.53033786751719,80.82216863028067,84.94001629189776,,,,,,,,,,,,
13,UP,2.4958939385758363,3.045,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.73872607274532,152.8629482338314,148.8552949465926,152.34140035451765,141.73592414098252,86.27562746841203,80.95183539003389,85.17375242194707,,,,,,,,,,,,
14,UP,2.4801495702401617,1.87,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.8382896669268,153.03156407297263,149.54583311969836,151.95767960674087,142.09798928355218,86.31467407875816,81.17997625812153,85.00372479205895,,,,,,,,,,,,
15,UP,2.4804383751302317,16.675,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.37058702431005,152.9937934904528,149.5413700314294,151.9524961368776,143.63934990962795,86.06664044152485,81.1596753893048,85.32955001032597,,,,,,,,,,,,
