,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,4.69392517527848,5.8100000000000005,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,122.24662041127425,154.46198145186216,177.85775692581402,76.71585456598508,166.67103856011573,78.01483752975048,,64.02985240334465,,,,,,,,,,,,
1,DOWN,4.790732257034108,5.8100000000000005,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,130.18804415801546,160.0124442991031,177.57386675567432,77.70821416137423,165.7568420767862,78.72887269721902,,64.18394912512139,,,,,,,,,,,,
2,DOWN,4.64344025744731,12.57,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,123.85938781296252,154.67553784849886,177.60242537547057,78.50403159076107,165.91526556456736,78.68972805429267,,64.356830825121,,,,,,,,,,,,
3,DOWN,4.576730709727343,25.465,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,124.721327655393,154.14601721118242,176.08565929370621,77.92560378991853,168.6936745805903,78.64967165396021,,63.993824883811456,,,,,,,,,,,,
4,DOWN,4.5615178559116885,24.155,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,130.87194684042163,159.59869674566147,179.9265010112391,75.31183146283215,165.27152187332962,79.30207289100157,,66.684753724412,,,,,,,,,,,,
5,DOWN,4.4361891160126845,39.36,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,5.988681826491605,,,,98.4051550234325,,,,,,,,,,,,,,,,,,123.60904193332115,152.72876969072007,178.6210191278269,75.3645103135517,165.0161549612123,77.17603149978214,,66.54511394634898,,,,,,,,,,,,
6,DOWN,4.622099181814235,81.495,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,5.988681826491605,,,,99.36889000559907,,,,,,,,,,,,,,,,,,130.6565862675406,158.22801416686943,175.9204336529681,73.39855693077162,164.60191042155122,78.42868139452209,,66.43139839524,,,,,,,,,,,,
7,DOWN,4.488442005883229,12.46,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,124.6316220259848,153.06986405551126,171.25540502320823,72.61960686833984,166.3367911798853,78.45875793467634,,66.15331540987776,,,,,,,,,,,,
8,DOWN,4.599760975127424,75.175,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,129.62638840807105,158.24668144308293,171.64837936263208,70.9852645005917,165.0005404314957,78.24766117152454,,65.98522017757388,,,,,,,,,,,,
9,DOWN,4.687198602566724,10.620000000000001,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,130.16448717122074,159.4516234644189,175.95802528306547,72.27831204407927,165.75644139289986,79.04631151667382,,66.40792588291549,,,,,,,,,,,,
10,DOWN,4.733946813372114,16.26,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,122.21995404052143,154.41340083351835,176.22470177849902,71.63740026320791,165.65038812002047,79.05863886143705,,66.12132480754674,,,,,,,,,,,,
11,DOWN,4.7782643061414944,7.4350000000000005,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,0.0,,,,97.41756431174177,,,,,,,,,,,,,,,,,,122.96814177143813,154.7275247945111,174.24548202602224,70.91813588584598,165.34948103409363,80.00313494883925,,67.02909085486593,,,,,,,,,,,,
12,DOWN,4.882498061301902,21.565,b'stance0000',b'stance0000',b'stance0002',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,122.72555349583365,154.70453926393884,,68.41744654731629,165.0402606465775,79.64173469016032,,67.1455157577072,,,,,,,,,,,,
13,DOWN,4.990761605219035,22.15,b'stance0000',b'stance0000',b'stance0002',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,129.44817917299406,160.46105802953687,,68.27424954862933,166.3907701147881,79.20354629245995,,67.40734279546548,,,,,,,,,,,,
14,DOWN,5.064716385173028,21.48,b'stance0000',b'stance0000',b'stance0002',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,130.4779563348185,160.4834616002331,,117.39472127418217,164.6015042194008,79.10558917974697,,70.15706654239138,,,,,,,,,,,,
15,DOWN,5.1610360126432795,20.87,b'stance0000',b'stance0000',b'stance0002',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,122.55994425670889,153.75715276393237,,115.81976400792193,165.9991618637353,77.99659781741255,,70.5365624605844,,,,,,,,,,,,
16,DOWN,5.238502703525825,17.435,b'stance0000',b'stance0000',b'stride0003',b'stance0000',,,0.0,,,,102.14132185314142,,,,,,,,,,,,,,,,,,122.86632260829819,153.63131544777292,,67.0472684119361,164.43628112843126,77.92283259117414,,68.504832115656,,,,,,,,,,,,
17,DOWN,5.177070826352804,55.38,b'stance0000',b'stance0000',b'stance0003',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,129.78539441122416,158.4932191352246,178.96943222595553,66.81160456242624,166.6845121977378,76.61686599242587,,64.54423867883726,,,,,,,,,,,,
18,DOWN,6.038181485653581,32.160000000000004,b'stance0000',b'stance0000',b'stance0003',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,122.60640755916178,153.45799830916343,,118.00215415692091,167.5196535534094,78.29082119654962,,72.50819398198665,,,,,,,,,,,,
19,DOWN,6.567589664370445,47.864999999999995,b'stance0000',b'stance0000',b'stance0003',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,125.48552318833201,147.39744385449185,,119.4386766812191,173.7665381478847,75.24582825096044,,72.42971483302617,,,,,,,,,,,,
20,DOWN,6.889388635877879,109.345,b'stance0000',b'stance0000',b'stance0003',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,120.2144794816318,146.58337538286108,,120.40962378604199,175.63960657164344,71.87674797439392,,73.80585092323685,,,,,,,,,,,,
