,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',16.47299313529448,340.765,b'stance0000',b'stride0001',b'stance0000',b'stride0001',109.34639124119754,,,108.15775556636045,,153.92400502202736,,147.32617932874265,,,,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,,19.732617115911737,,-4.657286658458403,161.6634155010002,120.28737925075546,144.71212615530084,149.34360616116734,104.20640720545413,161.75899852345324,87.52664519112817,124.42137980477543,53.355609196552074,36.967833641126894,45.82245429890553,55.23546436344336,47.978382484540276,0.06401714657502702,2.0827424750857224,82.62450077456036,27.0167088427928,50.52387574688745,74.88938714967183,73.02901139508518,71.23017893347237,86.9440366031647,65.70403795569396,32.155364366988174
1,b'UP',17.52745611214478,340.765,b'stance0000',b'stride0001',b'stance0000',b'stride0001',109.34639124119754,,,108.15775556636045,,154.40804959431216,,134.2849582065532,,,,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,,19.732617115911737,,-4.657286658458403,153.64021001018511,111.9431417797403,156.34470168552772,150.2885482915896,101.53206685850373,177.2567606718146,89.46638938692125,104.62136303560537,56.33261391652815,36.62411536289911,40.18331631891663,55.38099361315183,17.1712545198462,0.028635085500550102,1.8001342227297785,9.619615000696125,34.01043562382963,45.5020818382352,74.18181662283693,47.62225513269107,72.6295385212503,67.48937631597526,48.744219663129904,33.78809329167173
2,b'UP',18.412827084122963,362.19,b'stance0000',b'stride0001',b'stride0001',b'stride0001',109.34639124119754,,0.0,108.15775556636045,,147.64540163627657,62.994279084473085,122.68791413780056,,,,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,,19.732617115911737,0.0,-4.657286658458403,161.26482574166366,124.68127485755058,158.0021761447655,159.46295250865788,107.62174323380744,167.02730497729044,102.34015091322539,103.6851770345859,56.82936536681566,36.244690411940475,40.276058444763116,50.28817666009725,39.16034284641414,59.19640464109269,30.52143076060753,8.11661362979198,35.45114389680474,44.318021662781106,80.59807397708374,44.28171417426049,48.319283347884806,38.915036960413794,60.375775458025,26.55152658821231
3,b'UP',17.193661120233827,442.48,b'stride0001',b'stride0001',b'stance0001',b'stride0001',109.34639124119754,0.0,,108.15775556636045,125.43267177893297,136.66080965828172,,106.99304549708003,,,,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,0.0,19.732617115911737,,-4.657286658458403,154.98978479340968,129.973331062802,148.97288715889167,168.946805475492,100.29382802652297,154.78342354945207,100.89260965208133,116.05893229715409,54.06422639489997,34.527528092020454,36.54198345713862,54.15977703069318,28.18197570572413,0.4875248300901021,1.3808756918845384,8.57474282790864,29.82719695022168,44.04602786248769,83.07617757393982,52.55791170217282,46.1197408946259,50.3982222691053,67.24045046812496,39.85114998311979
4,b'UP',15.570381591802226,246.77499999999998,b'stance0001',b'stride0001',b'stride0002',b'stride0001',109.34639124119754,,1.1780545463138727,108.15775556636045,,122.58403561394172,79.72990370595242,88.19975391508915,37.5090486469632,,,,,88.38277581223124,6.398214484781818,123.96693197440212,,13.110912538533215,2.053637248566774,12.93110744000294,,19.732617115911737,0.0,-4.657286658458403,149.8517204555784,145.38339195189423,169.02573868083473,178.65580839944747,95.41996234714075,149.85068694571302,106.72687188904335,114.43180610099346,53.250243599229705,36.47287289964651,37.42521507424636,55.1985833131777,48.09554518227618,15.995975161400082,15.184567957265873,10.279562802653317,49.491514007725975,41.90299833726071,80.95041809889557,57.27692247155143,69.92624284035355,57.773725221278966,54.56000047846545,37.09794529470038
5,b'UP',14.647082373031788,308.06,b'stance0001',b'stride0001',b'stride0002',b'stride0001',109.34639124119754,,1.1780545463138727,108.15775556636045,,104.81970151852614,86.12811819073423,75.99529947320154,37.5090486469632,,,,,88.38277581223124,6.398214484781818,123.96693197440212,,13.110912538533215,2.053637248566774,12.93110744000294,,19.732617115911737,0.0,-4.657286658458403,142.18382287231083,158.01582574638834,172.75512305673095,177.3480340023989,96.01615639655488,148.46162725122858,103.07287245047337,116.32768676968519,52.134036604159746,36.147590024614516,38.337567971969385,55.249243261332,21.397199190597604,77.52784367820243,40.393357959101735,7.645262276563244,45.5971491044238,37.928764698337616,88.69323291740669,56.09808448177279,50.451134889150126,55.97023916167746,52.002915793082295,41.33511396100582
6,b'UP',12.518649189427274,447.025,b'stance0001',b'stride0001',b'stance0002',b'stride0001',109.34639124119754,,,108.15775556636045,,90.981187033745,,64.22130586767912,37.5090486469632,,70.1896051533571,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,,19.732617115911737,,-4.657286658458403,145.48169332011358,168.69965323642637,166.93834509420145,176.02146554594336,95.65533467223298,154.6712111539733,101.008975254342,122.75264435168641,51.443424314598545,37.36862880406331,41.184659148635824,58.561374831067305,29.767685119039097,46.065066389016565,38.76526796090995,87.52402822758117,49.65705152703316,39.78236913246818,88.37750420533003,54.96349225136786,18.42059325488796,82.32150361553565,72.6084510694043,63.57704251879203
7,b'UP',10.91332682064716,301.93,b'stance0001',b'stride0001',b'stance0002',b'stride0001',109.34639124119754,,,108.15775556636045,,84.41038521300396,,61.007918799402226,37.5090486469632,,70.1896051533571,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,,19.732617115911737,,-4.657286658458403,148.02690134817982,173.92097114857432,165.56227061309198,167.06816528502029,107.7428587457846,156.5159581568474,109.562051287327,142.22802246791048,49.79095360738657,41.98179888208326,39.278679192677956,53.35121864140384,28.19642184962601,32.674457970080724,37.97691871338245,52.12298121255593,30.214072470532983,39.22187035897654,83.26866187965587,55.96131017265276,51.643861118673875,75.56589691440956,73.20057431697938,38.50105168364661
8,b'UP',9.199926316830933,323.1,b'stance0001',b'stride0001',b'stance0002',b'stride0001',109.34639124119754,,,108.15775556636045,,74.95576589410531,,48.46760949150188,37.5090486469632,,70.1896051533571,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,,19.732617115911737,,-4.657286658458403,146.52768940657086,178.7832516535325,174.60128778355926,165.76839091087166,110.20907917293873,165.16148752379337,111.6441916914485,122.58341621540842,48.401478291881475,44.46059737895874,41.528983814838845,50.69859220423538,74.60771606688306,52.07860489128538,89.53173254500341,4.960857022347105,21.310305869394597,39.76459025908945,83.29177438633033,67.58133402613524,52.0607522475661,74.25075370902914,68.30626906581098,68.13140454765654
9,b'UP',7.66710043133902,318.935,b'stance0001',b'stride0001',b'stance0002',b'stride0001',109.34639124119754,,,108.15775556636045,,79.80889564562446,,46.05665044663907,37.5090486469632,,70.1896051533571,,,88.38277581223124,,123.96693197440212,,13.110912538533215,,12.93110744000294,,19.732617115911737,,-4.657286658458403,143.28694425575242,169.75160034708236,172.0670539303158,164.82429480175554,116.25494699001268,161.16837390260176,116.29724767024865,130.5621079488017,49.08590288698294,45.295346869541596,44.669455096811504,41.388042923151666,24.790468679640508,47.41435782100223,33.05551901889848,88.54459883298217,35.90670307668165,30.078716348270426,77.72628500557873,65.56267474709993,53.59727963643732,73.13320716381254,83.25791293050321,48.377350207760074
