,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'DOWN',17.641117806631286,425.225,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,1.504318337598793,,,106.74497450026703,,,,,,,,4.567910227321022,,,,0.19747464958763683,,,,0.0,,,,148.29168903777582,136.60810374660065,129.1038594604725,179.07845495801553,92.21075104777216,139.60001498419075,77.11563484919947,99.13094244344146,50.9931756912011,49.66984437875189,40.208876862132755,46.35329414823035,35.02567491309013,52.76220506140391,40.47977077695025,33.50042686173097,55.25079603316184,46.12251303581408,46.01955837339403,53.079300456857645,45.758093013366995,56.595188290098605,42.815546833529424,65.49094945724383
1,b'DOWN',17.520520454126626,425.225,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,1.504318337598793,,,111.31288472758804,,,,,,,,4.567910227321022,,,,0.19747464958763683,,,,0.0,,,,147.83205545951222,131.250153331792,123.54593945212174,178.35547746954222,90.72362394681488,147.01457689173878,73.07983167827724,102.6749430219755,55.274733408059205,50.36541638745709,42.621698732069355,48.698737423457935,36.8868015371427,53.89765182134043,41.921310695573105,36.826371961232525,56.87868235040451,45.71816692756443,45.73086917441495,52.082096436784056,45.9746112988506,55.846021349434515,42.693260666498546,67.26918909631203
2,b'DOWN',16.78573758983481,466.1,b'stance0001',b'stride0001',b'stance0000',b'stance0000',105.39849128245572,,,,,152.03730560176626,,,5.315183623327331,,,,,87.55425381805176,,,,3.7776530036306895,,,,18.260178692740396,,,148.8203643401128,134.67611190779502,122.61534886200329,174.50583835634524,86.70003528435225,151.53508670081828,68.87283502228811,106.18220711552217,51.800575581338656,49.23502633596028,43.59491266500991,47.38171958116715,42.31546071041993,69.65559325128743,46.490879114490866,48.49151375122855,57.43950497202578,44.4618498236465,48.13396528217141,52.080674641254596,39.628091155797925,55.27571329476179,45.24826765785243,67.36114129695711
3,b'DOWN',15.066700414748453,631.045,b'stance0001',b'stride0001',b'stance0000',b'stance0000',105.39849128245572,,,,,150.22043916466512,,,5.315183623327331,,,,,87.55425381805176,,,,3.7776530036306895,,,,18.260178692740396,,,143.9615186650125,131.23201829141402,139.41802598073068,161.6897622591415,79.73274522119743,163.69239939373577,73.56800536015704,112.38111076218321,52.38538620860278,50.99826707703699,46.62165718412201,42.49205750626511,28.78305792035255,59.76477129298202,67.3062430820612,54.78076989305609,51.77226893804229,47.869039898628344,48.94569146138775,52.102184331247834,37.87449277223489,59.3381685788341,42.21340451860319,65.60816319385522
4,b'DOWN',14.870759380835295,720.66,b'stance0001',b'stride0001',b'stance0000',b'stance0000',105.39849128245572,,,,,144.49889245007518,,,5.315183623327331,,,,,87.55425381805176,,,,3.7776530036306895,,,,18.260178692740396,,,139.33254564369005,121.01263155954734,140.4254330980174,162.32330389596314,79.43968068463847,147.5061278557952,70.74090369295476,123.11048910484422,56.47311994891082,53.53178531360037,43.61398586841475,39.10639090072876,21.789457090602344,11.317415969742187,46.61667302395523,51.05427525243119,45.83543477384314,53.81196367457014,46.38543531441396,52.77566985873998,41.712818045583184,55.189836138719876,44.418171556638974,57.65189830848579
5,b'DOWN',15.235769779513362,762.78,b'stance0001',b'stride0001',b'stance0000',b'stride0001',105.39849128245572,,,86.52688768128883,,124.79051837741743,,127.57076523614153,5.315183623327331,,,,,87.55425381805176,,106.47956749505207,,3.7776530036306895,,5.0443031368511875,,18.260178692740396,,-15.669018511384522,129.85884723137212,133.33085876595618,143.69295305231086,159.21995307310206,79.98377834793197,112.39286682592484,73.55066116859187,121.10710888000875,57.778286334027776,51.69953855299809,38.60188457709892,36.12909223878611,23.065152617676823,36.82577543920912,78.88892807209143,71.84114291016895,38.76632899314227,54.49449044227275,45.15510192487618,53.124931267133654,41.008541306296095,48.6776397090339,44.62000872890955,61.691534997785105
6,b'DOWN',14.240337402693399,685.54,b'stance0001',b'stride0001',b'stance0000',b'stride0001',105.39849128245572,,,86.52688768128883,,82.6362511292485,,120.53028192193764,5.315183623327331,,,,,87.55425381805176,,106.47956749505207,,3.7776530036306895,,5.0443031368511875,,18.260178692740396,,-15.669018511384522,127.97742613976467,176.00142522503702,158.5538383362562,155.70008790178443,84.1662744887929,122.77781614495225,83.46973190355865,108.36396351536156,57.256417423281974,57.308756363852545,41.46568620881144,34.06562607875728,63.880816952367425,48.30103334832346,50.87996513186237,63.52194281867942,35.495797441837055,50.94316572795461,48.376029280962555,51.07431128649788,68.9744922727252,41.28885989061069,32.419253695797444,55.51349548689216
7,b'DOWN',13.35134270594358,621.0899999999999,b'stride0002',b'stride0001',b'stance0000',b'stride0001',105.39849128245572,1.0709165522713144,,86.52688768128883,156.3440435123989,64.48305178371452,,103.62639690462818,,,,,5.689326878494292,87.55425381805176,,106.47956749505207,0.5047613046766868,3.7776530036306895,,5.0443031368511875,0.0,18.260178692740396,,-15.669018511384522,137.77080759467475,168.67543533380254,165.86975647162734,151.33362666554393,88.67468694505953,118.7804069404559,88.83234388529662,106.01819626606833,53.7935898309037,52.73771322546115,42.48592407804883,36.94416439887356,37.76534602466773,57.14553766862122,43.360845269801956,61.88413721576167,37.20558085468965,52.45284100033958,47.02776172728596,52.45718318627084,68.31163767972087,45.982512667335996,51.611840914250116,50.09155817722198
8,b'DOWN',11.150799350732626,680.395,b'stride0002',b'stance0001',b'stride0001',b'stride0001',,1.0709165522713144,0.0,86.52688768128883,162.03337039089323,,95.28472705689897,60.21971707842105,,,,,5.689326878494292,,,106.47956749505207,0.5047613046766868,,,5.0443031368511875,0.0,,0.0,-15.669018511384522,131.44218148032803,179.28313760536668,176.95606483863986,174.4295159789276,110.04365358424268,109.36846321723877,99.68098735093778,78.24823011002736,62.5226018268807,48.7825814550622,37.010118140255436,38.191092880434844,39.17794173860743,56.82338486400705,43.84463668597181,60.93977843708162,33.33428406618254,51.807515684861166,50.87461218462514,57.7769868656239,44.19214188798466,42.02100040397079,46.309351524849966,75.49462424108333
9,b'DOWN',9.796835997507344,694.655,b'stance0002',b'stride0002',b'stance0001',b'stride0001',1.2948831359189805,,,86.52688768128883,,91.95836786616123,,18.407998150218255,29.764466285851483,,,,,9.130756357713068,,106.47956749505207,,0.7550340389648666,,5.0443031368511875,,0.0,,-15.669018511384522,130.43367437952202,158.0777454105676,174.58136243930605,127.30152071830074,131.71494896391278,102.41592409458538,109.66088336314354,59.44717901212415,58.39849851595109,44.81630192389483,43.996519897558805,43.605236077044104,35.22358163948229,56.70671400289238,41.537576969696474,62.30901668064569,33.88805470821296,49.96880941034631,45.2837277167398,61.5523425287122,44.55560905396663,63.81724073836343,41.92814544871329,63.56445343200932
