,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,6.910846525445397,284.615,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,1.6561269335555302,1.2590592371290195,67.63607331495389,174.69523415091865,,32.53720426452855,83.8899305044913,,,,,,,,43.262600626533114,,,,6.654402009747663,,,,-25.67211630293808,116.57934082486472,174.41179648484862,141.6030428764771,167.14297224058305,21.977341826429154,126.4516613163801,76.66427220986995,67.24960623281663,,,,,,,,,,,,
1,UP,7.625215902800221,284.615,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,1.6561269335555302,1.2590592371290195,67.63607331495389,173.87919940795456,,34.32510356191,72.56298452052022,,,,,,,,43.262600626533114,,,,6.654402009747663,,,,-25.67211630293808,123.24065967124963,177.51057694813704,146.12508586611366,165.44284180194288,84.607458322018,126.00573370388742,77.08849980271903,60.7624147187708,,,,,,,,,,,,
2,UP,7.525869643913643,324.85,b'stance0001',b'stance0000',b'stance0001',b'stride0001',,,,67.63607331495389,,,,62.94409294207854,,,,,,,,43.262600626533114,,,,6.654402009747663,,,,-25.67211630293808,128.05457857450256,178.1852872712057,151.72431536346176,164.61796845872752,65.48257341226245,118.76677026882459,77.83782433021403,67.5435807122305,,,,,,,,,,,,
3,UP,7.454173258331006,256.235,b'stride0002',b'stance0000',b'stride0002',b'stride0001',,177.61476695652118,0.0,67.63607331495389,175.5497880501367,,42.014517966855436,48.702044260320356,,,,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,,172.68479055316584,138.34556893339658,153.36032264936114,,110.86839385968476,77.66330408666424,88.69019780587952,,,,,,,,,,,,
4,UP,6.59983318915547,279.135,b'stride0002',b'stance0000',b'stance0002',b'stride0001',,177.61476695652118,,67.63607331495389,175.14808220622277,,,45.28259440813342,,,69.75982311564299,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,134.1685746301272,175.69718336437202,146.48947553328563,157.85576696938307,177.50096828742264,111.30834250795266,81.46939882735859,87.8127047744677,,,,,,,,,,,,
5,UP,7.127450075581911,228.32,b'stride0002',b'stance0000',b'stance0002',b'stride0001',,177.61476695652118,,67.63607331495389,172.92088699056845,,,35.55414152542661,,,69.75982311564299,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,139.5165710090208,171.5889473022516,130.75028533407254,146.46022185952788,176.8609192085522,107.27982027924119,78.9603935689728,94.87399815139906,,,,,,,,,,,,
6,UP,7.359146316269408,282.345,b'stride0002',b'stride0001',b'stance0002',b'stride0001',0.0,177.61476695652118,,67.63607331495389,167.81109222142385,82.90467566026524,,18.99307419819602,,,69.75982311564299,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,135.08937107187955,163.01985356614634,126.9715316058724,127.20213030193348,167.17819520832438,107.26833368470523,81.0768009671392,99.89622595057523,,,,,,,,,,,,
7,UP,7.347896252926959,375.32000000000005,b'stride0002',b'stance0001',b'stance0002',b'stride0001',,177.61476695652118,,67.63607331495389,172.70737346069123,,,11.984476173149494,,,69.75982311564299,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,131.23619971559503,167.5389106144506,130.5977061502059,121.63411065531153,178.28996487901767,108.58824888258502,81.79843597261424,107.5056196992413,,,,,,,,,,,,
8,UP,7.728657119892107,513.68,b'stride0002',b'stance0001',b'stance0002',b'stride0001',,177.61476695652118,,67.63607331495389,171.00669107539832,,,13.261706118396964,,,69.75982311564299,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,137.65128698118517,163.75922835153034,139.54596854586708,121.69245228331624,176.52969465314322,102.61975091475242,83.85243584226865,102.44947401901901,,,,,,,,,,,,
9,UP,7.674887789017925,451.83500000000004,b'stride0002',b'stance0001',b'stride0003',b'stride0001',,177.61476695652118,0.0,67.63607331495389,162.2845539913149,,74.81791713659288,20.01726964643215,,,,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,149.0633013902149,166.80688354729003,155.0056536638135,127.63202363650609,168.18953784870482,100.22540793324998,93.02316991712046,101.18831046417613,,,,,,,,,,,,
10,UP,6.808224579506714,667.05,b'stride0002',b'stride0002',b'stance0003',b'stride0001',0.0,177.61476695652118,,67.63607331495389,158.24486201550684,105.22910883359773,,29.756809429065562,,,,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,142.56279722457094,159.90194731866023,138.93634168872126,131.8305876005636,159.21477651430376,88.79114416512546,91.21951681208422,98.03792110108407,,,,,,,,,,,,
11,UP,6.728393985496617,633.08,b'stride0002',b'stance0002',b'stance0003',b'stride0001',,177.61476695652118,,67.63607331495389,131.13799860673777,,,39.179147781805355,,,,,,,,43.262600626533114,,,,6.654402009747663,26.842093420631834,,,-25.67211630293808,145.4732241162823,166.28968490224744,151.0276575444813,150.94037309304687,160.93430895721914,86.36845594610564,97.2672290165485,90.73986955236357,,,,,,,,,,,,
