,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,6.789040255974982,6.225,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.13457726468295,115.98678541472196,174.03016800492102,132.24374210458566,156.8294945641568,102.96277637191032,85.01483397455445,63.77840659164059,,,,,,,,,,,,
1,DOWN,6.740626078185727,6.225,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.87492338841835,116.00728061982866,173.52136724517146,132.37529244346655,156.53150968922242,102.83884174324726,85.16174949816525,63.95812485558176,,,,,,,,,,,,
2,DOWN,6.702028922676618,10.96,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.49094807694198,116.6660951131278,174.1380492396008,132.30347752397984,156.61262060448894,102.29863947563607,84.65380067677793,63.87509918685409,,,,,,,,,,,,
3,DOWN,6.690024901633308,9.14,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.54259338556713,117.43085627067879,174.88719812379907,133.71899929927116,156.72723223297967,102.5905180825884,84.83166708602506,63.8707013475544,,,,,,,,,,,,
4,DOWN,6.61626881267938,19.16,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.8951352296508,117.71107468197692,174.74651929046712,132.2945422978541,156.58228454209194,102.38591898748278,85.25495157783195,63.93918240747681,,,,,,,,,,,,
5,DOWN,6.557919454295416,22.155,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.84729305210698,117.83068053788008,174.10213075826667,131.60259153315468,156.50272923941915,102.86181476274338,86.76905934629724,62.32177608288126,,,,,,,,,,,,
6,DOWN,6.566553788615863,16.25,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.81400522341008,117.75559068137034,173.0801402372511,130.44316734047533,156.56588312425828,102.41334280892256,87.48411913429229,62.331604771862914,,,,,,,,,,,,
7,DOWN,6.628929705799152,6.535,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.1491144722081,117.28322316763689,173.75955954069937,130.82695667573827,155.98791258186594,101.52271842294877,86.15477340902041,62.352834363054214,,,,,,,,,,,,
8,DOWN,6.559142087401028,18.005,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.3049690483228,117.30547707834616,173.5542774756425,130.48053349817562,156.35831335682212,101.73505710374548,85.94204989231157,62.341974597291184,,,,,,,,,,,,
9,DOWN,6.556669784090133,4.605,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,138.59538859968686,118.72817590645957,173.3180145566664,130.87007702094488,155.6984324975623,103.22814657232519,85.4514620118216,61.654928585475815,,,,,,,,,,,,
