,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',22.182830556158994,19.48,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,152.65090160416224,175.12858442886034,161.43109605674667,,167.15192834939276,112.21932609374713,96.78353859235756,,45.49418300734342,50.9729149428828,46.12366658014006,64.8277257114942,41.55570064410051,49.690563502843155,48.5051281423494,54.5241915088279,51.267553380949,49.05714076604803,52.91451102015065,75.77106922626362,67.18313225330729,69.35608230541929,55.593484071361154,50.72590642320898
1,b'UP',22.88258650664853,19.48,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,146.76508218404229,172.43763517554572,160.44456914949959,,166.0140234404837,114.45427806176183,96.27129178861124,,46.09882556922048,53.59465318433838,36.961457417011566,74.85228238910098,41.199176467060056,49.87260869694964,47.48835836803912,56.36053755844393,50.75900136119477,48.15344862257565,54.113581744262866,75.2796266174175,63.80485083805942,71.18573366984754,58.09737600319275,49.585348475538225
2,b'UP',22.762639516916725,16.884999999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,146.7643409120801,171.50243263749837,160.14664978064644,,165.33788783204412,113.77298252683424,96.94593089462848,,46.10033594175878,53.075635670409966,37.28008098628223,73.90596821214481,41.5769935481528,50.01442283884745,47.56109151916425,56.21952698544787,50.423135965949164,48.85725707975191,51.891780416032866,77.68335994096581,64.2992639450303,70.41894468962265,57.576231671026356,49.20109383663351
3,b'UP',22.686697810886262,11.96,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,147.8793786339129,172.06790378060998,160.91250734901936,,167.47276076081363,114.38091857892123,96.83693377890629,,45.47147133213718,51.9213490527572,36.22453570767874,73.34775463721552,41.54495611967498,49.801061323634364,47.51291081510929,56.30158624268973,50.919623179127974,48.77245476217677,53.3340786594147,75.37264100162226,65.75502206331012,70.15825664291236,56.55931797826745,49.751703433140996
4,b'UP',22.25727123023951,10.325,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,152.3424097846879,175.7605399947271,161.20917168792306,,167.41694271762253,113.43707812304909,98.07893433261532,,45.40939031200101,52.13029420256929,36.89254359398507,73.5076929789985,41.42710180890632,49.851788465788935,47.734503529628576,55.84297333839006,53.261242400814254,48.83865375620855,53.63061611715416,74.45638891289477,64.44995153359572,70.69226878767628,56.43373902118739,49.68187750800263
5,b'UP',22.264301608809898,14.185,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,152.40875427282964,175.79984946585108,160.87428662359466,,167.3731657361204,113.31238707098049,98.97487464339514,,45.43883807880707,51.84212338405123,36.57580233103395,73.5130199820927,41.201863307186414,49.7728462880421,48.10891852395112,55.67838249974164,52.28830635739525,49.63641315170334,52.36155590001084,77.30992817322682,64.70197284632347,71.00348458833669,55.64686357308788,49.57067267633629
6,b'UP',22.292567688508445,10.655000000000001,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,152.41499941974524,175.68606223139474,160.52750475763895,,167.22509520388513,113.47965828480001,98.66799060146411,,45.52568810969175,52.14725129197239,36.68505841887671,74.21784588182918,40.545695773352236,49.394960099981624,48.785208348842154,55.66681997637661,53.373432135684745,49.434754841429054,50.40880075072824,77.79622420688044,64.17950364047876,72.18942418025276,55.554378855352105,48.911780776234195
7,b'UP',22.16601047540546,11.35,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,152.55719887173552,176.24777220391877,160.29761200146348,,166.60930723174263,113.89212428660848,99.13637562135673,,45.61013326457729,52.52522462772945,37.0975868411312,73.43093394677307,40.68098901886635,49.29217456536511,48.599662216307394,56.08204452897178,55.371283095865515,50.095323916409605,49.7825601206129,78.12925738785123,63.58431657256909,72.48310541759925,56.40914851669323,47.93400135047476
8,b'UP',22.606052079113226,6.255,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,147.26732942076907,171.40114196144896,160.95445424732034,,166.28859994302664,114.1984045136334,99.43729127373597,,46.59503234676356,53.92322438983555,36.24623286859244,70.22336973965724,40.710883675158314,49.36355145309267,48.33734551586214,56.308336874476176,56.115464209297315,49.259763737866486,48.43370423959063,78.82082918454415,64.3862549174165,74.80321575881618,57.121537102279575,44.389166994006516
9,b'UP',22.1130563203744,6.03,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.09168341350573,176.56863191929105,161.75491425044612,,166.68175016880053,114.24724589429697,99.92243833896097,,46.886028760809026,54.106017385774415,36.24808103999958,70.08719307717648,40.259789517597746,49.19951319519403,48.6735690320559,56.01212645662653,55.49427170892946,48.628896422889376,47.32114594742686,78.85487008408546,63.85115190748415,76.43491525972625,57.76043221328414,43.020789910374305
