,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,2.8039510634189773,3.96,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,169.17952909299788,133.94503706634816,138.03854902905064,169.31642466691252,115.0765443178949,146.6415833645073,108.1053868622616,110.36498763471397,,,,,,,,,,,,
1,UP,2.877785466380864,3.96,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.86064758737385,133.585683667875,137.76482065918213,169.0254035245613,115.26702336749518,146.42246363820146,107.62050658779535,110.2901662783202,,,,,,,,,,,,
2,UP,2.82280767798545,3.925,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,167.62133139616634,133.4069516293136,138.29069202810246,168.47702270916665,116.17781355996044,146.84218003923232,108.22445719594303,110.22525466034224,,,,,,,,,,,,
3,UP,2.873280167429474,2.23,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,167.62674533689105,132.92003364303193,138.58616773198423,168.0382013245841,116.20603166631528,146.9942733848158,108.56043367036189,109.85973379789364,,,,,,,,,,,,
4,UP,2.887675005923675,10.25,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,167.93541310584803,133.0757302289976,138.54385035274257,168.13322138594663,116.33361222876019,146.74885743514912,108.7729554444249,109.86998122121082,,,,,,,,,,,,
5,UP,2.9386505727332985,2.085,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.17337253434448,132.9217425859423,138.71307304993948,167.27868521035532,116.25639602925997,146.3665346075213,108.99253794484878,108.32467532034717,,,,,,,,,,,,
6,UP,2.9554966695890164,7.37,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.28361142231353,132.90756247540955,138.78925203804266,167.5207841267828,116.33998962252313,146.0568591890144,108.77016903497848,108.5696556507486,,,,,,,,,,,,
7,UP,2.961930852271044,20.155,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.30921340318756,138.42344373023968,138.9091762927324,167.3994903105052,116.32836230861531,146.2994005012829,108.86438329663267,108.63794171053543,,,,,,,,,,,,
8,UP,3.0965327924199726,33.03,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.3637561618215,133.4197199243936,139.6622708539689,167.50173239688237,116.45946765671627,145.50226404031628,109.08349880472474,108.89671768180301,,,,,,,,,,,,
9,UP,3.14666986648023,29.259999999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.24092304046417,133.41092203700154,140.30120094656075,166.40388305947806,116.54226582601851,145.72775580589564,109.10186090969833,107.56351156451035,,,,,,,,,,,,
10,UP,3.0155157302284525,7.445,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.60783230517492,132.40817915267212,139.17182086764805,167.72191172728023,116.2079746084471,145.50635610811582,108.89016816812101,108.46685240065037,,,,,,,,,,,,
11,UP,2.977236218515436,3.7300000000000004,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.97148245397514,132.3475989088534,139.71921962239963,166.2448248795825,116.24603178234582,146.19183705444942,109.22873819180705,107.97285090870679,,,,,,,,,,,,
12,UP,2.995538439304628,5.175,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.81073170512104,132.366660715131,139.65768749541434,166.06460378464257,116.26040297154219,146.35143339117818,109.15556659620421,108.26965555565337,,,,,,,,,,,,
13,UP,2.994130559877278,2.565,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.71045320299413,133.4886793782321,139.88708881286053,166.98602897453577,116.23589945869583,147.09638082937016,109.42441091448197,108.94764747319397,,,,,,,,,,,,
14,UP,2.9977054542494437,8.205,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,169.12756332675247,133.04836231006882,140.00349607058305,165.7964526662022,116.09435408695495,147.63682359259556,109.34797066384125,108.24853635933272,,,,,,,,,,,,
15,UP,3.010007483057013,7.135,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,169.2106648362486,132.8047660790793,140.05758861508255,166.10710352993598,115.88888642615746,147.7017242421227,109.310255499078,109.10159657600818,,,,,,,,,,,,
16,UP,2.6967972236447593,6.959999999999999,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,166.2706772812731,135.76195145112507,140.91885289975576,165.87447061254002,116.01875399911498,147.3867208859784,110.44037800325975,109.2527504534394,,,,,,,,,,,,
17,UP,2.923492520589858,5.7749999999999995,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.90099639703928,132.63717806134954,141.09172813618915,165.56445580541276,116.12629723081157,146.99818852412741,110.82057346822555,108.91537926091237,,,,,,,,,,,,
18,UP,2.716530748206377,1.415,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,166.401054696564,135.70396030432957,141.17775934066304,164.9033402889555,115.55412674405842,147.31149817809938,111.09675646745163,108.44129570840144,,,,,,,,,,,,
19,UP,2.6851175359494706,17.675,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,166.3378871950639,135.83272940907037,141.09684649768533,165.27825753455366,115.56703270632049,147.6165108180097,111.21143790138163,108.68290094266348,,,,,,,,,,,,
20,UP,2.9293853776997323,3.1950000000000003,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.17717350287276,133.54371894463128,141.3945255085223,165.12808226112378,116.03597046530803,147.39652027703303,111.44638219769533,108.2348304602812,,,,,,,,,,,,
21,UP,2.7413965883147924,7.1899999999999995,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,166.2824789013228,135.98803757145285,141.28439950616786,164.83874016948,115.89344057618308,147.15492901177785,110.70842437916312,108.072323290797,,,,,,,,,,,,
22,UP,3.027389040717282,8.94,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.76103834043664,133.5943685723559,140.96385965653928,166.2995960468603,114.61419994070688,147.6190000405846,110.50535157056186,109.51788961164597,,,,,,,,,,,,
23,UP,3.0320220310089523,11.364999999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,167.98751219372113,133.92057494208672,140.84222642722705,165.06959676482953,114.74009578099309,147.32914664422694,111.12776019821973,109.4538676702165,,,,,,,,,,,,
24,UP,2.9586512416529716,10.18,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.13214014745452,133.55638537062427,140.69345993802438,164.81495971088557,114.98528205066475,146.6418515779442,112.0033778334343,109.45738387455386,,,,,,,,,,,,
25,UP,2.954552125718048,3.005,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,168.28994566749034,133.4983084959839,141.0738711054218,164.72099955248916,115.12553902708653,146.82725190551844,111.585835353765,109.41992879932029,,,,,,,,,,,,
26,UP,2.7726973000208974,2.2199999999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,165.52148117149525,135.6800112388984,140.35617531286792,164.01554507721784,115.1154333845908,146.85997511256056,110.90187970465473,109.26700647484947,,,,,,,,,,,,
27,UP,2.8211588219296355,2.825,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,165.2911698495705,135.78838742899978,140.61890350551178,163.72238576067105,115.62181732115691,146.99784048598275,110.81515853915909,109.53533252279517,,,,,,,,,,,,
28,UP,2.7830922544355627,5.54,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,164.95360087946548,135.82353095712628,140.77675319867333,163.74162210876062,115.63280676517645,146.84902720696084,110.89385794428131,109.77663179401601,,,,,,,,,,,,
29,UP,2.797248916379803,17.23,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,165.44740612143977,136.14951057703757,140.83853342548213,164.1599690250993,114.26145615347716,147.20468627860905,110.75845675031866,109.91236097488769,,,,,,,,,,,,
