,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'DOWN',12.776403626237709,112.795,b'stride0001',b'stride0001',b'stance0000',b'stance0000',93.28704850857434,4.245210994932517,,,,140.3718906784431,,,,,,,1.1522598837942581,4.814377642714618,,,0.7948245626084813,1.0529621950587447,,,0.0,47.96470185708578,,,,141.12911977889775,,166.51037303981073,,,,13.162437352968766,22.542694156165123,43.936980361397445,10.048945075215563,3.51264814976624,1.5140335016334434,71.13847583597652,1.1978399853826736,1.553002351419375,31.345302192070932,32.37424907998309,72.28567474979175,36.3400123257423,13.631339984147594,33.15537696307184,28.49251707251778,65.65484099206454
1,b'DOWN',12.738678534738597,112.795,b'stride0001',b'stride0001',b'stance0000',b'stance0000',93.28704850857434,4.245210994932517,,,,141.24980617315617,,,,,,,1.1522598837942581,4.814377642714618,,,0.7948245626084813,1.0529621950587447,,,0.0,47.96470185708578,,,,139.66570474790115,,132.21446554106188,,,,16.338584130023406,30.783081212876688,53.359451516603706,10.191574299928448,3.399803411602143,0.10295037449105907,25.310202748062125,2.428439489574089,0.5180468848314255,4.113655407009844,79.93083660692824,25.986647255129668,33.13670139608802,12.844676572607053,31.627371105186413,25.959381808393818,40.35359673912596
2,b'DOWN',12.920203404029508,74.22,b'stance0001',b'stride0001',b'stance0000',b'stance0000',93.28704850857434,,,,,141.42785857356063,,,,,,,,4.814377642714618,,,,1.0529621950587447,,,,47.96470185708578,,,,137.3096726668265,,,,,,,30.450458038789854,54.06987358948504,10.744226074719053,3.6913054240434833,22.43197429953849,16.998810569740414,15.683871973768674,0.5295039860840052,4.931128992573349,36.14992161166014,70.60331089114936,31.68619378227692,11.245969503732153,30.55953042613824,5.037128019864561,25.072408959899626
3,b'DOWN',13.04479931703196,94.72,b'stance0001',b'stride0001',b'stance0000',b'stance0000',93.28704850857434,,,,,140.1547414427389,,,,,,,,4.814377642714618,,,,1.0529621950587447,,,,47.96470185708578,,,,138.90041092437824,,,,,,,30.243606361849356,54.15267502629004,7.329370511363303,0.27624676462853776,2.047879960813386,44.39458667211207,51.75691021538671,1.5430481305223203,70.10597089770033,79.12252835831181,26.65929326461021,39.424741279807215,11.816892024945668,29.31345930248714,5.591901857424103,23.273467910703662
4,b'DOWN',11.834669417266468,31.525,b'stance0001',b'stride0001',b'stance0000',b'stance0000',93.28704850857434,,,,,135.55751303572848,,,,,,,,4.814377642714618,,,,1.0529621950587447,,,,47.96470185708578,,,,109.78593479642028,,44.83174516080615,,,,139.96769739631185,29.97766943400308,53.05633476287893,10.780178831079352,3.380966414623725,0.1278369683203385,25.183524270901927,2.01168481408007,0.5467523475597399,70.81700788202885,78.23790754459736,26.822531550124342,33.54992719990791,9.201237942782683,33.17378822794785,6.690904731063996,24.485909798598016
5,b'DOWN',11.732973777600023,43.5,b'stride0002',b'stance0001',b'stride0001',b'stance0000',,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,117.24532591853527,,137.56572562445365,,,,11.379412036672932,23.242303511472556,43.36619899167881,7.331026112674128,0.35654158195291935,0.020102398452678846,26.14131931916262,2.9493756970038874,0.522933523739508,32.560942143064466,80.16100981320756,27.218860701599056,40.337055490763916,13.983562724237576,29.965946714039724,6.9428519976497105,3.1562107920767786
6,b'DOWN',11.784211909231942,129.46,b'stance0002',b'stance0001',b'stance0001',b'stance0000',,,,,,,,,138.82896093315023,,,,,,,,,,,,,,,,,,,141.28946044980745,,,,10.542965295239952,23.11533891442782,42.87572797774296,7.628505321110274,0.6518731691521618,0.1921302903222559,27.03931140637681,4.156982175414214,0.5691648409452377,32.968386052809336,80.20930726702889,27.03933838571747,33.7104931493501,14.260899885325898,29.96152167168021,6.9475869201908225,4.20747434775642
7,b'DOWN',11.775141390945123,22.68,b'stance0002',b'stride0002',b'stride0002',b'stance0000',0.0,,0.0,,,133.6717430953848,,,138.82896093315023,,,,,,,,,,,,,0.0,0.0,,,115.95976531481057,,168.79322138182496,,,,,25.52295714672167,46.55088208314892,7.309381016230808,0.2468594216165517,11.65032334779756,52.556988328173645,52.72209560951269,1.6272207504213594,37.441254182519195,81.34329517471494,27.442950768818136,39.45546586065416,15.410867452739687,28.311279982301492,5.4681585239526145,41.028471843907965
8,b'DOWN',12.288332664561949,91.02499999999999,b'stance0002',b'stance0002',b'stance0002',b'stance0000',,,,,,,,,138.82896093315023,,87.03122349322354,,,,,,,,,,,,,,,119.40209252689897,,169.72429551913254,,,,,25.910239314339826,48.033994165138765,7.272512814475814,0.16777054019616777,8.654142888081827,56.525695020938144,52.11121614887006,1.5764564118076398,37.878130460851764,80.83180850127103,27.887067444131368,37.84612133055075,15.842173281069735,28.12396686317637,30.548313072016782,64.88789243953512
9,b'DOWN',12.964892820388428,95.575,b'stance0002',b'stride0003',b'stance0002',b'stance0000',91.14595798787734,,,,,140.13922070374664,,,138.82896093315023,,87.03122349322354,,,3.4851369725354715,,,,1.038465662988897,,,,0.0,,,,138.78581718944733,,146.59021892175207,,,,12.640378592278694,25.755648415831097,46.46234369387641,7.281592307250761,0.12357433821006311,0.15878974671201454,40.88526412607891,16.941410295153588,0.49661531803655473,67.36710960116277,81.49368994546344,27.64446563534331,36.99478461145285,14.81519956746972,29.11934146236538,6.000613799226898,43.507903169260175
