,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',9.508301477698549,155.32,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.40791729716298,145.05532075801582,142.50116779876006,141.74260560362936,141.32211021464917,76.40506776480252,78.56827405855925,168.74371286207045,42.23165127912388,44.89740991328821,41.88982757676972,63.89965888674013,47.12657084005343,18.66078163947378,24.333359997793163,39.30216887829661,84.93603398854502,40.41245724869565,33.164157607438284,60.90705610366531,80.9908729621003,78.24015155488826,26.099947320903986,45.56938365505897
1,b'UP',8.690743158866148,155.32,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.4242820040507,144.2334777899659,146.0602251484887,138.94665540417657,141.5452199661117,75.4732653748285,80.1693619011015,170.11529698660246,40.15358249307956,58.46376903538888,27.858397852545494,63.914959820225484,47.44246284059437,17.543431154979118,23.765021340216453,39.103310141349624,84.75931754482941,41.23903693294613,32.975971019452075,80.23915712863567,77.15633618309276,78.85139346725332,26.984371741522374,46.681203533136674
2,b'UP',9.453229134877692,135.56,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.49051021290217,144.1962590987516,146.45647746739897,141.17354031346954,142.0855669635658,75.19760321949677,79.99320254219502,170.5596492417414,40.36108019682471,60.58963295185095,29.11559985623451,64.35966140177912,47.665934670937446,18.183794412303975,24.501198772594815,41.4433661742086,83.99466075361114,41.024996102007904,41.971466254317136,87.38409629376721,76.04932457610275,80.50479428788218,28.287543508870563,47.991120709245855
3,b'UP',8.710347071022627,145.20000000000002,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.996562985503,144.93143676618052,148.28946512408845,135.41564823215637,140.64261909624787,73.86085368327676,79.59253334527529,173.2273342437313,41.00103570477727,47.051063453150036,40.0995778025152,65.47167327491363,47.455402063280054,17.920727413740305,25.78691971613974,39.43977414506923,83.70965889123963,39.69411411786549,33.55995249661394,82.80876537169095,75.87138367803746,81.19629498519708,28.611212344073344,50.00774976793893
4,b'UP',9.392879015702464,88.015,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.76345373763888,145.27672957929008,146.3682572722567,138.37561291123615,140.40334012460227,78.0639230663241,77.68961468952025,173.49636311615495,41.218568135857026,47.90469795377814,41.99117595301152,63.57871430077322,47.797175539157685,18.220037715221704,26.178379629490063,38.46278692978874,87.53398696682144,40.77030845480934,33.90121014773165,5.962339441267773,61.77265854155859,79.50672289446076,28.72645287410499,54.18337822891041
5,b'UP',9.593949329425163,78.85,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.40597947711876,146.5813146588065,146.2863475489579,141.0596236198234,142.42867303508845,78.28534185761782,79.2663269929018,170.9062078675426,40.15404095690963,60.29093223510474,31.827106502291585,63.33526059037441,47.45298824295766,17.989584932406228,26.912695784213003,38.95717227051847,86.52446037533201,41.15401595927507,43.399133551736,75.66719629784997,67.85472360708283,82.6133396236195,34.45130895991606,50.65256147010891
6,b'UP',9.374631939184226,175.6,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.05446273045698,146.48166582708592,148.5656080664779,140.58488158410822,142.70981973313386,78.94674467365843,77.68441790313138,166.45341610175367,41.02256688190177,58.043046649957724,34.476872000286924,62.301847328296084,48.15143941463118,18.378243812849735,26.33858314832298,39.755856039266156,87.51118758268247,39.2900938017589,40.82846695453364,79.61451481902152,68.97460379900056,83.46975387796246,31.29167945366349,51.2382016031571
7,b'UP',9.131452068361178,146.32,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,2.717522492373245,,,,68.72530191314412,,,,,,,,5.82578258388213,,,,0.22687714827781846,,,,0.0,,137.78321902084235,146.5070213567726,148.91860359627756,145.27622817909662,142.80446024985054,80.38460621984025,76.22012869470078,167.32996424901583,42.10480263830752,43.9189022711752,47.6951437343872,61.02938234479606,48.64562195367976,18.04037247599944,27.114190717348663,39.24388984158924,79.67703313938866,36.81380129836138,29.96357639868789,73.16263419361948,75.37029806329289,83.62849200445291,30.825630016190328,53.697364502580726
8,b'UP',9.538376975994108,486.915,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,2.717522492373245,,,,62.89951932926198,,,,,,,,5.82578258388213,,,,0.22687714827781846,,,,0.0,,137.30248513957983,146.68002635881663,144.10923310131835,141.16330564208405,139.13443860072792,78.76273631746804,71.54248003031859,164.64026067981706,39.45175381349655,40.77274369845548,45.980446552027274,63.918798277849746,48.95305987590154,16.809871040300145,26.33524280859879,39.66059627931659,74.33160640587556,44.737490654529154,25.149124648349453,87.907498292285,48.47253136274559,84.41298218582601,41.14233666285876,51.401129875360056
9,b'UP',8.553193077452573,478.255,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.78903797876097,144.037766422999,147.29604038044656,127.56289372915768,141.80191666673332,87.5023119846581,72.66362154282264,179.44219904896127,80.12976694991214,42.49351838579358,45.871718269259155,68.95599157219304,50.34477090652031,18.222213155571183,23.125881677448685,43.25561135402645,71.05270908432014,39.055463308520835,16.98142885233981,79.36511802839603,68.86415551981582,75.63986323045131,40.569712612408665,52.908040859756646
10,b'UP',7.602140450163147,389.435,b'stride0001',b'stance0000',b'stride0002',b'stride0001',,0.0,2.1454963174272677,4.424940205786461,141.63686492731853,,68.62527233342175,18.451426679526094,,,,,,,1.8106642209370278,14.497373225350117,,,1.5989579814562047,4.53899842355079,0.0,,0.0,-49.80251348244872,145.3587243559172,142.27676044026802,147.96084979717438,120.69804719429914,139.48704545927924,91.41381101384422,73.63709113260228,174.48767365505955,55.43927852139965,40.95574969820111,46.59427696290293,84.45325989597315,51.742114445789646,18.11605541602549,23.333941489252783,44.303297782134905,36.34792859409395,55.345043044551225,27.10339155847559,86.49825450972789,69.85529118711008,84.0696195750372,42.9170280158538,55.06399399948734
11,b'UP',6.584447550814403,492.74,b'stance0001',b'stride0001',b'stride0002',b'stride0001',0.0,,2.1454963174272677,4.424940205786461,,131.5513627543296,70.43593655435879,21.688366652185437,,,,,,,1.8106642209370278,14.497373225350117,,,1.5989579814562047,4.53899842355079,,0.0,0.0,-49.80251348244872,143.34007259715258,144.62216725188958,159.55247130026305,121.12817554697924,141.19580830893355,92.40321779503999,77.50275462939601,175.41119544133156,42.744142734889145,50.171939964804764,40.156657467049676,84.83377489009655,55.006759875684445,18.175115592148572,27.724461073538677,38.04362963567976,77.26596040070919,50.74161137100416,40.97305240139681,46.37239561204683,69.25155254299133,89.21815782941883,39.077674164351656,60.68688422941622
12,b'UP',6.71860669400856,677.895,b'stride0002',b'stance0001',b'stance0002',b'stride0001',,86.83031433460532,,4.424940205786461,142.08436084528248,,,19.038535272921692,,,,,102.00405908457512,,,14.497373225350117,3.6523659235817534,,,4.53899842355079,1.0823313029949162,,,-49.80251348244872,146.54626213558146,148.305312374403,159.8862180069764,145.2956686235874,140.1922643437555,104.35525692422841,78.24620035981302,167.20197835449753,38.192169986386844,51.93619467716171,40.05498064123486,84.51949823120908,58.70024065519025,15.558410009622769,21.071533756870863,45.885297809957734,47.5939927785236,52.73273490324032,41.01342179646262,88.40705775184095,43.83376297922971,87.0950617703364,36.21667825720671,68.42809112877241
13,b'UP',8.396537988481397,677.8050000000001,b'stride0002',b'stance0001',b'stride0003',b'stride0001',,86.83031433460532,68.51005601433961,4.424940205786461,147.69397072625858,,68.48859908924412,25.722201027372787,,,,,102.00405908457512,,34.60613803268792,14.497373225350117,3.6523659235817534,,3.141981094700957,4.53899842355079,1.0823313029949162,,-38.81446992709985,-49.80251348244872,138.267873643632,153.01152899040642,144.61818344076335,169.14429045081283,143.4137617266586,118.55251436042658,78.77026392731383,165.72658928441518,47.575731830969254,50.385052918456296,47.53185633769589,77.45850671410102,61.96939692218971,16.62189809934465,24.908022439730406,60.58347508054722,85.97929359399626,43.196885295290365,35.057601222858196,31.52958255584821,42.46345911976949,72.17723226192116,49.79498009038548,74.41472368641561
14,b'UP',8.543228454401817,1279.115,b'stride0002',b'stride0002',b'stride0003',b'stride0001',0.0,86.83031433460532,68.51005601433961,4.424940205786461,151.22463712974942,144.19741988678996,76.45011292763351,28.871832862103325,,,,,102.00405908457512,,34.60613803268792,14.497373225350117,3.6523659235817534,,3.141981094700957,4.53899842355079,1.0823313029949162,0.0,-38.81446992709985,-49.80251348244872,126.54950473492201,143.51270828262375,150.5325812354139,168.30853609958805,161.1919745991591,138.7318486740571,81.24062690453525,165.5781356482332,2.279724823541246,52.87417409694703,77.57787669541094,70.25975388382973,54.318942208301166,14.704429787439603,35.67294093611255,60.132554533680505,43.0414364510726,38.668924525480804,26.37161218618105,88.67489977182355,55.36713237073588,67.32529160759547,63.35466877752869,83.45959835342876
15,b'UP',9.463363650056586,818.905,b'stride0002',b'stance0002',b'stride0003',b'stride0001',,86.83031433460532,68.51005601433961,4.424940205786461,159.23378384255548,,82.5167174844241,32.94879990487622,,,,,102.00405908457512,,34.60613803268792,14.497373225350117,3.6523659235817534,,3.141981094700957,4.53899842355079,1.0823313029949162,,-38.81446992709985,-49.80251348244872,107.3211373052438,132.31004266656208,162.64223729782128,157.0344775110677,168.29150633713834,170.03997204883086,,163.00349234604494,40.04959751701049,34.95719665152101,10.587400184696772,89.30025342721744,67.53807679033004,17.96774223449489,6.756072106683496,2.6520374314388278,27.741929957824095,3.555172050239011,46.40417828282489,13.108831471372042,37.722847221585376,77.24259328693779,84.52809081786401,50.32662595990147
16,b'UP',9.224028840273238,1057.63,b'stride0002',b'stride0003',b'stride0003',b'stance0001',9.250397908073102,86.83031433460532,68.51005601433961,,139.8722611860129,149.83310388501258,104.01210521742018,,,,,,102.00405908457512,1.72289293016253,34.60613803268792,,3.6523659235817534,0.8249002429660189,3.141981094700957,,1.0823313029949162,58.97165741993129,-38.81446992709985,,118.93207443169071,120.30889651978504,175.00517181474908,145.8115871427768,,175.1848828941311,104.52599638527096,163.59015770220833,58.20114698429661,80.69042271865344,50.39143970739899,74.68744056824184,65.55391938156343,19.662546529502524,20.781231281683425,3.5245367136857624,25.396139501654403,4.87800578450449,48.1999608162746,11.76768902349361,30.326058244606813,86.96153663912256,75.82473500219504,47.71190510055777
