,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',,592.91,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,117.47169488346242,0.9968325264427106,102.96063159648274,,,,,,,,,,,,,77.35961242853185,,,,,,0.0,0.0,141.7607006806349,164.48603270960348,,,,89.78928298331286,,,0.6337519584326815,2.015948053427304,7.705286884003573,6.515068285510874,38.49270374094946,42.84834750833334,24.484185194125793,52.12988620717451,26.31225330167424,0.7810069148280099,56.20436558495523,19.06525177870758,1.3259358237115475,5.088583680100549,0.2594004563349484,4.130137398991289
1,b'UP',,592.91,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,117.47169488346242,0.9968325264427106,102.96063159648274,,,,,,,,,,,,,77.35961242853185,,,,,,0.0,0.0,142.41589369925407,156.5371914851902,,,,89.25145292565044,,,0.2824432196632467,1.694689122065508,26.34285460861583,27.535469151013853,38.578179311856076,42.81767486290974,23.888236161023148,52.58682123263277,25.919323367641212,0.41780254275458717,55.95825486229783,19.45864866183816,82.96043138799935,54.182592128626624,3.189818461219557,39.66688626136561
2,b'UP',,230.05,b'stride0001',b'stride0001',b'stance0001',b'stride0001',0.0,117.47169488346242,,102.96063159648274,,,,,,,,,,,,,77.35961242853185,,,,,0.0,,0.0,143.33596430497482,146.63189797528653,,,,83.79836086422148,,,0.09452644781520836,1.2998219674201668,71.4704131699928,70.06488396475841,37.14100168109361,41.22033478713974,26.005546105567657,53.40185918166507,6.240042254512019,17.81970215065187,57.01108131726612,19.87262575103945,87.55981867392222,56.746437242362546,1.3878976039299402,31.444221945314695
3,b'UP',,498.01,b'stride0001',b'stance0001',b'stance0001',b'stance0001',,117.47169488346242,,,,,,,,35.87915712407013,,,,,,,77.35961242853185,,,,,,,,124.27878243576467,137.76952848370397,,,,69.0166757936464,,,0.4578827697953571,1.1045115656484568,0.2856229645712907,1.4318389030395915,33.84153073396209,41.40084473274959,28.46685303732233,64.87579174581911,43.225749117302655,1.5844269976742162,12.622659864022353,21.262704311669644,79.14474674697423,57.425177940331835,1.1815893686878753,43.28824127030524
4,b'UP',,485.04,b'stride0001',b'stance0001',b'stance0001',b'stride0002',,117.47169488346242,,92.71995345103143,,,,,,35.87915712407013,,,,,,,77.35961242853185,,,,,,,0.0,153.02270635446072,138.04642961166417,,,,65.28005874605309,,,2.1648687139550358,30.91273781616141,42.21276306908447,63.26133337856042,33.70518705811712,40.21291814915038,27.626487498123552,57.158396192855434,6.102961603345741,48.863582350867716,10.578766163091728,18.63875822002523,0.25131459041379556,5.8513247909067,0.6522028782455941,4.686023149356839
5,b'UP',,571.37,b'stride0001',b'stance0001',b'stride0002',b'stride0002',,117.47169488346242,0.0,92.71995345103143,,,,,,35.87915712407013,,,,,,,77.35961242853185,,,,,,0.0,0.0,153.25967528731854,142.1856091829136,,,,62.49534996711115,,,11.801956425525784,26.83172376708084,36.563135896143166,32.67652811901512,34.181109271592995,39.21598223307447,27.805418073238414,53.1973982462094,5.427681496931325,36.56072349161921,2.1837187107240768,19.271034881234286,0.1321964768808744,6.403042934883459,0.5082618629721116,4.886764391324808
6,b'UP',,668.58,b'stride0001',b'stance0001',b'stance0002',b'stride0002',,117.47169488346242,,92.71995345103143,,,,,,35.87915712407013,,,,,,,77.35961242853185,,,,,,,0.0,151.4126956994405,139.5065971381265,,,85.5655652880106,67.21529042718097,,,22.905459132378436,29.339999564448934,30.8708539972177,34.440693833489554,35.56429300702581,40.87041622684197,32.326913329846164,47.71795974863211,8.55398047269043,2.723806389229509,40.49539513839517,22.363634966732803,79.7273883737511,60.537575891629245,0.11091058848086426,49.26948271190812
7,b'UP',,534.7,b'stride0001',b'stance0001',b'stride0003',b'stance0002',,117.47169488346242,88.09772301196043,,,,,,,35.87915712407013,,,,,,,77.35961242853185,,6.3716052515944925,,,,,,175.07060173400558,136.24293258296518,,,111.2992022546805,65.06231962539675,,,42.02568616038969,25.68680879864156,24.64185391887026,14.110688165480658,36.063425004460726,43.30556486199384,34.0931549541474,51.90817245822092,3.06079486827956,87.59342033092938,74.88269553132442,21.377403964468915,87.20454758845646,58.86504726471712,1.474025442994814,55.20853221740285
8,b'UP',,608.29,b'stride0001',b'stance0001',b'stride0003',b'stride0003',,117.47169488346242,88.09772301196043,8.678032416881118,,,,,,35.87915712407013,,,,,,,77.35961242853185,,6.3716052515944925,,,,,,,138.331344224281,,,,64.00753424244992,,,40.30173486702797,35.8744970146028,26.95137289242032,42.41962862059243,34.58677973971448,44.77881239442175,33.57848156934262,45.4369796350166,20.799288617741244,10.049687490863741,8.111848360488812,86.44574792643088,82.13897181746387,52.90659465753146,4.496613241930893,55.407355659954916
9,b'UP',,934.41,b'stride0001',b'stance0001',b'stride0003',b'stride0003',,117.47169488346242,88.09772301196043,8.678032416881118,,,,,,35.87915712407013,,,,,,,77.35961242853185,,6.3716052515944925,,,,,,,140.20434747410846,,,,64.65976687723251,,,73.20979047192863,40.89374486434807,39.78403824758652,44.85304743548283,36.71897696669943,45.721583879181985,35.265495793535756,40.65170987076607,26.76860091271974,16.268516284166786,2.0911326413011193,83.39690774179181,77.46444007546759,49.15870209042584,8.368411976817649,58.651200113040595
