,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,DOWN,11.98578131,11.96,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.469605,140.6292598,148.0515337,162.3341602,86.87290777,68.69028177,,109.5282977,68.70447251,52.89238993,48.80769838,52.6575873,71.01087749,57.54522932,43.38265594,44.764787,19.38217836,88.63342416,71.39035944,2.55011553,58.29206837,18.78996877,17.94693297,27.35530963
1,DOWN,12.03220573,11.96,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.4350935,140.6677842,147.5557593,163.0321719,86.85589194,67.91408092,,109.4170861,68.8322424,52.67670539,48.63466951,52.61119146,69.24828057,57.2351745,45.19575975,44.81955239,19.41738999,88.64574866,71.37466507,2.485404491,58.08672676,17.71536987,18.7945547,27.16418472
2,DOWN,12.02096059,15.775,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.0841297,140.9514231,147.4350554,162.805741,86.61666711,68.43560935,,109.7393127,68.79092466,52.88160379,48.72926263,52.37640363,70.40986209,57.41638936,44.54588537,43.72627445,18.12539993,88.78709335,71.61325682,2.424212297,57.88257421,19.05749277,17.3741548,27.35908795
3,DOWN,11.94113002,29.73,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.00122,140.3069169,148.1607738,162.7593247,86.36846816,67.66364447,,109.8621629,68.73727338,52.81416453,49.0589616,52.34263613,71.58653324,57.14592751,44.59953658,45.06215912,18.19853344,87.89754564,71.45916686,2.500221054,58.62670556,19.33151382,17.13087193,27.69480314
4,DOWN,11.91565987,41.885,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.2092666,140.4726188,147.8346954,162.2495784,86.81635786,67.94214697,,109.5644345,68.61738848,52.78402273,49.04825761,52.51322054,71.72611088,56.92976678,44.38016329,45.07526527,19.17744083,87.58956019,71.66738466,2.553490772,58.46230475,19.49474087,17.39033474,27.73826414
5,DOWN,12.01753805,10.395,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.1545639,139.9061706,147.0064715,162.9863316,86.94535091,67.88889555,,109.1875104,68.67245393,52.65831117,49.04999571,52.40008547,71.49197958,57.14714639,44.66234408,45.16680185,18.30218214,87.62661471,71.58706551,2.633287604,58.57713661,19.55541897,17.09093586,27.08020425
6,DOWN,12.03163847,6.39,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.162712,140.1171986,147.1027176,162.349199,87.08085372,67.92973881,,108.8357294,68.83295517,53.17270743,48.87236477,52.292055,71.21247604,57.25102809,44.58683149,47.38263266,18.71947432,86.5604935,71.66984652,60.87106378,58.93915861,18.40688096,16.98442049,26.30452814
7,DOWN,12.03238099,7.09,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.6091729,140.3161597,147.1732711,161.7558934,87.4047983,67.85269201,,108.5244957,68.93541342,53.21473697,49.05037318,52.44268925,71.23894269,57.26352486,44.50558026,47.68042046,18.98452636,85.78487732,71.61643766,60.80372078,58.89147357,16.85408804,18.26238685,24.72691196
8,DOWN,12.0042115,8.74,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.2942016,139.8102073,147.8536353,160.6564038,87.3780076,67.70594644,,108.0652051,68.60442732,53.132352,49.25733805,52.30468109,71.54050589,57.46367106,44.5426996,45.50709092,22.41215748,86.54184418,71.65217214,60.95283903,56.73371171,18.97698847,16.61508845,23.43331394
9,DOWN,12.08504869,4.435,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.1648776,140.4807584,149.4003354,160.4671107,87.26829943,67.3921148,,108.5593419,68.59492243,53.16267574,49.3701011,52.28780378,71.52895834,57.50952926,44.76869081,45.55013808,22.10179476,87.16584456,71.71819589,61.04948411,57.42954411,16.44774649,18.13886738,22.38857417
10,DOWN,12.14077938,30.895,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.7584958,139.8310314,149.9995495,160.912456,86.932863,67.56129951,,108.9945538,68.58643644,53.2254156,49.34517908,52.19603007,71.40791003,57.68267143,44.68712953,47.64292344,21.83974409,87.20855002,71.69425731,61.00799854,57.48890604,17.19283912,17.30143339,22.01989047
11,DOWN,12.16054501,40.38,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.3502473,139.904807,149.0427689,161.8359549,86.49409563,67.41505732,,108.9239102,68.51728016,53.36102468,49.40215433,52.1735732,70.97487512,57.87765663,44.85092665,47.82391281,22.81006129,86.57472228,72.03853866,61.3670479,57.6081823,15.64248531,18.25539751,20.95617946
12,DOWN,12.08319077,4.41,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.4677056,141.0518547,149.3367401,162.4321038,86.59826604,67.18200999,,108.3802547,68.46302825,53.49039801,49.30570584,52.49855203,70.75562658,57.58604979,45.01564833,46.05898476,22.87500773,86.14915363,72.00870897,61.31492209,55.54326207,13.88219631,18.33327186,18.92121169
13,DOWN,12.10327574,21.2,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.9338613,140.6807186,149.5909613,162.4408172,86.95890682,67.04269812,,108.2452337,68.62327817,53.41394085,49.37294032,52.34915244,71.04492747,57.51562265,45.02416836,45.6832209,23.09139134,86.29313715,72.04040453,61.33961954,55.19220748,13.44244476,18.04003404,19.18136031
14,DOWN,12.0773115,15.14,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.2007074,140.1150985,149.1697468,161.8444738,87.14102986,67.35253515,,108.2349027,68.90729296,53.10407193,49.38209394,52.33430288,70.89713161,57.58903099,45.08078605,45.65390318,24.33825471,84.65657476,71.78239372,61.11453846,54.29270698,13.67363731,18.00213363,20.83311409
15,DOWN,11.9693071,7.21,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,156.0093517,140.2666542,149.6414625,161.4370338,86.9796288,67.42560665,,108.3376066,69.22449334,53.0761472,49.32222214,52.40466716,71.03879746,57.69254344,45.06454011,45.17264422,24.84880091,83.94686431,71.857283,61.15408562,54.40946591,13.95823978,17.47873873,21.10239593
16,DOWN,11.98252106,12.075,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.8398469,140.5985637,149.7544405,161.3745343,87.12882097,67.26051788,,107.9334758,69.22980371,53.23671398,49.23547614,52.28574312,71.03938032,57.81280205,44.96190926,45.22063686,24.35220535,84.5758586,71.8624677,61.1546387,54.01951487,13.87227833,17.97516495,20.72556653
17,DOWN,12.00420437,4.11,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.7398786,140.1710908,150.0180367,161.2887285,87.07577483,67.48080617,,108.0094557,69.12800084,53.35676075,49.39492864,52.14058718,71.24990596,57.9100532,44.9585391,45.20966078,23.9736236,83.88643963,71.56607077,60.8596473,53.8621498,13.85347924,18.43081779,20.63498211
18,DOWN,11.98941166,5.6,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.59679,140.3312493,150.4254386,161.1588539,87.01877569,67.68913826,,107.4284161,69.12246318,53.42951997,49.39207311,52.00871109,71.33509321,58.14642816,44.32363844,45.7250311,22.45233315,86.02064286,71.60801273,60.89259121,54.18325787,14.47707847,17.85358468,19.25688279
19,DOWN,11.93614288,14.425,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,155.484286,140.4566054,150.5230544,160.7739935,86.9797933,67.77588321,,107.9231219,69.12264136,53.39582687,49.44842031,51.98253356,71.5734074,58.21079783,44.92839806,46.86903342,17.58104538,86.80107483,71.46488654,60.76670731,55.62075066,14.88831063,19.23306623,21.73157897
20,DOWN,11.85928687,36.4,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.957109,139.3060163,150.9923158,161.1161434,86.8288197,67.86232174,,107.4629926,68.98050092,53.43673361,49.4060987,51.95981613,71.69123881,58.04472722,44.37664282,45.68476516,19.03267165,86.68421932,71.40855248,60.71251479,56.4257945,16.09591185,19.06214382,21.63006719
21,DOWN,11.91722315,33.57,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,154.2835324,139.989635,149.7882314,161.5769427,86.54727069,67.5579507,,107.8043424,69.31300157,53.23789262,49.31289915,51.8963095,70.93195858,58.05978181,44.3483473,45.6989046,16.56718577,86.90564569,71.28671847,60.61548628,55.77895088,17.66843861,18.07629127,22.87056827
22,DOWN,11.87241016,24.785,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,154.4405472,140.4597611,148.9867376,162.4552606,86.73887004,67.56752929,,108.3941704,69.42119174,53.24286932,49.26515968,51.88239125,71.58357057,57.88202238,44.33706643,45.65753405,21.68586654,87.85094534,71.30224957,60.62529322,55.83822873,18.1774663,18.44725502,23.45672793
23,DOWN,11.87176162,38.55,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,154.9026389,140.2235546,147.619989,162.7071638,86.92382773,68.06085949,,108.7849713,69.55615226,53.26215645,49.25504556,51.7839936,71.97807161,57.78617058,44.60641325,47.48796055,19.46256622,87.61275383,71.5792346,60.86389945,56.97358842,18.85118762,16.51551098,26.45639157
24,DOWN,11.98498916,8.525,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.9065054,140.2417675,147.2412178,162.6525668,86.87456504,67.5901506,,109.171801,69.3989865,53.31774002,49.25838903,51.77477228,72.13896072,57.81314256,44.51699799,46.0528582,17.43308356,88.53059515,71.60179394,60.92016699,56.75208685,18.3144753,17.98317243,24.87449273
25,DOWN,12.02521243,18.11,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.9412445,140.2121727,147.2350174,162.6362349,86.88654642,68.12764838,,109.633799,69.7326409,53.34430182,49.21250048,51.85565919,71.83971533,57.69733756,44.53826322,48.12912479,15.46261843,89.3299276,71.39739552,2.472386008,57.03099731,18.81082329,17.89762223,26.76164106
26,DOWN,11.87820712,29.54,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,0,,,,31.00864634,,,,,,,,,,,,,,,,0,,153.7876564,140.4886841,147.7073909,162.0353598,86.52121137,68.23494876,,109.5694668,69.81496053,53.30352468,49.16265925,51.90928672,71.84110767,57.9316826,44.64621705,46.08925911,16.71006265,83.60787115,71.4142395,2.524143828,57.16611976,18.18846637,18.9263644,26.26373361
27,DOWN,11.9499715,14.125,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,153.3639128,140.4328187,146.4184977,162.5173701,86.41875094,68.30416083,,109.6536423,69.87653975,53.19354766,49.10441888,51.97098894,71.81652757,58.06405378,44.52816533,46.1986815,17.40347952,82.62852043,71.60271602,2.491444801,57.31061516,18.60057657,16.52909175,28.1340653
