,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,UP,7.420248874139241,22.125,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.57879953432465,115.68692497443607,147.21432633359882,156.36764955773458,87.56691481169727,61.464533812437764,88.20822707283375,131.7653285053591,61.546195211984866,47.592867829950634,24.943892017615596,29.95127821979399,45.22174763231379,44.80884147488168,35.57925894330799,60.350527196966084,33.57870042024787,44.003961750847886,36.88178656200175,68.62972868901987,35.00586916369941,23.25931108770079,53.4314619726912,76.87252745375163
1,UP,7.23300642772038,22.125,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.59900307515596,115.2783269965422,147.06681303280243,156.2069810159716,87.21319560529476,61.53607045358406,88.36787498952079,132.0851505586342,61.445000242735205,47.28943995512602,26.50362999593085,28.502655964822022,45.12541698279341,45.15873955015975,35.578934216029644,60.23571937006383,33.87210461807349,43.88910856384371,36.55518876089711,68.70085007016542,35.26603465812697,23.137995012658273,53.45752139043923,77.00460870811844
2,UP,7.363434273443965,12.61,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.41132902388233,114.90241298221487,145.8887299130718,157.05878133031803,87.4955394887853,61.5919865868013,88.56752537368617,132.03561697735154,61.493761962721464,47.32385769675102,24.746279789265976,29.875084999953554,45.62204239604365,45.02051277362755,35.21533479452662,60.451319378567526,34.23323545742834,44.1766874343495,36.72703532921397,68.90152480281472,35.551313957844705,22.92215686894912,53.415087274226956,77.42364832857052
3,UP,7.350008458162107,14.014999999999999,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.6415245693752,114.11369719169126,145.92993775105128,156.52086369961094,87.34153457925316,61.790212694428064,87.6851728937551,132.21732851434524,61.356609228635,47.49909842862271,26.616833617377367,27.909233701306288,45.93971817833275,45.93025745500448,35.47231391004094,59.13071930272096,33.84954307326372,43.78509817018274,36.260642513067374,69.24103031706517,35.44525544055241,22.891099249677353,53.6307774118868,77.51742993788883
4,UP,7.372969504869515,12.005,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.526678933106,113.08545160558344,146.26395828654995,155.94725909341375,87.29279887146656,61.44739090869591,88.12529137325288,132.29843904645992,61.30421928000977,47.378323118101115,24.704469133574392,29.489128224,45.89109263724585,45.87746056750195,35.80140883467813,59.12579081683702,34.184642446704295,44.1447082854965,36.563092808361546,68.73530708739608,35.594412339484805,22.851941517156202,53.62941756640445,77.55513519869959
5,UP,7.456351617079573,27.049999999999997,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.44304963710482,113.16944789114966,146.06764174980927,154.89411792092392,86.73070133220766,61.7086092847444,87.64808633064725,132.5246606155346,59.920667142474805,47.061688565888026,25.149767832281192,29.145545295841043,46.08142950956119,45.796237026401144,35.754268948570434,58.71276006861754,34.31165365321987,43.82621900878949,36.53159900888771,68.18796693264734,34.89984068359595,22.81641488999374,53.75654613500935,77.98380061790775
6,UP,7.3328096900502295,17.285,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,142.6914371511893,109.61795352656351,146.1230878187548,155.33220626643646,85.96967496249918,62.409076275727216,87.32801016277588,131.80458628163447,60.12529935127707,47.02446815912636,26.47868017555653,27.89872715420617,46.64475163364377,45.63339799463347,35.3096999905346,58.73488481054306,34.325627765940304,43.59343209645087,36.24205568697864,68.50247057258949,35.11993150352965,22.56061871229888,53.90074835471764,78.20732409526964
7,UP,7.3537136319430285,24.935000000000002,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.55407211778214,111.41802208306427,145.36641137221315,154.6015741421706,84.54120294550806,62.57548922707281,86.2965602195135,132.21077106435632,59.885215108822464,46.58802382847201,24.588065832206457,28.867254444257586,47.30399382845883,45.42944506569402,35.91904828358053,58.96073760267788,33.95094171350116,42.68277180883671,36.4956439356867,68.37484757054489,35.64653990205736,22.17778006156945,53.56532715858047,78.06879963319028
8,UP,7.2878607040071275,19.59,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,142.06941507009063,111.10732682866701,146.54893247285693,153.96006034884448,84.69731699908353,63.01761103701341,86.68506100286237,132.30529842904537,59.54401198425179,47.0508825934413,26.224122963779116,27.724945993360613,47.13427425988196,45.46495065920444,36.36837788075944,58.15592529836884,33.9734729348409,43.158851298115664,36.29401147249485,68.40725160618689,35.59532242564864,22.116282253387112,53.25539993606614,77.73705242304385
9,UP,7.237356083001426,22.27,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.85162840118647,110.69229503399517,145.1956648183388,153.80331890954687,85.23877347542751,63.541662858443814,86.40078363626577,132.73239928032652,61.11990762687697,48.018068926174266,26.36364754142217,28.14489694193898,46.72707109629178,46.015687364638886,36.393810559878034,58.04563110774987,33.67026535149957,43.30130500952268,36.42116346522511,68.7033586745837,35.688908967773976,22.27170087617007,53.06983246868378,78.07690723851293
10,UP,7.374655505031388,20.51,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,143.0272039517821,111.83834032031943,144.4972080626672,153.4006091586635,84.72228555497645,64.92119444962013,86.15598937675209,133.19620861126504,59.78156669954574,47.423765592304875,25.206496947462178,28.91401544981707,46.912669742610895,46.48496530854309,36.172290275208255,57.85116931798045,33.610923137083354,42.84988141253137,36.11506256240913,69.28416258490574,35.78549641778131,22.428004118143072,53.00819233771134,77.75875232147267
11,UP,7.222887605204785,44.085,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,142.50277460100415,111.50665361903597,144.59918778511434,157.79226871877825,84.12885038746542,65.25681129832219,86.30920788857159,131.87136382806122,59.45359222731765,47.298438968395125,26.053742528356196,27.991288798518838,47.160446101227365,46.6934366478702,36.19625443991887,57.55319383890644,33.07136743126612,42.855395998519995,36.64647471074213,68.26927351717629,35.70275771741371,22.537592440233375,52.93026908687208,77.96879965046804
12,UP,7.322817413257836,71.03,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.4404874135668,111.13873989824275,145.63927035554485,157.76749812649567,84.17993995725291,65.02971095005898,86.01936656597717,131.458081471107,60.36431007551349,47.75965561497384,26.430987364684896,27.9500066524224,47.2759405771877,46.63698687400781,35.956550683611106,57.44440176051897,32.955299207207105,43.059929657389844,36.323027674395895,68.70776008020447,36.245394113551185,22.359566353090635,52.643399041308825,77.30112361073586
13,UP,7.0593031392456345,19.455,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.02621381579172,112.26399664276163,147.40923626511255,154.76592438036286,84.08331097322119,66.81611348864216,86.21456606141106,132.90091310806056,61.452072920297795,48.660470342452726,26.150873374074404,27.51985611335576,48.079768013147365,46.63939111281818,34.62737336605612,56.56067280344438,33.50464424522615,42.76866592214578,36.508774250039394,68.99833450913621,36.03038065944896,22.50943902151848,52.49919296111388,77.15549756228766
14,UP,7.09949303665574,32.864999999999995,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.55233311194993,111.86886234035421,150.0144606418167,151.35871143052174,83.47155947599292,65.24334745321548,87.59863968450054,132.94728731631176,61.10223059502652,48.86915754440483,25.82440223224972,27.59733767417435,47.88020123755349,47.20135764268654,34.20127731288011,55.965885174135344,34.0776396753648,42.752883869054315,36.51818320539549,69.14125486896748,36.3715528300458,22.162464912868035,52.475099975322294,76.95487513842284
15,UP,6.999940665054906,35.605,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.23326459055724,109.3291933527494,151.3268705568525,153.73535398424377,83.37631313842282,66.45806344776287,87.21598760833875,132.80894092093624,61.11781773422321,49.5251893459943,25.78556145376037,27.693024895817743,47.79917898088269,48.31024501824347,34.64463217596707,57.77092837914133,34.719650145001054,43.02584432541168,36.63792118363867,68.85366918248768,35.90417478395869,22.28449304153325,52.371352891525426,77.32540596491414
16,UP,7.0542724787181745,17.85,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.69330950468006,110.40183797655918,151.24399690120026,152.89386596413547,83.5236293394269,67.29911447967878,86.80683995244445,133.05304926766738,61.38981971302036,49.79774181779671,24.859911395612535,29.15471605560102,48.50439470901697,48.84230513985899,34.40853846935927,56.60013840681246,34.88203876954079,42.590920489405214,36.74830829175444,68.08953795757195,35.790020466331576,22.452628321569502,52.49822616932196,77.98994366995078
17,UP,7.091130808319389,32.185,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.99717413650447,112.61297679174675,152.42168232560581,152.99640749302276,83.20046542806661,67.34600407937029,87.06075125933252,133.09595097906285,61.66640818509883,49.931704239381105,24.56908599514697,29.165196592171807,47.16705493539907,48.72092094423615,33.003268398184765,57.946276542457,34.6056583396241,42.77597768167443,36.52179023395067,68.64610415603981,35.70155384920568,22.64420605898323,52.313508579397464,77.37099710763489
18,UP,7.036020205403752,20.060000000000002,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,139.808480921683,111.2733456123272,152.97855808583355,153.01474761853288,82.8930872761006,67.7863285959867,88.08299716692937,133.2354627197029,60.93785349604591,49.62627799718587,25.99866156337357,27.81809784171246,46.91260239042397,48.94206404731154,32.435957412350625,56.32413615967606,34.06169247817939,43.273581409498235,36.68223541508357,68.93526226595849,36.036831187388245,22.692050193550756,52.18815977626288,77.41579575106263
19,UP,7.087694050934763,31.17,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.76610407923764,112.16878688892797,153.38028570440633,152.81708981247394,82.65647422416302,67.23890008699702,88.26079183613697,133.24670890382657,61.12636919066679,49.90028833209923,24.806633928958224,28.853271212849126,46.221722381389526,48.79626568032895,32.56748610198242,58.3339660951554,33.67660162759166,43.389984289289174,37.08212790070396,69.11991047705122,36.10306071135478,22.531002161105526,52.206909743729156,78.15914947662112
20,UP,6.9483017885757326,9.745,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,141.3046707644189,111.7647683011664,152.6055891135426,151.51881726537667,82.9853098992458,66.82270355267276,87.23053943810746,133.76879099740296,60.91874117433774,49.65965358884605,26.134111709372515,27.17398828845424,46.542810223496595,49.01847754556792,32.44764540105573,59.48092564354058,33.86435037655812,42.92107322867577,36.78968312587236,68.59166080289667,36.437843768186845,22.72089045237079,52.27695581354988,78.3073076919536
21,UP,7.0334527352399805,25.86,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.50196469723255,112.12346763844175,153.3668689616617,151.32619320996997,82.62209249230135,67.56502306311496,87.23176413735298,134.17271615157267,61.811584457325154,49.144238845574904,25.52338755508706,26.208888913328842,46.79984764958513,49.03664285484145,33.279796415262226,59.12207655492067,33.49057333633653,42.848182779187866,36.82216243072757,68.44005459486544,36.51498127977111,22.51118543734039,52.33856454364952,78.39018350777296
22,UP,6.997956063003112,19.64,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.71825644584854,113.54769716138388,153.6905165521987,151.17002340672386,82.6895749699615,69.35766597786534,87.0844468243358,134.29627661275757,61.23897577246996,49.8962948696748,24.962966762957464,27.845770599455033,46.711189474672544,48.07124055341634,33.14326582854369,57.16024346033406,33.95151853544312,42.86229319024853,36.75415926388694,67.95987938862837,37.00335669468035,22.195756127179042,51.68758398289073,78.12306780308184
