,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'DOWN',12.74516697771432,17.04,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,69.7921606403561,148.22876629952248,140.2244890502491,128.56993119396822,26.64953483030027,146.75197804659567,53.921501164498295,159.06169224786447,55.470403413717904,30.724402652221016,67.22463844316184,67.16986553334966,55.37442088876167,42.66735690938375,46.5852416502926,46.99566627194194,48.36763449536253,31.560584245151013,30.744155066987577,33.75982249661389,48.412805812210166,34.481275064251875,35.77830654089968,49.92439586340285
1,b'DOWN',12.672650476096209,17.04,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,69.7478059808773,148.77559308609133,141.37777696426267,128.73290393803902,26.770049356976983,147.42897695186204,54.12529603563068,159.4785233898154,54.57049701434322,30.563587254243345,67.0260125459066,68.0316682481434,55.068800181666774,42.8992377327636,46.4197278329378,46.82928937743078,48.78601353848863,32.12705902486728,30.53397479081375,33.643388276701174,48.55908423311849,34.79816582234881,36.34540855053022,50.71149351233538
2,b'DOWN',12.714337879471202,20.415,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,69.43256955709364,148.0438954971092,141.10818433639554,128.8380982611028,27.11739316745721,148.58180405623034,53.628048902750436,159.46310823266595,54.5392088146889,31.021135986828597,67.74660935268194,30.279824601607856,55.51735255209139,42.877298117912886,46.06623757624296,45.97094383047804,48.77386051913393,32.48269114193271,30.345377472112997,33.630294021862504,48.492976499537946,35.2282472498261,35.84428083361962,50.45927456002801
3,b'DOWN',12.657700579435925,28.265,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,69.96600976073597,148.00325709236563,143.18141828580318,127.63714810662724,26.8676502346093,153.95779631615287,53.940092169968395,158.9056288864798,44.491604925903296,49.38572866347779,67.8656029952028,30.206469072967934,55.75476692304131,41.89323585275687,47.59712184856669,45.30560424102827,47.9145841700483,32.34326931503827,30.57174042986716,33.358235098490134,47.3328059242348,35.81432340150314,35.89012918537961,51.31368927007858
4,b'DOWN',12.428675095991423,18.5,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,69.98221106627294,146.93168039024872,141.3365191362313,128.02882384322348,26.681253916596916,156.35849070541494,53.14941751862783,158.70891774694093,54.44805323806794,31.807785281293206,67.77075817950585,29.60108391112459,55.42100248095085,42.678058305089465,47.81709778526815,42.40477846213091,47.64890836953237,32.44593854294598,30.614400306555975,33.426576926026144,47.13964637510718,36.24269345251461,36.20887891452309,50.62851961609391
5,b'DOWN',12.484627770887784,35.94,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,70.33189301281136,144.5864218715184,143.20354672847202,126.75293326960261,26.759416818245995,156.82241922776328,53.20688381084635,158.75282369752674,53.82956692079403,31.717025501253687,67.70461218252532,29.689884000486188,56.40652617819989,40.2020306614055,47.697332013105296,44.60107698393057,47.85926631620845,32.26960530061212,31.103226846298423,33.31138123822454,47.47731205139784,36.28389620030685,36.37243838847726,50.69854782259351
6,b'DOWN',12.327755243123619,15.399999999999999,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,70.50208575152386,145.89196328872393,144.52796798370906,128.47488474354992,26.643219593072928,158.36489605343164,53.440202165275224,159.3062607010223,46.28712142684116,47.59369115474253,68.1792578564438,68.38506567856625,55.9550981903259,39.71846179205763,45.45168118662195,47.8063618116269,49.030879882266056,32.57821577778891,30.818474594262412,33.58567715763776,48.519711390933594,35.17565973796235,35.95940277783191,49.97234290769363
7,b'DOWN',12.384430712242477,11.945,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,133.9261768278869,145.6160628846525,145.04881631028053,127.97159575295754,145.4648277514898,160.9939320922746,53.68063469034276,159.3875387017828,46.54001351469616,47.835183019789525,67.94378035583533,68.56086001642231,54.145620917566724,39.43254743917769,45.27113649669233,45.69924955643183,49.28309571912548,32.57592814440399,30.861761078441344,34.15238491784644,48.17839155119687,35.39568344939812,35.93240800645908,50.40411123231588
8,b'DOWN',12.450387897012348,19.634999999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,132.93686217643173,147.5438486289474,145.59669088433594,129.65373729397493,145.91497469646734,162.42896774339778,53.8467742018417,159.34780068197435,46.60142250643173,48.04875930539466,67.89213725999899,68.59152406790831,11.861879982433749,38.01770102951868,43.509533256274615,45.647441526707674,49.8097920205121,32.61407851300586,30.596460673054423,34.619912279899125,49.046538732896686,34.89334953896681,35.41809533532879,50.05143250746289
9,b'DOWN',11.8495130745317,53.995000000000005,b'stance0000',b'stride0001',b'stance0000',b'stance0000',47.59793718507367,,,,,110.47872210119581,,,,,,,,37.711637199655,,,,1.7688735945691028,,,,1.622903501368313,,,71.08418499202821,154.78829150844118,145.16646929048417,130.21214880537076,25.959779690438467,163.86804835290658,53.67096224691659,158.88081995373003,44.39303810914916,53.685418516009776,64.27120761941963,69.05096190356036,12.699013049319689,31.0554268514148,34.307503780934006,55.410396633735765,48.46357709582546,32.97098696859425,30.73761720187234,34.21026043609717,48.6006515226867,34.967665296019014,35.18780289488748,49.84564933394686
