,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',,99.445,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,1.144264873409048,,,,,,,,,,,,,,,0.30990080941917186,,,,0.0,,,,138.54655397512335,175.30579749715554,,,47.845546507573545,129.3807806929231,,,44.72089186549928,19.8304404755193,20.156681692248462,68.74502440818226,25.066252666296087,44.26614823483165,41.54336438655839,27.662523547780175,29.650255584997907,37.25070028002621,50.53650382458621,74.71166988723614,32.25808485691297,30.95717897093533,16.254045035593553,64.66571803529052
1,b'UP',24.419984312070657,99.445,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,1.144264873409048,,,147.51195866261614,,,,,,,,,,,,0.30990080941917186,,,,0.0,,,,137.67690943954602,174.73271322648355,171.0043845110004,,48.30088160958144,130.48179931738918,,,39.21152767515448,21.259413458874793,21.50569790414345,68.24493462260986,25.580945523722654,45.115286571334266,39.79559598017826,29.180115473952196,29.939871459537844,38.1242123197441,49.551924998870405,74.97471785140846,33.380201449835376,30.56234275185915,18.414896434006604,58.89477532621774
2,b'UP',24.816313409620633,82.97999999999999,b'stance0001',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,32.73117102328137,,,,,,,,,,,,,,,,139.80164607673203,171.11339116970166,172.53379368760335,,51.53589340094234,128.8820423430166,,,37.92455253076659,20.952688475001928,20.81531134352356,67.17424425765822,26.158749188397618,43.89859408823318,39.52903398880016,29.428364187003925,29.554053332891606,38.779955442837,49.64251177314149,75.34270808488118,33.33058659264322,29.196685143880842,17.127901286118075,61.380646511433596
3,b'UP',25.298901305136,56.974999999999994,b'stance0001',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,32.73117102328137,,,,,,,,,,,,,,,,139.05378136280726,171.84522196921287,157.0389386188608,142.1268555549624,51.83106818463071,130.9726691518398,,137.8307326630418,38.8185827753645,20.141216123992102,19.60936092920663,67.13402833407173,24.726620855241542,45.80700030327549,39.76075623406296,27.358640828358123,29.15385175011052,37.64259609776308,48.961975754976976,77.61656825753192,34.30951054180253,31.030332560101783,18.778653078393337,61.02116933172574
4,b'UP',25.168191402845043,91.42,b'stance0001',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,32.73117102328137,,,,,,,,,,,,,,,,144.1138729978717,173.94538299651416,170.11576350561944,157.15650091492395,51.3720842990559,131.45340874946623,,,36.626098796277226,21.600746115856595,17.427660173027984,65.57980986822983,25.22862425495319,45.343607885718605,40.142407338964446,26.564465522864182,29.471365431153526,37.89356820793431,49.86727026837816,73.12322158858179,32.516157268919955,29.982626261118867,16.86157647771348,63.74993593154129
5,b'UP',25.26033592179848,182.175,b'stance0001',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,32.73117102328137,,,,,,,,,,,,,,,,138.36449422715683,175.2941941789796,165.56792091803527,153.5085064599019,44.34028462793924,132.1944025895432,,,36.23078424577021,20.80519809609576,17.4575802666399,67.79378249663536,25.371945362295865,46.66752320204545,38.827725211958246,26.237815612012497,29.46619677948231,38.1839243032802,51.129201992043235,76.1278320347329,32.542367987759185,29.25499253048443,16.115257499889054,64.68875109655505
6,b'UP',24.289885163021466,294.62,b'stance0001',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,32.73117102328137,,,,,,,,,,,,,,,,131.66793387550607,174.91101049588417,173.68173280454772,154.70759782579313,,130.95844133787037,,133.26990172870316,50.045630253409605,21.442292381901954,17.387795680763514,66.32471966319528,26.256227959772243,47.33479308077381,40.14214068401692,27.304257056676693,29.673758927170937,38.452577481085065,52.28383612803596,78.09023969735703,34.53101292715535,31.081576425457826,21.15977692567651,57.066496314229745
7,b'UP',25.07277332528201,131.855,b'stance0001',b'stance0000',b'stance0000',b'stride0001',,,,0.0,,,,,32.73117102328137,,,,,,,,,,,,,,,0.0,132.75769646284732,176.98915243870397,166.69990338321014,151.4724675810732,,131.26695325691077,,144.24750675424087,48.10279601387336,24.241039814570854,17.48447874947834,65.54731131488427,23.34652956489842,53.506593539841134,34.85894668908904,24.979742458014307,29.95989835885052,39.43906050461236,50.53621553502858,74.92245640164354,32.94225863247174,44.50612266897867,58.70929014697983,55.55515843459756
8,b'UP',24.373731100295792,103.035,b'stance0001',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,32.73117102328137,,,,,,,,,,,,,,,,143.23792370184077,168.9803660401119,159.53034815795655,129.90017948887763,,128.65364505039517,,146.4797535735391,29.82785610559461,20.756183081404156,42.409197715771,2.2273491303195714,22.20520654174998,48.42571235096945,38.83962031735249,24.255188491769847,28.76105895632329,37.92598430226611,48.99450283361201,78.47393271253073,44.678640591924086,42.371412519109626,62.93785434993277,52.857725725776504
9,b'UP',23.93637666901266,201.87,b'stride0002',b'stance0000',b'stance0000',b'stance0001',,0.0,,,147.08133991928537,,,,,,,,,,,,,,,,0.0,,,,152.92179843091222,170.8932585143349,157.8109324905236,,51.39526321239151,130.17204258764576,,,23.12671046031399,15.893004439621127,24.196903653970065,61.707141939673505,22.294509737331044,51.27474112076329,36.79548173488888,26.445818646808313,27.90059608907887,38.73009277792309,49.87653145384226,72.75644276932806,15.853347419881654,49.39867932451955,58.68037659417173,52.36688753216152
