,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'DOWN',6.171314916090097,44.574999999999996,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,152.03094277431927,171.85249312759152,142.28127911939333,158.8012291887673,111.20534876778734,110.80171769361111,136.49504554645557,72.84613090035576,32.97626051339568,63.32396169099453,43.3411649076191,51.98441665631933,49.886014725920376,46.69732308430491,62.00597322463954,65.03135268161168,41.72680728766582,42.220680545319524,22.879052984013935,32.3200011487714,57.66820910958421,32.29193913515472,32.69473433512979,50.03672667763768
1,b'DOWN',6.201464901296532,44.574999999999996,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,150.84176320896668,171.0927157446281,139.25969057937544,157.11520613130435,111.1201230363321,108.19261195977657,135.6806098847116,72.25813825872608,31.298436086331613,64.3478886238493,43.86783513840241,52.17463139614882,48.53905041202652,48.931401206082946,63.2853259817925,58.99436780480134,39.498009587902416,42.25253786665198,21.42495894210346,35.35436940202859,57.142907668602476,32.389355879136374,32.631192379013235,49.85198553102361
2,b'DOWN',6.106759574305926,39.239999999999995,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,148.43445948188523,171.2367578683201,141.1100094146797,157.5907990892193,109.49311260985799,108.11698694288464,134.1259145019182,72.358395263374,30.99324220547712,64.27768129552692,44.122907840627356,52.18441834925368,48.18861265277083,49.01771142642889,63.85215947717003,58.49757503577491,36.63769537906515,43.02347159995396,21.892630515227353,32.594814022214535,56.160977884121344,32.51655879850404,34.01734582570539,49.00078801526885
3,b'DOWN',6.094481355452558,36.995000000000005,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,150.28725009637137,169.57451108925184,141.16029934695013,160.61290659565944,112.43710976942333,108.11300241985363,133.86373029892525,72.9549542783813,31.19943288512123,64.9608780538416,44.04692412886809,51.928356376733895,47.98217815195114,49.0058127341144,64.48374927150952,57.82650233111862,40.304237303034895,37.21081130300372,19.28382784845673,36.474027877829435,54.46999547385713,32.82602609099364,32.819608813042755,51.24109074301764
4,b'DOWN',6.014753530823469,15.079999999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,151.4592205212151,169.35821653286962,139.6647232346172,161.63858726545487,113.58886895414619,105.94533984959344,135.15237250365982,73.49418145402106,31.3178586285691,65.60626213834183,44.88424280755671,51.098294125858075,47.821743629611156,49.903127608100014,61.22418224137416,58.87679164112209,34.17422781334962,34.67439360880329,21.225494197830113,32.62526883612932,53.11891449820562,32.07858260927889,33.54017319073641,51.13571818640591
5,b'DOWN',6.037740610661388,16.49,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,0.0,,,,138.3995143134371,,,,,,,,,,,,,,,,0.0,,151.31872550155236,170.5426995808674,140.49725231345639,161.85323201013495,114.25355828720222,106.77331137459075,132.7619338526022,73.17631034205414,31.09465726913112,64.8791799800831,44.07589386835879,52.40314588025488,47.278142661668376,50.46749803190988,61.5573462435722,57.71629276001475,26.751575450197905,33.62877129593549,17.532689944668483,34.738700854819996,52.68416098403401,31.989286089908163,33.85386960523596,49.08561869072736
6,b'DOWN',5.9717102096250585,41.974999999999994,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,150.5981684991753,167.87369707904125,139.81194031000646,162.59926891167962,105.4597279412465,104.94649988377112,133.32079765647936,73.4693649486448,32.21879476644621,64.22165562090645,44.200817218132514,53.593529125849464,47.82452389221182,50.61548045279761,60.238807781796126,58.74397104994029,19.264944323788043,26.752258161443397,18.205426475274535,43.77627069129011,52.471899201285076,32.530263525696334,33.33764447999596,46.7374764437339
7,b'DOWN',5.857424966955563,10.915,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,3.5023163279282175,,,,138.73616230875453,,,,,,,,1.2325416104486706,,,,0.1705932943111481,,,,0.0,,152.2194328602616,167.65543722699084,139.97675308496443,162.3640439527433,109.30284406391198,104.60354140805195,127.91882719124547,74.19425086058466,32.86025592572298,63.85818627860924,44.047353222238996,53.32514852594349,47.44676961558993,49.88819205210385,60.822414448326114,58.73367184757688,70.6415321952274,15.389627477558216,17.432996766509945,53.73785042083845,53.356192173585484,32.45956516801922,31.07213121668458,46.15553598488329
8,b'DOWN',5.937406897880635,30.805,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,3.5023163279282175,,,,136.07533196527947,,,,,,,,1.2325416104486706,,,,0.1705932943111481,,,,0.0,,145.97901868491746,170.5918878951642,141.78319014134001,160.2837549519242,102.16147013989236,106.60970368794796,124.57180701282718,75.56345625932045,32.65874771842413,62.82310554373962,45.485723045024095,52.4577768014425,47.1894222380084,48.89339209447147,61.8696152620066,57.83651517682377,54.240881761535846,5.5321085309950035,1.0761317055022326,60.06392962996923,57.352680537213644,35.88675226108516,33.08908673904874,42.59316667087648
9,b'DOWN',6.255289789249957,69.78999999999999,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,3.5023163279282175,,,,137.50362069830587,,,,,,,,1.2325416104486706,,,,0.1705932943111481,,,,0.0,,147.292017162849,171.85879539405846,141.60445222027408,159.6506891596899,105.36217937341718,108.26801054730082,,74.81281670146075,32.65808717173839,62.537167163263746,45.32850175305136,51.53213764870938,47.65544973716623,48.71270654811256,62.24997409764406,58.81074713856655,22.894428802130474,24.881992583400063,10.108174351840828,38.573128471681514,54.67383565531007,39.14691308910174,29.566914609133935,40.481268224908824
