,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'DOWN',20.955941797215132,75.8,b'stride0001',b'stance0000',b'stride0001',b'stance0000',,1.380327041187518,1.8167924096851882,,,,126.6182777437325,,,,,,6.759460559422422,,1.6123513992537184,,0.8707070460413415,,0.8707070460413415,,0.0,,0.0,,,152.61977139587833,158.01378342346788,133.0025364258372,,131.31683658552495,159.44244287012464,43.40578511890638,0.5290245624029618,32.25164399627975,32.077944558010834,1.6199908078747896,52.825536258118746,27.597452339138556,26.5399291354074,19.762393606804306,2.376175059158662,0.13804805278162227,48.24931802200528,37.00590342311773,29.200363107379157,13.481756426472241,21.236069567885206,13.898899018080154
1,b'DOWN',21.422268839965568,75.8,b'stride0001',b'stance0000',b'stride0001',b'stance0000',,1.380327041187518,1.8167924096851882,,,,128.23062914298623,,,,,,6.759460559422422,,1.6123513992537184,,0.8707070460413415,,0.8707070460413415,,0.0,,0.0,,,148.82323056659945,155.50490385232527,132.34785659977507,,114.1472703421499,165.45764036252726,41.33561070059778,63.28472925857438,0.7649974575990514,32.25061809632659,1.3870459260989463,56.739542438588636,26.30637630243474,26.117378942247875,26.55179885017743,1.9576635543587995,0.024402692945912133,7.318670558375105,4.055612332633865,27.625042944046236,13.631390070849665,19.8032246413853,15.607398842948486
2,b'DOWN',21.610698438122938,70.805,b'stance0001',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,151.92290815488292,159.81032402934815,139.6112725644374,,113.74322874950643,161.16041532572837,46.9674941087772,1.0241368494906742,0.7743894416654641,1.68770405552986,30.717769552210274,56.53442646057608,29.727076277102512,27.170297269809748,25.148784616577768,2.2593445307642726,0.17423910956459224,7.30619621516687,3.5946369372539113,29.992816466696645,15.50033261744042,19.85540325087726,14.788486257393231
3,b'DOWN',21.36156450936062,25.555,b'stride0002',b'stance0000',b'stance0001',b'stance0000',,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,147.79319728343452,156.03644651449517,135.14144061487167,,112.09173379136347,165.5137641195173,44.596437077416596,0.5822220362183226,4.6622105472173665,4.12272902462518,1.2773653264103149,50.05528828983471,27.448561957728025,23.92305872329197,26.11576914694907,2.014264205162039,0.35965446640595716,7.050318674331188,3.471394362416664,27.255545991442766,19.28269973678086,21.681059430449757,18.249846806421374
4,b'DOWN',21.395956637873724,35.435,b'stance0002',b'stance0000',b'stride0002',b'stance0000',,,1.1362064427268757,,,,127.5965615552324,,,,,,,,0.410379156681806,,,,0.0035931749456378226,,,,0.0,,,151.79541139284217,156.35224707093917,137.26764462007577,,125.65900898706809,158.86272527031917,45.89642440487444,0.5142316848423083,0.4407229835936335,2.083700055072562,1.3757246122859632,52.4163367515264,29.084154889258077,26.28687511809651,21.965232343147928,1.9811272768759742,0.13557207780376856,48.39696244727621,37.14778174270427,29.83459318824075,17.811439158421724,21.263274978101418,16.936857858330995
5,b'DOWN',21.35670095696875,61.184999999999995,b'stride0003',b'stride0001',b'stride0002',b'stride0001',1.034985755429198,1.1244818024624512,1.1362064427268757,0.0,,131.4434328014038,127.1861823985506,22.407520131474474,,,,,0.2331680776267575,1.8093030707320494,0.410379156681806,,0.5628995635198125,0.5628995635198125,0.0035931749456378226,,0.0,0.0,0.0,0.0,,153.45058335057297,159.72839439454336,138.13303761845492,,128.56175524364704,158.83718957097548,45.72873160953412,0.73338841311276,0.7712445604702646,2.0814179344243784,1.171507249165829,47.5149271931435,28.16763425978749,26.958201298885584,20.25743904848171,2.374739230115101,0.13563214956821315,47.826262511259976,36.493037726991176,26.625917188855777,18.55411682103331,22.080081721696914,16.593947700451317
6,b'DOWN',20.86470935372546,131.06,b'stride0003',b'stride0001',b'stance0002',b'stance0001',1.034985755429198,1.1244818024624512,,,,129.63412973067173,,,,,,64.32656753897466,0.2331680776267575,1.8093030707320494,,,0.5628995635198125,0.5628995635198125,,,0.0,0.0,,,,152.6172752775091,155.83860136487309,136.25689930832982,,128.5757613985379,162.01166248836978,43.72666708957709,0.4048174601709401,0.35472786306988285,1.9092787799523097,32.435625825694,53.75804974957606,21.59400155382825,31.14797866448965,18.06202132913828,26.9267726252634,0.6297530247294173,47.59473736042709,19.678793394385934,31.24033438860586,11.930349738860649,21.43750205409638,15.507644215194656
7,b'DOWN',20.965035122020254,39.435,b'stance0003',b'stance0001',b'stride0003',b'stance0001',,,0.0,,,,129.6284794861208,,22.75986311173845,109.40598682242012,,64.32656753897466,,,,,,,,,,,0.0,,,157.40365933084442,151.07390988730998,133.7035947075775,,127.76904914834265,164.89442331606105,42.390643732249316,0.582330842674405,0.7141484150875884,2.0951542074798577,1.343973512886959,47.91654055416016,19.854501631509812,32.2274750195716,18.21834848016557,0.7764260224832854,25.398162712159078,46.92191851518444,18.908800295269703,26.843810454621178,9.287567609470152,21.624170405814088,18.000666330245718
8,b'DOWN',20.49874891676481,70.395,b'stance0003',b'stance0001',b'stance0003',b'stance0001',,,,,,,,,22.75986311173845,109.40598682242012,,64.32656753897466,,,,,,,,,,,,,,150.7707901994329,151.50622881802434,137.04443662228934,,127.48335728621821,162.53611455384856,42.979107592384395,0.7170260170175979,0.7019300927045936,1.973583218143309,1.3704186437807293,47.50465080962568,20.97214620135881,32.72383373199528,17.4579049531695,0.9436893174819796,0.09128740379679887,21.260173088978465,19.241159153768738,29.54161736102795,9.844663360198814,19.987417849797048,17.12807733351407
9,b'DOWN',20.468651069092232,54.224999999999994,b'stance0003',b'stance0001',b'stride0004',b'stance0001',,,0.0,,,,129.30622186896122,,22.75986311173845,109.40598682242012,,64.32656753897466,,,,,,,,,,,0.0,,,148.15493019001434,148.927952356728,137.86994821162702,,127.64280655293572,167.24878610358095,44.3735308681637,0.6077138435702819,0.6062187826408789,1.980459774226948,1.2073749921159762,50.36170400417371,21.963472954996245,33.15327474973664,17.500749818151053,27.327068420930203,0.5119170526904239,46.96430369851669,18.66963278070252,28.768721504502125,7.4565386529583195,19.561998642746637,15.726797573828492
