,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,8.260382780213105,151.88,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,24.125183670415346,,,,,,,,,,,,,,,,,,,,,,,,,,179.3783720318157,,,,149.66094990273282,,,,,,,,,,,,
1,UP,12.317567530974424,151.88,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,24.125183670415346,,,,,,,,,,,,,,,,,,,,,,,,,159.24133282837013,177.08867716553885,,,,147.02897539279098,,,,,,,,,,,,
2,UP,20.92889328640312,416.875,b'stance0001',b'stride0001',b'stance0000',b'stance0000',0.0,,,,,,,,,,,,,,,,,,,,,,,,,,160.85051067638068,178.6850471521461,,,,147.73348402906652,,,,,,,,,,,,
3,UP,,119.785,b'stance0001',b'stance0001',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,179.25083853388074,166.61893814119938,,,,135.69433888025173,,,,,,,,,,,,
4,UP,,226.51500000000001,b'stance0001',b'stance0001',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,177.03032362392764,167.34655225767432,,,,137.91309736131396,,,,,,,,,,,,
5,UP,28.044428394168,363.175,b'stride0002',b'stance0001',b'stance0000',b'stance0000',,2.698024912206727,,,,,,,,,,,,,,,,,,,,,,,,,179.94991668500674,161.97490270397512,,,,133.62310378819086,,,,,,,,,,,,
6,UP,,216.07,b'stride0002',b'stride0002',b'stance0000',b'stance0000',81.9513775883592,2.698024912206727,,,,,,,,,,,,,,,,,,,,,,,,,173.78177400402265,165.5063772278784,,,,133.15110474465916,,,,,,,,,,,,
7,UP,,159.555,b'stride0002',b'stride0002',b'stance0000',b'stride0001',81.9513775883592,2.698024912206727,,6.171601238264154,,,,,,,,,,,,,,,,,,,,,,,156.07482802767802,172.17233211272298,,,,144.03626713276654,,,,,,,,,,,,
8,UP,29.87613619152679,230.685,b'stride0002',b'stride0002',b'stance0000',b'stride0001',81.9513775883592,2.698024912206727,,6.171601238264154,,,,55.798069735335034,,,,,,,,,,,,,,,,,,,,173.53005305834017,,,,151.76953734531776,,,,,,,,,,,,
9,UP,30.198128317888546,167.25,b'stance0002',b'stride0002',b'stance0000',b'stride0001',81.9513775883592,,,6.171601238264154,,,,50.88441479452938,,,,,,,,,,,,,,,,,,,,168.30660757006046,,,,144.28450645980587,,,,,,,,,,,,
10,UP,,244.49,b'stride0003',b'stride0002',b'stance0000',b'stride0001',81.9513775883592,11.019746865305475,,6.171601238264154,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0933043296553,,,,,,,,,,,,
11,UP,,383.94,b'stride0003',b'stride0002',b'stance0000',b'stride0001',81.9513775883592,11.019746865305475,,6.171601238264154,,,,,,,,,,,,,,,,,,,,,145.57670263475524,,,,,,,,,,,,,,,,,,,
