,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'DOWN',5.3208192478282115,47.9,b'stance0000',b'stride0001',b'stance0000',b'stride0001',99.16928322925074,,,18.894775328963252,,161.09507739566317,,2.3676284650496795,,,,,,21.677805304641357,,68.03077774709391,,,,,,0.0,,14.413795085690538,137.16035426486542,153.5362227266893,125.08426673371471,109.66169063813395,145.49203136107178,170.91443244709654,148.77281025315278,103.95432106458688,17.36009689318473,46.374114658045045,1.4801285544513212,3.2468968011359727,88.68484502001479,2.0447325285519393,0.25203368606549775,1.9709527260642024,32.5848914582098,22.259258360917993,1.6844823484152585,74.17427949408864,31.306226512069305,17.24744850706079,37.85458691574554,56.76011297424859
1,b'DOWN',5.049885974560823,47.9,b'stance0000',b'stride0001',b'stance0000',b'stride0001',99.16928322925074,,,18.894775328963252,,160.97037309293557,,65.21804755873922,,,,,,21.677805304641357,,68.03077774709391,,,,,,0.0,,14.413795085690538,40.444631398406756,152.43871012946025,122.63188099810198,178.15255724808105,2.8141894039401336,170.0243592336939,150.42752076558023,106.67327417138651,77.64433441156538,76.38295363015295,1.3570923082272743,3.29956545002328,3.9202552585631447,0.8032620582021156,0.6220514925673073,1.9847615241755217,30.92371906934719,23.35290981935328,1.8545963969151558,77.84776482310657,16.23887332902546,18.621250274751095,40.58331951346164,72.72302407553421
2,b'DOWN',4.73336622769088,1473.45,b'stride0001',b'stride0001',b'stance0000',b'stride0001',99.16928322925074,1.5179955452753946,,18.894775328963252,142.36768388847307,158.88594860755845,,65.47922417116716,,,,,3.35001066993658,21.677805304641357,,68.03077774709391,,,,,0.0,0.0,,14.413795085690538,145.35392164779137,109.2572690898911,122.26249723313265,177.9385234892896,105.05082414278607,100.7673127923557,142.65909302178093,107.03451177611764,54.938489131408964,26.76138571517812,50.75976078580283,37.67320838040819,52.906610982763006,39.26171850281058,46.17395449990273,38.03882185220384,32.06839305895712,23.783846809347498,3.7574441693801646,78.0810845992583,1.0357176466492903,0.45089680016775235,0.020639032020966567,1.0844790883724773
3,b'DOWN',0.07610860494713734,369.84999999999997,b'stride0001',b'stride0001',b'stance0000',b'stride0001',99.16928322925074,1.5179955452753946,,18.894775328963252,145.71769455840968,139.4172720910218,,69.35491275333986,,,,,3.35001066993658,21.677805304641357,,68.03077774709391,,,,,0.0,0.0,,14.413795085690538,122.0212341733839,142.68406014437318,123.91301064115137,174.50783053074036,107.39129262242675,111.92913190827987,147.9379124938361,107.21762307844385,58.49496633175708,23.00116508284355,54.65515400015103,42.14369148128226,47.74089756822346,42.37471843967017,47.36035030181769,39.40591126599076,30.17892784186249,24.11096640337184,1.2021563361498693,78.64492964559899,1.0976881377753696,0.4684932968174642,0.06336222383326148,0.9006622340862813
4,b'DOWN',0.26291091501826713,61.42,b'stance0001',b'stance0001',b'stance0000',b'stride0001',,,,18.894775328963252,,,,70.3984062121436,46.1968526236085,,,,,,,68.03077774709391,,,,,,,,14.413795085690538,122.27673555824532,140.48116631006673,127.10620213646533,177.47864283628763,109.83050811502238,108.36180295474196,141.87934934730276,105.86913060072497,55.8019285579365,20.947472805884352,52.817077058592965,33.916119510460746,42.31573052356395,43.95281707845515,56.48847027373794,42.63841850096813,32.308876589815576,23.66362247040199,0.483865632176105,76.19542162998047,1.1202618043355927,0.5068296632933198,0.1069934381283147,0.8974771679211501
5,b'DOWN',0.04533764995812817,256.885,b'stance0001',b'stride0002',b'stance0000',b'stance0001',0.0,,,,,141.86322541240588,,,46.1968526236085,,,,,,,,,,,,,0.0,,,122.04589623509582,137.11264892124336,126.74770612013685,179.48047876520803,111.14968725606907,106.27301194135022,140.7247085033975,103.96284373249914,55.648503036196615,20.543690293832423,49.77506540568182,37.40618088742842,43.171860507192875,36.344240477016655,56.764394214154386,43.97536662235686,32.80723900479638,24.970112073631476,1.336734673467305,77.7675303275198,1.13057697335912,0.48895249494418164,0.0864103181232776,0.8973513363059387
6,b'DOWN',0.07351187771388368,64.77499999999999,b'stance0001',b'stance0002',b'stance0000',b'stance0001',,,,,,,,,46.1968526236085,66.55294446863572,,,,,,,,,,,,,,,123.75898586740203,139.34928225584358,124.63258028733591,177.45786881990415,116.14907442159532,108.96370123550342,140.25972337655207,105.4968433923352,56.65593177066647,21.710765896908157,49.36231877000803,36.18715090230325,44.120208961831246,42.83650967060321,47.7577188007525,43.00998119525238,31.952569853780346,25.62224380520876,3.2073673555079267,80.87481258103766,1.0544992610560637,0.5847652913605155,0.14418766268301583,62.20358338800115
7,b'DOWN',0.23945784004712323,278.2,b'stance0001',b'stance0002',b'stance0000',b'stride0002',,,,0.0,,,,71.86492249865094,46.1968526236085,66.55294446863572,,,,,,,,,,,,,,0.0,121.32020202389862,138.10328319009687,126.25802858158517,179.594862676486,107.28242787301814,107.78952367390745,142.71804877726098,113.09235657812191,55.816937033127346,22.69305746441321,55.065056773857705,31.333449339153916,45.9613919217117,38.87814411969508,53.51624035920919,41.64449351556522,32.1311338181536,27.051025398727635,3.321024183853922,79.30530611493822,36.62642149680771,34.322553053854875,78.00957409778545,40.55377216773806
8,b'DOWN',0.523289956959303,77.94,b'stance0001',b'stance0002',b'stance0000',b'stance0002',,,,,,,,,46.1968526236085,66.55294446863572,,,,,,,,,,,,,,,123.97762576144625,138.22942113603833,124.30432334566494,178.8996440102349,106.31872517077579,105.65960582895266,140.71630412121382,113.86184096091232,53.4151061332046,22.583222318825253,52.29672475369223,34.51327038301163,46.717793637299614,39.645105206327095,51.1302081900377,43.97034725237063,33.68596736890455,25.850542227516648,4.4977603094970675,81.86242657849454,36.723603920931524,36.466094925053156,76.1212464546754,33.48943647713888
9,b'DOWN',0.6199461437995808,291.13,b'stance0001',b'stance0002',b'stance0000',b'stance0002',,,,,,,,,46.1968526236085,66.55294446863572,,,,,,,,,,,,,,,124.51265431930362,139.72077808372728,124.84501791914738,179.16592184101955,107.5410383425471,105.78809799662368,141.4846356695915,113.4195644098471,54.12311779646198,22.50128229931956,54.5232643094972,34.20038746405903,48.355320801699705,41.99633813058347,50.169034635399356,40.3322696235089,34.061948129313826,25.389056580144477,4.562786153078179,82.32191986500352,37.643570654003994,35.407832037756286,76.71459697478063,33.10523820984967
