,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',44.663823258371124,17108.095,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,121.45432995768748,410.73205349901673,341.03981963242046,97.72924838819505,,114.91910902051279,69.43556788051099,,,,,44.23491236729487,,26.86767872373322,1.0834383777695535,1.8249564291649962,,1.168619178059613,1.168619178059613,0.0,,0.0,0.0,179.3744500366833,138.44159570541368,171.0587233135443,174.11396776378103,132.5702993655702,164.73254236563636,135.27587639522517,,30.354201412000684,27.03689287275722,40.65790203640222,29.73896631184818,24.220699760943816,44.51799790204189,89.11082995876187,17.359064841028513,32.96667195344867,4.40545966086011,8.72072570647341,54.30581155658665,0.09948183783659559,81.70265206181578,0.25256745694795885,45.771515421969895
1,b'UP',44.98087943548294,17108.095,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,121.45432995768748,410.73205349901673,341.03981963242046,89.10629686090795,,88.05143029677959,68.35212950274143,,,,,44.23491236729487,,26.86767872373322,1.0834383777695535,1.8249564291649962,,1.168619178059613,1.168619178059613,0.0,,0.0,0.0,176.4176706447484,136.41456814949922,118.2207618249825,173.53864841001882,141.26340374174123,164.69781265130555,138.5494605319544,126.17721625240252,30.762501157465106,17.48459222339235,34.80296368640405,50.1413869692439,24.331189938776603,52.95570463625984,0.7225116371718987,1.1414270291247528,34.476464161272325,18.495590939564913,86.65420450641055,13.276254603306057,44.92953897117408,22.844410353616293,74.88392632475792,44.80151682422866
2,b'UP',0.4264780716940777,174.85500000000002,b'stride0001',b'stride0001',b'stance0001',b'stance0001',0.0,121.45432995768748,,,141.9641607554899,137.26690701721344,,,,,,,44.23491236729487,,,,1.8249564291649962,,,,0.0,0.0,,,126.5214181918742,145.89802801122784,137.04985143019445,176.1401789395188,108.53209026976235,112.86058952138664,137.70154394773468,106.81701733062138,53.5130901090239,25.26786778159073,66.79622864113607,32.21937441138749,46.67284167683023,45.00129537324319,36.11718692351631,33.27187957789144,35.99787848169735,19.12514259758209,5.039965188372605,74.0267706907784,38.955496859749076,42.90283252161477,60.87811905915959,47.17787916689279
3,b'UP',0.2754373664845673,200.63,b'stance0001',b'stance0001',b'stance0001',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,125.57374090699722,142.6455665647,136.74097196651613,173.66815712601007,110.80624309907394,109.64456773774569,137.66284435890407,105.52322041825198,51.123961172833006,25.577967586216523,66.49788233030071,27.049044110460805,45.75445245028842,38.993430575552885,38.25502896780637,32.083368765670706,35.43041515437729,19.072624332876497,4.967183028751322,74.02178647701184,40.67385314028279,43.60508331398425,61.047767947874576,48.017783427110366
4,b'UP',7.41238794410927,235.98000000000002,b'stride0002',b'stance0001',b'stride0002',b'stride0002',,2.2347020673874267,0.0,1.5630379659686053,29.52480487872344,,128.43259509874665,76.44902017541555,,,,,1.1785621604893493,,,82.45132783672973,0.2835475508631107,,,0.25563810845048485,0.0,,0.0,0.0,15.297686105677286,132.77875726123045,137.54385247137796,175.39743596259768,40.99855046298339,107.18894109683322,140.66765600347918,105.31214177488083,69.25558141132626,18.42129476676133,39.45178828447007,50.52992570347639,49.82906702441149,37.38996583564217,36.56530541686299,31.151188921991004,40.77578854028297,22.20061174170956,0.6980076559935355,84.06574227735466,39.69602129704087,42.06491684818243,51.960713754829946,37.67850429320368
5,b'UP',7.2100601106607485,109.175,b'stride0002',b'stride0002',b'stance0002',b'stride0002',1.1175233300338532,2.2347020673874267,,1.5630379659686053,122.68740648450348,127.94796151487846,,158.9003480121453,,,,,1.1785621604893493,4.449619210389507,,82.45132783672973,0.2835475508631107,0.2752592764344741,,0.25563810845048485,0.0,0.0,,0.0,179.2719708405737,126.89159575699509,88.47531962524477,5.134125248530239,134.82639718977234,121.28379527581797,83.06910420865286,170.74105150008646,38.424463040876,29.602556001631513,43.93769958827229,32.576595508825,51.32825547627091,32.87307293588818,33.781399628216164,28.237087669053814,31.898632087504716,23.864023331988104,4.802393059028105,70.80034209098581,42.590638824289606,38.769644242612834,66.45020968384455,46.393468155100464
6,b'UP',7.373571832053699,16085.01,b'stride0002',b'stride0002',b'stride0003',b'stance0002',1.1175233300338532,2.2347020673874267,62.7689576214544,,30.703367039212775,132.39758072526794,82.85865812137591,,,,,142.52216859671907,1.1785621604893493,4.449619210389507,44.31502097081328,,0.2835475508631107,0.2752592764344741,2.985499564762654,,0.0,0.0,-29.298852364030722,,16.222262525061268,131.3126916631574,87.15285968685362,5.182653674892691,44.09608409211492,108.3893428353557,84.71309559642503,170.80440015662415,2.2388429481128997,52.5820079248482,32.81802328014404,52.673874906575094,50.00320806684219,33.16381831805087,38.71296741398521,31.6047502078564,0.4501574795587156,0.2091014694502786,13.30447556223064,12.164573649881703,38.289898089435,45.294754092373296,65.38185878189044,45.83236569470879
7,b'UP',43.101402007377075,281.385,b'stance0002',b'stance0002',b'stride0003',b'stance0002',,,62.7689576214544,,,,59.087097446445945,,,,,142.52216859671907,,,44.31502097081328,,,,2.985499564762654,,,,-29.298852364030722,,177.93132119334186,51.06642868442776,164.42240498550868,153.63323365036763,130.99370462024407,70.88542683470669,91.9402767527021,116.7734859871916,35.29867674755807,32.949481258920535,29.946548294319786,49.371283294020934,49.17888232561896,33.61676709336826,36.831566816983134,32.424739256471,0.45495000152346754,0.1968622157020738,13.755155673370822,12.468616976221364,41.34287618369327,41.6363112063379,63.29645383255922,45.12833596512634
8,b'UP',42.11230571996047,245.15500000000003,b'stride0003',b'stance0002',b'stride0003',b'stance0002',,1.6850298457235313,62.7689576214544,,97.90409357887563,,148.86673624477964,,,,,142.52216859671907,1.3389532217092466,,44.31502097081328,,,,2.985499564762654,,0.0,,-29.298852364030722,,179.12621964191536,49.681654650170685,7.038445428492821,152.30145622490315,127.00666945101074,71.63512343485309,169.2284508134264,115.87063438977253,33.48029273140228,32.09232416160347,29.279191692586092,31.81598166132337,51.89012853319407,33.360841429722406,34.71963045498235,29.88540315405113,0.4553472213992228,0.18169320763767277,13.952112187231219,12.651134783907183,42.517541950288006,39.20812312072038,67.93820121732617,45.621802860062324
9,b'UP',41.109360951090984,435.88,b'stride0003',b'stance0002',b'stride0003',b'stance0002',,1.6850298457235313,62.7689576214544,,99.24304680058489,,149.5389021828293,,,,,142.52216859671907,1.3389532217092466,,44.31502097081328,,,,2.985499564762654,,0.0,,-29.298852364030722,,176.68171973907096,122.04181015744723,6.935137729268234,147.54545678878597,123.20685690387852,121.91382045500433,174.2262016711937,117.68633049628593,2.2839781552337475,62.155560458449756,62.06017948895643,4.852287722763855,52.984673427417285,35.0203685622446,32.87237424805001,29.688659594279162,0.4013301413285397,0.12208732691971372,14.222029441240931,12.909552457739933,45.15877237450889,38.000423993007736,66.26175661520536,45.76181523950058
