,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',,79.01,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.7293692070338,,,,86.08816809013679,,,,41.26211654760536,20.785934576334835,21.39381114798814,17.1569876681406,11.300308178138295,47.59807106281269,14.818513134234609,5.824885137365645,35.26414388586,28.59708074096307,15.779296609237235,0.14330368711803596,45.17504956090109,48.19952375108002,2.024401492936038,5.8749797091804385
1,b'UP',,79.01,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.74413556248743,,,,86.53770988385698,,,,42.124570912363545,20.922152575448838,21.32919331798994,17.60986141452053,12.310257038915495,46.45504006211692,15.572215854363417,7.969965111583244,35.86549822415867,28.579088871223266,16.791359944241805,0.14878543133310335,43.47257702619532,46.40385387619776,2.2017935555915034,6.226833727684916
2,b'UP',,52.66,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,144.68827946819061,,,,86.40725616906383,,,,46.623905072569016,21.855051814108524,23.955173715653608,16.194273782846242,17.70937547149572,40.44728169552684,14.445879241709266,10.615640454563165,37.92080725039256,29.143384880685673,16.105447769150118,0.14512191544923014,43.35456196170514,46.32913959260321,2.190461955892672,6.124599595034784
3,b'UP',,49.13,b'stance0001',b'stance0000',b'stride0001',b'stride0001',,,0.0,0.0,,,,,61.82462230330972,,,,,,,,,,,,,,0.0,0.0,145.05112567066064,,,,87.43271044431839,,,,42.71696645875889,20.77957903903809,22.431905488380472,18.213485763886123,14.399056021975696,44.84313294545393,13.82959389143851,7.1071100564319485,35.55285198507771,27.364490718076645,10.280623334118758,0.16019057565751177,9.676262751217962,42.88099373093695,41.592946496898016,16.897766543190784
4,b'UP',,47.84,b'stance0001',b'stance0000',b'stance0001',b'stance0001',,,,,,,,,61.82462230330972,,,,,,,,,,,,,,,,145.018721492602,,,,87.16377415582579,,,,44.43779868365203,21.35282661685263,23.87740073292134,17.45518226240725,9.349942670103108,69.81112295661529,15.98748269778389,7.31495890098783,36.49750033667937,28.5583857198819,9.442320397433633,0.16303548565509543,7.7984498462683405,44.33483975337688,40.84992320991877,16.12193878567541
5,b'UP',,11.82,b'stance0001',b'stride0001',b'stride0002',b'stance0001',0.0,,0.5287640890571212,,,,,,61.82462230330972,,,,,,,,,,,,,0.0,,,145.29157598733957,,,,85.68751548284108,,,,45.27422629822497,20.594683555836042,25.42585133743785,13.99479896204013,0.25297856722157824,0.6371165977154662,1.3672265100646352,0.5661472237347532,0.10535476432541606,1.2096217227342805,10.583678454894994,0.3732333839730903,7.055019019378136,44.00065637250481,40.6627648720656,13.486332722379615
6,b'UP',,111.36,b'stance0001',b'stance0001',b'stride0002',b'stance0001',,,0.5287640890571212,,,,,,61.82462230330972,,,,,,,,,,,,,,,,146.10478063494605,,,,84.56834505953168,,,,46.63211554838027,20.39536051093147,25.48994802360761,16.223989265590543,0.36640998901261,0.6653731700224473,1.409396635055132,0.6035312183298457,38.091119987797136,31.845322723111966,16.736097476179253,0.16278200192068187,5.678381876739479,44.65057936135506,40.41340189546304,11.864572169556766
7,b'UP',,161.89,b'stance0001',b'stride0002',b'stride0002',b'stride0002',0.27747542150276644,,0.5287640890571212,0.0,,,,,61.82462230330972,,,,,,,,,,,,,,,0.0,145.99174754692322,,,,85.51081766130885,,,,45.55930199114483,22.104318890055602,25.380868748755837,15.022669256459327,85.91464143212953,78.21292392263783,24.35511030287322,13.628107677614855,0.11375914581495204,1.234031525495038,10.60413546296678,0.3880573936576017,11.546402020919828,45.97925037905216,38.149236594384035,7.032512228956676
8,b'UP',,62.71,b'stance0001',b'stride0002',b'stride0002',b'stance0002',0.27747542150276644,,0.5287640890571212,,,,,,61.82462230330972,,,129.8392278026495,,,,,,,,,,,,,146.50580694538405,,,,85.84988072234063,,,,44.43642286135727,21.568698512100408,24.816908512520687,16.246237832805743,7.648937356007423,50.3952196827303,17.173911049703815,3.6206000344173632,89.98505910778361,20.792597799821834,14.954567033145423,0.1597960470554631,9.800686976043494,46.630641853723944,38.071653980993965,13.81211639635373
9,b'UP',,138.4,b'stance0001',b'stride0002',b'stride0002',b'stance0002',0.27747542150276644,,0.5287640890571212,,,,,,61.82462230330972,,,129.8392278026495,,,,,,,,,,,,,145.79914938425094,,,,85.26801653759023,,,,43.25278071031227,21.847357474390307,24.965803239200955,17.736707779625796,74.29286138540027,71.03650095257471,28.673697703917288,9.805306125263902,28.373957302644783,27.33097094099216,10.423321878788357,0.36451419262568147,8.191140892600743,47.20853854768487,36.680675540455816,14.146242028006895
