,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,,582.85,b'stance0000',b'stride0001',b'stride0001',b'stride0001',121.67263374955128,,126.43407242410181,0.41080176584126415,,,,,,,,,,,,,,,,,,,,,,,,,104.41610601434436,,,,,,,,,,,,,,,
1,DOWN,,582.85,b'stance0000',b'stride0001',b'stride0001',b'stride0001',121.67263374955128,,126.43407242410181,0.41080176584126415,,,,,,,,,,,,,,,,,,,,,144.71017444979645,,,,105.41712458620506,,,,,,,,,,,,,,,
2,DOWN,,704.71,b'stance0000',b'stride0001',b'stride0001',b'stride0001',121.67263374955128,,126.43407242410181,0.41080176584126415,,,,,,,,,,,,,,,,,,,,,146.26055081194744,,,,105.13061154652414,,,,,,,,,,,,,,,
3,DOWN,,120.34,b'stride0001',b'stride0001',b'stride0001',b'stance0001',121.67263374955128,0.0,126.43407242410181,,,,,,,,,,,,,,,,,,,,,,144.65776162447344,,,,97.72477154559306,,,,,,,,,,,,,,,
4,DOWN,,383.2,b'stance0001',b'stance0001',b'stride0001',b'stride0002',,,126.43407242410181,0.0,,,,,,,,,,,,,,,,,,,,,146.763964121766,,,,95.02075608774422,,,,,,,,,,,,,,,
5,DOWN,,1431.62,b'stance0001',b'stride0002',b'stride0001',b'stance0002',103.15174720807053,,126.43407242410181,,,,,,,,,,,20.198344245987272,,,,54.571035770437014,,,,,,,141.55074727625515,142.66219394894972,,,91.56916201514153,,,,,,,,,,,,,,,
6,DOWN,,503.39,b'stride0002',b'stride0002',b'stride0001',b'stride0003',103.15174720807053,1.9580186036162446,126.43407242410181,43.86943016970312,,,,,,,,,,20.198344245987272,,,,54.571035770437014,,,,,,,139.82154416058572,150.747062462428,,,90.3253014709906,179.43155804420124,,,,,,,,,,,,,,
7,DOWN,,468.4,b'stride0002',b'stride0002',b'stride0001',b'stride0003',103.15174720807053,1.9580186036162446,126.43407242410181,43.86943016970312,,,,,,,,,,20.198344245987272,,,,54.571035770437014,,,,,,,134.61546015410892,145.06413341055293,,,85.75071654119033,171.27350229168292,,,,,,,,,,,,,,
8,DOWN,,563.4,b'stance0002',b'stride0002',b'stride0001',b'stride0003',103.15174720807053,,126.43407242410181,43.86943016970312,,,,,,,,,,20.198344245987272,,,,54.571035770437014,,,,,,,142.28073455502388,146.12439287358632,,,87.14649370956853,142.01769987718205,,,,,,,,,,,,,,
9,DOWN,,490.07,b'stride0003',b'stride0002',b'stride0001',b'stride0003',103.15174720807053,160.62187555314387,126.43407242410181,43.86943016970312,,,,,,,,,35.784255725274505,20.198344245987272,,,54.571035770437014,54.571035770437014,,,,,,,144.76734660743156,156.15672580163,,,80.43989436702485,141.96544773625448,,,,,,,,,,,,,,
