,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,4.47046434835857,59.57,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,2.172907706939044,,,,148.85605162101172,,,,,,,,,,,,,,,,,,146.1396177903189,127.57405551912005,156.9080203344624,161.3729327597823,178.51025784261535,103.727310032237,152.88925607352124,92.66952324134006,,,,,,,,,,,,
1,UP,4.260017690177749,59.57,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,2.172907706939044,,,,149.43840555321813,,,,,,,,,,,,,,,,,,145.21134290914387,127.95066159702353,157.13649782553955,161.4779964772222,178.85262049505363,103.41144370008591,151.7639426062803,92.43061770877117,,,,,,,,,,,,
2,UP,4.388814175113186,84.545,b'stride0001',b'stance0000',b'stance0001',b'stance0000',,0.0,,,164.05480347911538,,,,,,72.00131102480914,,,,,,,,,,,,,,144.33709475974183,128.79937126848972,157.687102534705,159.72295482257132,177.22700938684892,103.75548568413413,151.96258820228513,90.03344708408646,,,,,,,,,,,,
3,UP,4.3482628646840125,98.765,b'stance0001',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,118.77456965465046,,72.00131102480914,,,,,,,,,,,,,,145.37227495220688,127.20877557057074,155.75105255896844,154.5408633764534,178.4798606661252,104.38953231250488,152.18998970344762,86.91239939420365,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
4,UP,4.536416765322002,64.475,b'stance0001',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,118.77456965465046,,72.00131102480914,,,,,,,,,,,,,,145.84155327976487,125.92242017298298,153.0698296222658,156.75045917414764,176.57411732372978,103.04982133323513,154.85087124608123,87.01810243425332,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
5,UP,4.562441655676841,103.61500000000001,b'stance0001',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,118.77456965465046,,72.00131102480914,,,,,,,,,,,,,,143.94902303404598,127.18456294872594,151.82055378033377,157.83953141763902,177.14182686458582,105.07400678796668,155.7930527708658,85.83848060369634,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
6,UP,4.862788207664438,97.46000000000001,b'stance0001',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,118.77456965465046,,72.00131102480914,,,,,,,,,,,,,,144.10920023797036,128.02045380176313,151.33252055660918,157.83360925805107,176.46887639154986,107.0670778114421,155.13167778312837,83.49178332879745,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
7,UP,5.077182761361658,40.14,b'stance0001',b'stance0000',b'stride0002',b'stance0000',,,0.0,,,,151.2967048440267,,118.77456965465046,,,,,,,,,,,,,,,,142.4732481196693,126.00661161233253,151.10416284665996,155.3384508434699,174.70584456435685,106.85101539284263,153.90224719507802,82.51480296654847,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
8,UP,5.20968653902996,125.155,b'stance0001',b'stance0000',b'stance0002',b'stance0000',,,,,,,,,118.77456965465046,,,,,,,,,,,,,,,,142.58371281974908,126.57652500302643,150.29604359464847,155.70158638573233,174.16213653619522,105.98386662459055,154.77176362242824,81.07700704010676,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
9,UP,4.964714658872455,226.83999999999997,b'stance0001',b'stance0000',b'stance0002',b'stance0000',,,,,,,,,118.77456965465046,,,,,,,,,,,,,,,,142.07504258684972,125.54612537013088,151.8336830399238,156.34266177370486,174.85935137418306,106.7797384486623,155.2497521787855,81.69028617616073,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
10,UP,5.222559448365185,159.925,b'stance0001',b'stance0000',b'stride0003',b'stance0000',,,0.0,,,,152.1278529623609,,118.77456965465046,,,,,,,,,,,,,,,,140.98942576378377,127.21135897267548,153.57118799817204,158.15309549121764,175.38065507748937,106.81247814066214,154.28454896086816,81.842323448201,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
11,UP,5.12601317658215,225.87,b'stance0001',b'stance0000',b'stance0003',b'stance0000',,,,,,,,,118.77456965465046,,,,,,,,,,,,,,,,142.11897203413065,123.18258182720139,154.02577559105137,157.49591243069258,176.58941135013652,106.70412580399999,154.55710530075936,83.6105488524179,72.0340774437219,28.806750497246764,17.66350751607479,,,,,,,,,
12,UP,5.713912225863678,30.465,b'stride0002',b'stance0000',b'stride0004',b'stance0000',,0.0,0.0,,162.9595692382619,,150.76991310527745,,,,,,,,,,,,,,,,,,142.31564297932303,119.75041998755262,156.54088614422557,156.25496676244182,175.3328945965675,105.99427632410256,152.65547756874383,82.11925886596002,,,,,,,,,,,,
13,UP,5.714857014703819,70.525,b'stance0002',b'stance0000',b'stance0004',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,140.71535081525968,117.29001210484023,156.1326712694955,155.48420069189862,176.36636621200114,104.12052959349046,154.958664926288,81.01781372231336,,,,,,,,,,,,
14,UP,5.359352207394648,166.89999999999998,b'stance0002',b'stance0000',b'stride0005',b'stance0000',,,0.0,,,,153.73863276035527,,,,,,,,,,,,,,,,,,146.86872059082782,121.23479937907754,153.29357769456496,155.6644609373119,173.33373103417654,102.20399941363755,156.36768227775494,79.34352760609889,,,,,,,,,,,,
15,UP,5.831844616049391,68.995,b'stride0003',b'stance0000',b'stance0005',b'stance0000',,0.0,,,163.87425139394216,,,,,,,,,,,,,,,,,,,,141.29144416358034,122.2681477046415,153.70750292591669,154.10024940149484,175.26670757607116,103.52481661348237,157.5659629742505,80.09826225008185,,,,,,,,,,,,
16,UP,6.171236027529951,74.42,b'stance0003',b'stance0000',b'stance0005',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,137.45888561911934,123.5955120574242,155.64118978061617,157.62846771422616,175.93106067248758,104.39167064060904,156.23166199879972,81.4204533511331,,,,,,,,,,,,
17,UP,6.669499554892345,80.28999999999999,b'stride0004',b'stance0000',b'stride0006',b'stance0000',,1.7959673285211217,0.0,,163.90650583153763,,152.845846975381,,,,,,,,,,,,,,,,,,136.83754094281196,121.787854400686,153.20545812189826,156.88159820679172,176.4465870460046,103.73788382757913,156.71012928403707,79.6119319899694,,,,,,,,,,,,
18,UP,6.639766605503298,64.205,b'stride0004',b'stance0000',b'stance0006',b'stride0001',,1.7959673285211217,,1.4929786247470254,162.61045210495953,,,43.709686556627275,,,,,,,,,,,,,,,,,141.2872392874369,119.94594770398805,152.53018338983563,157.18114784101314,177.16034151018965,102.05267644159869,159.21464209921672,78.10945680520791,,,,,,,,,,,,
19,UP,6.969942679581181,25.32,b'stance0004',b'stance0000',b'stance0006',b'stride0001',,,,1.4929786247470254,,,,44.353304615103575,,,,,,,,,,,,,,,,,143.50721373932782,126.14916276442398,152.58571288572986,157.95005093594082,173.71442082304088,103.02801963262603,160.21341346392956,76.99887832933915,,,,,,,,,,,,
