,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,5.412272841127314,,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,144.58971940679834,151.86005984776747,,,109.72398566228047,126.07796026399286,,,,,,,,,,,,
1,UP,5.474969450164082,,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,145.008907842336,149.966616142818,,,109.43952584143514,125.46904666641441,,,,,,,,,,,,
2,UP,5.44995686853176,,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,145.50876264825692,149.27276884012312,,,109.00685384116038,125.34466138392068,,,,,,,,,,,,
3,UP,5.496437694306623,,b'stance0000',b'stride0001',b'stance0000',b'stance0000',279.54235640071175,,,,,,,,,,,,,,,,,,,,,,,,,,145.43806686899288,149.24781107959672,,,109.36954766259686,125.39089426352629,,,,,,,,,,,,
4,UP,5.470399821658879,,b'stance0000',b'stride0001',b'stance0000',b'stance0000',279.54235640071175,,,,,,,,,,,,,,,,,,,,,,,,,,145.82562295584552,150.60580799324424,,,110.01010912416996,125.75985419311115,,,,,,,,,,,,
5,UP,5.386566334453711,,b'stance0000',b'stride0001',b'stance0000',b'stance0000',279.54235640071175,,,,,,,,,,,,,,,,,,,,,,,,,,142.11560052708774,147.8475075004661,,,110.53355108517447,126.51803759702608,,,,,,,,,,,,
6,UP,5.5739757441411415,,b'stance0000',b'stride0001',b'stance0000',b'stance0000',279.54235640071175,,,,,,,,,,,,,,,,,,,,,,,,,,138.7761653476826,150.48107991232507,,,108.47068155882201,125.50317938812978,,,,,,,,,,,,
7,UP,5.521550513159611,,b'stance0000',b'stance0001',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,138.69776479734534,151.10974661426548,,,108.34129343750222,125.75613948692373,,,,,,,,,,,,
8,UP,5.534511458866778,,b'stance0000',b'stride0002',b'stance0000',b'stance0000',0.0,,,,,,,,,,,,,,,,,,,,,,,,,,138.97812509258543,150.54967110940956,,,108.10694518394025,125.77408311681609,,,,,,,,,,,,
9,UP,5.514027884486807,,b'stance0000',b'stance0002',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,139.44973303290266,149.68593545513158,,,108.71421578693896,124.8557020674678,,,,,,,,,,,,
