,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',10.965851607135596,31.21,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.94292742346693,121.55483315161733,140.78955541979914,170.1097477048001,131.23319682340681,112.85704337635045,100.10313423168114,129.13822408873943,28.696642649507293,17.017289114681056,20.524708898660997,42.10203865669566,35.80735518369432,24.345440793394083,22.767818633638264,34.617604198809424,29.135824451783495,14.104560496767418,20.931519282452488,76.56588609170804,24.742548153421197,32.58254132814343,13.804205291408715,58.313137359753846
1,b'UP',11.022687791444701,31.21,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,145.89925581989363,119.90487637007095,140.51578325362107,169.64508545393596,132.77051073920904,111.27030332269396,100.17159630705638,127.89569092578884,28.89951334502022,17.109410626789188,19.487495242791304,41.61418578121955,39.89600521932385,25.040620962272317,20.803934742403605,32.4503305970072,22.347255782462824,17.08802997353591,21.072633532795848,75.6733961574046,24.73667884202731,32.22593217296839,14.428133659604033,58.203186697722806
2,b'UP',11.064649648859222,107.965,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,147.71865279177615,120.66850219489804,140.2980022826328,168.16167691337824,133.7721024141659,109.50258468322072,99.61779156412804,129.57642292714843,29.979685246714144,17.26007438409482,21.424122793550094,39.663989346621776,44.59325384449194,24.948295933580475,18.208136538801952,32.051774840998675,22.13662480317347,17.458137983672064,21.60753119917556,75.83156220225887,25.78273177984147,32.77445131232006,14.715162902895337,55.73263751673983
3,b'UP',10.951857347069865,97.31,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,0.0,,,,109.65541210366209,,,,,,,,,,,,,,,,0.0,146.2937667332335,121.50233309424873,140.35562626229026,172.4905014486575,133.1519414745847,111.13283467221106,102.54271935705856,128.01764683349884,30.83586457651033,17.200760354772008,21.36891504662848,39.50800364321457,44.171397391565705,23.85908896772648,19.098561791841576,33.03481578094562,21.96175477275947,19.19994758849066,23.712108550244274,77.00215656709743,27.279020572518935,26.652020257145676,16.940428813766037,55.20421682187573
4,b'UP',11.012908582706583,294.53499999999997,b'stance0000',b'stance0000',b'stride0001',b'stance0001',,,56.02223583755862,,,,37.00943517077302,,,,,,,,61.9435949257891,,,,16.456211116416895,,,,39.92482755945665,,146.9413446216022,122.00306805275618,140.39790877485527,173.08832078525754,133.66443685427342,109.86492421024532,100.78125761333479,130.05536286533845,31.226015930514297,16.966824603916002,21.650392699198843,40.189363170046974,37.26390708824668,23.130132673743418,20.068259545827832,34.868806973171786,19.438760789324327,10.465292637678367,26.139365795184585,68.61979373268697,26.489025502824187,25.418244906192637,17.984159880972406,55.98717216789062
5,b'UP',11.448963471003106,281.705,b'stance0000',b'stance0000',b'stride0001',b'stride0002',,,56.02223583755862,0.0,,,35.512054446629946,110.51155191772493,,,,,,,61.9435949257891,,,,16.456211116416895,,,,39.92482755945665,0.0,148.15626302522082,117.2418394542114,139.50972920755507,174.25537498495612,136.64247324123255,104.26230046505216,90.48044295865047,127.12996973097958,30.836410727599393,16.863839101654573,21.957389113785887,40.32209177323433,39.46409227220224,23.987547259154084,20.827126687772697,36.128179781711935,25.859326114144285,17.18550519604871,24.26245283815979,54.675049218599426,18.76696227718354,34.07121919724984,16.82146828063669,51.54405751794174
6,b'UP',11.137129181506564,427.09000000000003,b'stance0000',b'stance0000',b'stride0001',b'stance0002',,,56.02223583755862,,,,35.07591681382168,,,,,,,,61.9435949257891,,,,16.456211116416895,,,,39.92482755945665,,153.13113514710446,123.23286815177187,142.60790940209205,170.14135050442547,132.05135728647673,124.24523436938165,85.46782410557806,132.75541911425933,31.289277483320173,18.496531859574826,21.39902410878109,41.484555970608106,44.403694563736096,21.20007382294597,20.824851869822524,40.8731473631422,38.95380171028931,22.37208306560781,21.150939283512688,60.79350026969938,17.15763748315761,33.706007261837414,16.166834680904525,53.14222028436263
7,b'UP',11.365374142824722,592.5,b'stride0001',b'stride0001',b'stride0001',b'stride0003',7.155324881126495,1.8262931938978115,56.02223583755862,0.0,122.11859339909554,154.9984939190068,38.9066393334696,124.20474769178293,,,,,4.0319631639354085,4.5825704437691535,61.9435949257891,,0.776709964900894,3.555590744442744,16.456211116416895,,0.0,62.70720869712222,39.92482755945665,0.0,146.52488691725966,122.87851922389618,146.83795823876144,164.7690818915955,128.21758735987993,132.78589034740662,81.8629312615223,140.59575002626906,33.39697767901876,18.669603276526043,21.243931735155805,45.08731994011086,37.39539328567816,18.962105755329574,17.49531732622477,40.72737951596532,31.954258026090244,19.02787768275988,21.3513661424904,56.08545277067492,21.63582311625719,28.694234760218706,15.438145960069004,54.26393247632128
8,b'UP',11.768789595845307,160.755,b'stride0001',b'stride0001',b'stride0001',b'stance0003',7.155324881126495,1.8262931938978115,56.02223583755862,,126.15055656303095,153.2013666572861,42.10259147001937,,,,,,4.0319631639354085,4.5825704437691535,61.9435949257891,,0.776709964900894,3.555590744442744,16.456211116416895,,0.0,62.70720869712222,39.92482755945665,,140.67255680841802,121.27264955728623,150.08913992868474,161.30313472889793,123.70470016340948,133.58507816753752,79.30126799924291,137.61476227389002,32.19011897505066,15.574677884737778,19.290142709120655,44.921889862132545,40.850791182715874,28.01400345314675,22.933653486516135,44.17143933568393,35.540123169102756,13.7056181170042,20.599159520154014,46.896901836960346,14.445133634840746,24.989658599710364,12.60554092481816,64.98013586950007
9,b'UP',12.46374877138552,530.0799999999999,b'stance0001',b'stride0001',b'stride0001',b'stride0004',7.155324881126495,,56.02223583755862,108.12144242393575,,152.06356067881734,42.54591186080865,116.60470767288422,18.87893116646362,,,,,4.5825704437691535,61.9435949257891,79.1527539395481,,3.555590744442744,16.456211116416895,16.701587209466283,,62.70720869712222,39.92482755945665,-12.971669296889843,139.44667108213957,119.04286023622117,152.49611498006882,172.5306225332639,121.95963591837679,137.92973261283166,76.67281036258377,125.09119440395634,31.20408606582449,15.006410392021085,17.012316921140435,47.64595041571562,34.502536853606856,35.38263318715486,24.15547604211753,26.4229197880677,10.502026573727761,12.258609150916843,24.545929029185817,40.23800752555838,15.523821282278352,23.356054019371204,20.286183408747274,68.21756922635676
