,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,,22.13,b'stance0000',b'stride0001',b'stance0000',b'stride0001',1.5969517478957622,,,1.6264500733978642,,,,,,,,,,,,,,,,,,,,,159.3194138500121,,,,152.65964507498168,,,,,,,,,,,,,,,
1,UP,,22.13,b'stance0000',b'stride0001',b'stance0000',b'stride0001',1.5969517478957622,,,1.6264500733978642,,,,,,,,,,,,,,,,,,,,,152.22377965737834,,,,143.90478419120964,,,,,,,,,,,,,,,
2,UP,,81.21,b'stance0000',b'stance0001',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,158.84549338756187,,,,152.1644056108264,,,,,,,,,,,,,,,
3,UP,,72.8,b'stance0000',b'stride0002',b'stance0000',b'stride0002',1.0172893939168473,,,2.223899925993578,,,,,,,,,,,,,,,,,,,,,158.08431041853797,,,,154.0791291344551,,,,,,,,,,,,,,,
4,UP,,43.33,b'stance0000',b'stride0002',b'stance0000',b'stride0002',1.0172893939168473,,,2.223899925993578,,,,,,,,,,,,,,,,,,,,,165.30953308432314,,,,155.11162485457373,,,,,,,,,,,,,,,
5,UP,,61.44,b'stance0000',b'stance0002',b'stance0000',b'stance0002',,,,,,,,,,,,,,,,,,,,,,,,,166.8044355971499,,,,156.52290025550064,,,,,,,,,,,,,,,
6,UP,,76.88,b'stance0000',b'stride0003',b'stance0000',b'stride0003',1.8784111133511843,,,1.230764707005351,,,,,,,,,,,,,,,,,,,,,164.3534252861542,,,,155.38247911695836,,,,,,,,,,,,,,,
7,UP,,68.8,b'stance0000',b'stride0003',b'stance0000',b'stride0003',1.8784111133511843,,,1.230764707005351,,,,,,,,,,,,,,,,,,,,,161.0472078828817,,,,152.14991541239948,,,,,,,,,,,,,,,
8,UP,,91.09,b'stance0000',b'stride0003',b'stance0000',b'stance0003',1.8784111133511843,,,,,,,,,,,,,,,,,,,,,,,,162.84947184204205,,,,156.11456113938698,,,,,,,,,,,,,,,
9,UP,,212.59,b'stance0000',b'stance0003',b'stride0001',b'stance0003',,,0.0,,,,,,,,,,,,,,,,,,,,,,166.2325021830581,,,,156.30593404009062,,,,,,,,,,,,,,,
10,UP,,85.52,b'stance0000',b'stride0004',b'stance0001',b'stride0004',4.42657674500751,,,3.2755236614292373,,,,,,,,,,,,,,,,,,,,,167.90617865591628,,,,155.88540490506,,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
11,UP,,256.31,b'stance0000',b'stride0004',b'stance0001',b'stride0004',4.42657674500751,,,3.2755236614292373,,,,,,,,,,,,,,,,,,,,,170.53105286588425,,,,156.81522557645772,,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
12,UP,,173.88,b'stance0000',b'stride0004',b'stance0001',b'stride0004',4.42657674500751,,,3.2755236614292373,,,,,,,,,,,,,,,,,,,,,167.96252672366293,,,,152.82068723776044,,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
13,UP,,141.99,b'stance0000',b'stride0004',b'stance0001',b'stance0004',4.42657674500751,,,,,,,,,,,,,,,,,,,,,,,,168.83076662970205,,,,152.90810020951216,,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
14,UP,,111.03,b'stance0000',b'stance0004',b'stance0001',b'stance0004',,,,,,,,,,,,,,,,,,,,,,,,,169.90424222271443,,,,152.29427489692594,,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
15,UP,,68.87,b'stance0000',b'stride0005',b'stance0001',b'stride0005',0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,169.1845747814886,,,,150.35652321392016,,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
16,UP,,66.14,b'stance0000',b'stance0005',b'stance0001',b'stance0005',,,,,,,,,,,,,,,,,,,,,,,,,168.60150658680848,,,,150.63774636565194,,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
17,UP,,49.82,b'stance0000',b'stride0006',b'stance0001',b'stride0006',0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,165.31158512352025,149.39479810411385,,,148.2213126479839,137.09582681324972,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
18,UP,,46.48,b'stance0000',b'stance0006',b'stance0001',b'stance0006',,,,,,,,,,,,,,,,,,,,,,,,,167.81715018987472,150.95128214978809,,,148.8542395741689,135.5761396708351,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
19,UP,,17.33,b'stance0000',b'stance0006',b'stance0001',b'stride0007',,,,3.943964020510834,,,,,,,,,,,,,,,,,,,,,166.3333925378938,167.31599217432557,,,148.92522192071146,122.43016549497347,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
20,UP,,0.91,b'stance0000',b'stance0006',b'stance0001',b'stride0007',,,,3.943964020510834,,,,,,,,,,,,,,,,,,,,,167.53762423377177,167.42957019153414,,,148.2961223704842,122.64630046007446,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
21,UP,,138.09,b'stance0000',b'stride0007',b'stance0001',b'stride0007',0.0,,,3.943964020510834,,,,,,,,,,,,,,,,,,,,,165.91472025349063,160.9609845050236,,,147.71097286195317,129.1383454183053,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
22,UP,,57.4,b'stance0000',b'stance0007',b'stance0001',b'stride0007',,,,3.943964020510834,,,,,,,,,,,,,,,,,,,,,168.45594388632045,174.09680723661015,,,146.68343946617102,119.7086868657982,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
23,UP,,31.65,b'stance0000',b'stride0008',b'stance0001',b'stride0007',0.0,,,3.943964020510834,,,,,,,,,,,,,,,,,,,,,163.52336369345304,175.6429638545911,,,145.00678857175927,121.2671899952997,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
24,UP,,68.73,b'stance0000',b'stance0008',b'stance0001',b'stance0007',,,,,,,,,,,,,,,,,,,,,,,,,165.72008018487747,175.20559537078472,,,145.42920295252887,125.41335914282791,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
25,UP,,49.84,b'stance0000',b'stance0008',b'stance0001',b'stride0008',,,,0.0,,,,,,,,,,,,,,,,,,,,,168.47772492016125,179.06524805593196,,,145.74884196424586,119.60646851882039,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
26,UP,,52.09,b'stance0000',b'stride0009',b'stance0001',b'stance0008',0.0,,,,,,,,,,,,,,,,,,,,,,,,170.0811027807212,174.41871097222756,,,144.93815358494157,121.1758958291233,,,,,,,,,46.16498158625078,21.174423389761703,50.13049388694355,,,
