,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,2.767550821603095,207.73,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,162.36217714328785,175.96780489379023,,,116.1631560124567,107.75318111721556,,,,,,,,,,,,,
1,DOWN,2.6787707809961034,207.73,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,157.6717134772367,172.5318859916631,,,109.00443534692862,108.74201115677214,,,,,,,,,,,,,
2,DOWN,3.360864087806334,13.78,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,158.09650128416482,173.98897540011404,,,109.50663257629117,109.33117657810372,,,,,,,,,,,,,
3,DOWN,3.5253130299942086,20.625,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,156.49281358254683,173.44144198200559,,,106.77149861338675,109.66893824232895,,,,,,,,,,,,,
4,DOWN,3.5614848694382317,22.634999999999998,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,156.86998063910582,174.06688558552386,,,107.09016227597294,110.09561534459219,,,,,,,,,,,,,
5,DOWN,3.631681637975845,24.02,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,158.4447133208197,174.16242434359293,,,108.30198188917,110.3424293554718,,,,,,,,,,,,,
6,DOWN,3.603193643637809,20.005,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,157.8832575833506,173.7078526217659,,,107.66491537862643,110.04748898364114,,,,,,,,,,,,,
7,DOWN,3.5626944868165538,19.79,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,5.4048120899651115,,,,,,,,,,,,,,,,,,,,,,157.31988028180376,173.3952754094247,,,106.94262633956271,110.6329719545684,,,,,,,,,,,,,
8,DOWN,3.5103741859409467,43.625,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,5.4048120899651115,,,,,,,,,,,,,,,,,,,,,,157.61031347489805,173.1598682412378,,,107.65885021467388,109.54182723333801,,,,,,,,,,,,,
9,DOWN,3.673285111689978,27.655,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,5.4048120899651115,,,,,,,,,,,,,,,,,,,,,,157.3679078841081,172.87171156487304,,,107.39393978844188,111.26107143262672,,,,,,,,,,,,,
10,DOWN,3.731189962615275,31.875,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,,156.7717385929142,173.59997095455455,,,106.71468586639998,111.58802444570448,,,,,,,,,,,4.638265517676317,43.18076312667842,0.8646422401368005
11,DOWN,3.678624499532532,22.935,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,,156.1322816043193,172.360356265537,,,107.28473287594572,111.3679575155037,,,,,,,,,,,4.638265517676317,43.18076312667842,0.8646422401368005
12,DOWN,3.7209006764843195,33.4,b'stance0000',b'stance0000',b'stance0000',b'stance0001',,,,,,,,,,,,,,,,,,,,,,,,,,156.98042966670613,172.66154759654611,,,107.9840090782472,111.5266180733535,,,,,,,,,,,4.638265517676317,43.18076312667842,0.8646422401368005
13,DOWN,3.7102643041045837,14.585,b'stance0000',b'stance0000',b'stride0001',b'stance0001',,,0.0,,,,52.98823756423533,,,,,,,,,,,,,,,,,,98.99681698278134,157.04909425109747,173.44316119074335,,169.44354834647,108.12544847472215,111.37187356000395,,,,,,,,,,,4.638265517676317,43.18076312667842,0.8646422401368005
14,DOWN,3.695262117472822,25.475,b'stance0000',b'stance0000',b'stance0001',b'stance0001',,,,,,,,,,,91.8131081506588,,,,,,,,,,,,,,98.65950019653118,157.2677823135169,173.00536876315823,,169.36150576506816,107.43371718517626,112.8794479884969,,,,,,,,,,,4.638265517676317,43.18076312667842,0.8646422401368005
15,DOWN,3.717151714333511,50.79,b'stance0000',b'stance0000',b'stance0001',b'stance0001',,,,,,,,,,,91.8131081506588,,,,,,,,,,,,,,98.65536686291267,155.79121907846874,172.51869801979228,,169.35523912614167,106.2199472204066,112.41186430485632,,,,,,,,,,,4.638265517676317,43.18076312667842,0.8646422401368005
16,DOWN,3.7321393904032334,46.975,b'stance0000',b'stance0000',b'stance0001',b'stance0001',,,,,,,,,,,91.8131081506588,,,,,,,,,,,,,,,156.39174083109737,173.84582241162283,,,106.2641785870317,111.9552510413821,,,,,,,,,,,4.638265517676317,43.18076312667842,0.8646422401368005
17,DOWN,3.6435977738361487,24.58,b'stance0000',b'stance0000',b'stance0001',b'stride0002',,,,4.816454521713169,,,,,,,91.8131081506588,,,,,,,,,,,,,,98.96515934222931,156.27801607550145,173.73784905623782,,169.4350584054749,106.6146708574878,111.09848392144026,,,,,,,,,,,,,
18,DOWN,3.7237106229144956,17.735,b'stance0000',b'stance0000',b'stance0001',b'stride0002',,,,4.816454521713169,,,,,,,91.8131081506588,,,,,,,,,,,,,,98.82047082849391,156.75769252850677,174.25996320428473,,169.36143847349547,107.87953750085558,110.30418055821134,,,,,,,,,,,,,
19,DOWN,3.819384541892873,74.72500000000001,b'stance0000',b'stance0000',b'stride0002',b'stance0002',,,1.038447760315643,,,,52.75366120104727,,,,,,,,,,,,,,,,,,98.79816385701636,158.2978389580893,174.53628862413825,,169.0380701100397,111.75367613562032,110.8081599944913,,,,,,,,,,,,,
20,DOWN,3.485817661482969,29.6,b'stance0000',b'stance0000',b'stride0002',b'stride0003',,,1.038447760315643,5.189543107559689,,,52.26566303061325,,,,,,,,,,,,,,,,,,,156.19329120884146,177.66398010576307,,,107.327308359946,111.34600103398654,,,,,,,,,,,,,
21,DOWN,3.5085986407186738,15.35,b'stance0000',b'stance0000',b'stance0002',b'stride0003',,,,5.189543107559689,,,,,,,,,,,,,,,,,,,,,,155.13036923907023,178.76163388162803,,,105.63207024553667,108.62413692623664,,,,,,,,,,,,,
22,DOWN,3.502965191373903,24.075,b'stance0000',b'stance0000',b'stance0002',b'stride0003',,,,5.189543107559689,,,,,,,,,,,,,,,,,,,,,,155.71015597599728,179.2661571661771,,,106.62853499026272,110.30888697589349,,,,,,,,,,,,,
23,DOWN,3.4484487688211516,50.52,b'stance0000',b'stance0000',b'stride0003',b'stance0003',,,0.0,,,,53.08417537103356,,,,,,,,,,,,,,,,,,97.87370885277763,155.81925876156367,177.56928951228628,,169.65159725184142,107.19414620967423,113.81754843103036,,,,,,,,,,,,,
24,DOWN,3.4712618467015943,58.485,b'stance0000',b'stance0000',b'stance0003',b'stride0004',,,,2.165146225826703,,,,,,,92.0461519391569,,,,,,,,,,,,,,,156.56712287624782,178.95302652127293,,,106.93306287953452,112.66129222390938,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
25,DOWN,3.2495351079435295,86.495,b'stance0000',b'stance0000',b'stance0003',b'stride0004',,,,2.165146225826703,,,,,,,92.0461519391569,,,,,,,,,,,,,,,154.95589471204846,178.49944993320753,,,107.17673485522444,111.96027110387989,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
26,DOWN,3.513253807382256,82.125,b'stance0000',b'stance0000',b'stance0003',b'stride0004',,,,2.165146225826703,,,,,,,92.0461519391569,,,,,,,,,,,,,,,155.83542778786963,175.54311588036109,,,106.46144585312302,111.60272253363475,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
27,DOWN,3.353264568763791,23.15,b'stance0000',b'stance0000',b'stance0003',b'stride0004',,,,2.165146225826703,,,,,,,92.0461519391569,,,,,,,,,,,,,,133.9779494027184,153.87888833531568,177.28808475393856,,142.52671833951567,103.73090437152452,111.89648937461604,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
28,DOWN,3.3606291087493503,32.325,b'stance0000',b'stance0000',b'stance0003',b'stance0004',,,,,,,,,,,92.0461519391569,,,,,,,,,,,,,,134.21895444500473,154.76570106581934,178.2711550591386,,143.0954080771553,105.24589916558715,112.35609118111911,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
29,DOWN,3.3781187215390673,46.33,b'stance0000',b'stance0000',b'stance0003',b'stride0005',,,,0.5525569327664774,,,,,,,92.0461519391569,,,,,,,,,,,,,,134.92282698034234,153.8738422681212,179.2800335720068,,142.38073296808255,105.05858641561477,111.59878755600667,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
30,DOWN,3.5674204366066817,47.78,b'stance0000',b'stance0000',b'stance0003',b'stride0005',,,,0.5525569327664774,,,,,,,92.0461519391569,,,,,,,,,,,,,,,152.60529187385072,179.7461109653001,,,103.01820240803713,111.92744623885876,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
31,DOWN,3.479631626317058,19.6,b'stance0000',b'stance0000',b'stance0003',b'stride0005',,,,0.5525569327664774,,,,,,,92.0461519391569,,,,,,,,,,,,,,134.47586112899518,150.94733649137004,175.95059318340762,,142.85747107338184,102.01306060291067,111.93111254349945,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
32,DOWN,3.590874570300741,92.43,b'stance0000',b'stance0000',b'stance0003',b'stance0005',,,,,,,,,,,92.0461519391569,,,,,,,,,,,,,,133.56046586738904,150.4430152432368,177.1325084570182,,144.55426318822998,101.3402555796585,111.91962087986838,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
33,DOWN,3.776407109282559,26.689999999999998,b'stance0000',b'stance0000',b'stance0003',b'stride0006',,,,1.180454778304454,,,,,,,92.0461519391569,,,,,,,,,,,,,,133.79069082578692,152.35619443246895,177.34796171391963,,143.8035837416197,104.91623573474408,111.64171839667688,,,,,,,,83.21373898114553,2.157171116389589,2.0219370110680606,,,
34,DOWN,3.7279059675816484,30.520000000000003,b'stance0000',b'stance0000',b'stride0004',b'stride0006',,,0.0,1.180454778304454,,,50.11166730240891,,,,,,,,,,,,,,,,,,134.42217337865128,156.71448503481452,177.35994982158567,,143.70439562841025,109.23118459640757,111.81491009156841,,,,,,,,,,,,,
