,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,4.224100131573737,199.115,b'stance0000',b'stance0000',b'stride0001',b'stride0001',,,12.155543521509482,18.12029501414747,,,,35.47169094763687,,,,,,,,1.5721007992970044,,,,2.8780862479269302,,,46.57659558806803,-54.69569690544296,122.72621908842792,125.16039725970032,,136.7919773436576,95.90016543418332,69.90334343343815,,,,,,,,,,,,,,
1,UP,4.7371754063094205,199.115,b'stance0000',b'stance0000',b'stride0001',b'stride0001',,,12.155543521509482,18.12029501414747,,,,36.91367995750871,,,,,,,,1.5721007992970044,,,,2.8780862479269302,,,46.57659558806803,-54.69569690544296,117.24681189264311,124.13350405999215,,146.3700224370985,81.94587007519497,66.20063356922921,,145.23359707723884,,,,,,,,,,,,
2,UP,3.4044914463940996,182.75,b'stride0001',b'stride0001',b'stride0001',b'stride0001',0.0,3.186926418220432,12.155543521509482,18.12029501414747,145.73344473973347,133.09734460512064,,36.82867652156363,,,,,,,,1.5721007992970044,,,,2.8780862479269302,55.80714922152593,,46.57659558806803,-54.69569690544296,121.62792383308411,128.4110948615591,,147.63166882542566,84.75722913578595,83.93356301005201,,,,,,,,,,,,,,
3,UP,2.73933056528943,233.55,b'stride0001',b'stance0001',b'stride0001',b'stride0001',,3.186926418220432,12.155543521509482,18.12029501414747,145.0989262979646,,,34.81218892774922,,,,,,,,1.5721007992970044,,,,2.8780862479269302,55.80714922152593,,46.57659558806803,-54.69569690544296,125.38065745209056,134.39464606377126,164.6872744933712,146.67772604728836,110.76121125987558,84.0795273731693,,106.80422515834445,,,,,,,,,,,,
4,UP,2.4327088052360635,137.455,b'stride0001',b'stance0001',b'stride0001',b'stride0001',,3.186926418220432,12.155543521509482,18.12029501414747,146.5966410733578,,,36.18408990937163,,,,,,,,1.5721007992970044,,,,2.8780862479269302,55.80714922152593,,46.57659558806803,-54.69569690544296,112.53142561043637,134.2679690223095,165.901484196459,147.8398930666572,112.14009799867395,83.39491830625842,,100.40461420643155,,,,,,,,,,,,
5,UP,1.5602005558606105,249.97500000000002,b'stride0001',b'stance0001',b'stride0001',b'stride0001',,3.186926418220432,12.155543521509482,18.12029501414747,141.79490893891918,,,32.34587904124327,,,,,,,,1.5721007992970044,,,,2.8780862479269302,55.80714922152593,,46.57659558806803,-54.69569690544296,117.10350004711,138.56460104796398,160.61081521453136,143.78948672435047,119.0347474638967,84.17089683209495,,103.20804123562748,,,,,,,,,,,,
6,UP,0.48587770251720497,109.385,b'stride0001',b'stride0002',b'stance0001',b'stride0001',1.6629302825034176,3.186926418220432,,18.12029501414747,145.78258106092846,137.2687037310167,,33.55819045976161,,,,,,,,1.5721007992970044,,,,2.8780862479269302,55.80714922152593,56.13875315583915,,-54.69569690544296,118.7107134216351,136.11198704012256,160.5474786427965,144.98070539172156,147.58303314173722,89.75000534409827,,127.35051041648859,,,,,,,,,,,,
7,UP,1.0203666841943873,136.78,b'stance0001',b'stride0002',b'stance0001',b'stride0001',1.6629302825034176,,,18.12029501414747,,137.11617327058573,,35.5407436954233,,,,,,,,1.5721007992970044,,,,2.8780862479269302,,56.13875315583915,,-54.69569690544296,108.22574019613833,132.73432612204192,159.72755363453172,145.57682461472416,145.5988819091945,87.25933782130956,,132.2590793882372,,,,,,,,,,,,
8,UP,0.5527512861962011,133.85000000000002,b'stance0001',b'stride0002',b'stance0001',b'stride0001',1.6629302825034176,,,18.12029501414747,,135.7330612175728,,40.583993670985535,,,,,,,,1.5721007992970044,,,,2.8780862479269302,,56.13875315583915,,-54.69569690544296,121.9769201462075,143.667439445032,173.38236900295385,147.33825958936114,159.49711204003236,96.49165933328364,,144.10320662367775,,,,,,,,,,,,
9,UP,0.3792631740813933,118.05499999999999,b'stride0002',b'stride0002',b'stride0002',b'stride0001',1.6629302825034176,3.1602394036848223,91.18823929776579,18.12029501414747,146.9451491306432,138.9575674211066,,37.57298139789864,,,,,,,83.93243918933496,1.5721007992970044,,,5.018802470218198,2.8780862479269302,,56.13875315583915,-11.05424774751323,-54.69569690544296,118.84103261491356,142.05998964045546,175.79455745508278,149.52689629026247,147.34033321303548,103.8492082608046,,123.99501248700858,,,,,,,,,,,,
