,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,DOWN,,4421.13,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,4421.13,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,4367.27,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,4715.3,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,5701.38,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,175.4688469821562,,,,,,,,,,,,,,,
5,DOWN,,5604.64,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,167.00227652986274,164.47294110957031,,,,,,,,,,,,,,
6,DOWN,,4564.62,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,160.526900133611,171.23528612592474,,,,,,,,,,,,,,
7,DOWN,,4669.67,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,166.37180618356024,173.81434467093248,,,,,,,,,,,,,,
8,DOWN,,4485.19,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,146.68876169197847,174.52005443897843,,,,,,,,,,,,,,
9,DOWN,,4287.83,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,143.87147832068922,177.25440085420834,,,,,,,,,,,,,,
10,DOWN,,4261.79,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,148.7719413407928,179.07016411843557,,,,,,,,,,,,,,
11,DOWN,,5075.58,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,150.65655300948586,179.94766386579258,,,,,,,,,,,,,,
12,DOWN,,4778.98,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,154.37987086580455,174.00669456255406,,,,,,,,,,,,,,
13,DOWN,1.6349044190897075,4311.799999999999,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,157.0928502693525,165.4173882106079,170.85781511356896,160.99408276617865,,,,,,,,,,,,
14,DOWN,1.3335228181932735,4419.07,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,168.04421651578872,164.62488279308988,173.96687367863595,177.87406462825982,,,,,,,,,,,,
15,DOWN,2.4112792458067815,4472.5650000000005,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,176.46524071388782,161.96862282180558,176.85086875491442,179.6213057888715,,,,,,,,,,,,
16,DOWN,4.01260247216689,4414.385,b'nan',b'nan',b'swing0001',b'nan',,,,,,,,,,,,,,,,,,,,,175.364596568716,160.89840173337225,174.5180420812556,176.05893897958424,,,,,,,,,,,,
17,DOWN,5.546466732782477,4577.145,b'swing0001',b'swing0001',b'swing0001',b'swing0001',,,,,,,,,,,,,,,,,,,,,171.5462928979901,159.03492425254464,168.98890557299526,173.47544124564524,,,,,,,,,,,,
18,DOWN,8.2716439079866,4730.715,b'swing0001',b'swing0001',b'swing0001',b'swing0001',,,,,,,,,,,,,,,,,,,,,165.99823374033917,160.96314903815954,168.06700166904628,171.66167320641003,,,,,,,,,,,,
19,DOWN,10.644816531331657,4832.605,b'swing0001',b'stance0001',b'swing0001',b'swing0001',,,,,,100.68358087294568,,,,,,,,,,,,,,,163.67661230832866,165.99372610189667,167.16992867743556,173.77175659928236,,,,,,,,,,,,
20,DOWN,12.307580778633593,4863.255,b'swing0001',b'stance0001',b'swing0001',b'swing0001',,,,,,100.68358087294568,,,,,,,,,,,,,,,171.2709832990062,165.66939646237827,164.33533421806462,174.24070930285495,,,,,,,,,,,,
21,DOWN,12.935182262062142,5029.035,b'swing0001',b'stance0001',b'swing0001',b'swing0001',,,,,,100.68358087294568,,,,,,,,,,,,,,,175.58187553905438,170.968997017842,172.36501625162734,173.07258806925637,,,,,,,,,,,,
22,DOWN,13.453053662400208,5394.055,b'swing0001',b'stance0001',b'swing0001',b'swing0001',,,,,,100.68358087294568,,,,,,,,,,,,,,,171.94918672040063,176.8510601455316,177.07004848810652,179.86560500154644,,,,,,,,,,,,
23,DOWN,12.903488292178821,5190.91,b'swing0001',b'stance0001',b'swing0001',b'swing0001',,,,,,100.68358087294568,,,,,,,,,,,,,,,157.45657808045203,178.04006456478132,179.62538289716363,172.93232703635954,,,,,,,,,,,,
24,DOWN,11.373150133248345,4755.43,b'swing0001',b'swing0002',b'swing0001',b'swing0001',,,,,,,,,,,,,,,,,,,,,151.44655479185008,174.20755591376297,168.07695050456746,174.23310599634527,,,,,,,,,,,,
25,DOWN,10.309351094835222,4747.385,b'stance0001',b'swing0002',b'swing0001',b'swing0001',,,,,64.4243300937437,,,,,,,,,,,,,,,,144.38050612838893,173.41188605121172,174.05978935029034,,57.96374842896855,56.24134266694352,52.470191578609494,,,,,,,,,
26,DOWN,9.181686947778843,5444.34,b'stance0001',b'swing0002',b'swing0001',b'swing0001',,,,,64.4243300937437,,,,,,,,,,,,,,,,144.962911034588,172.62373241705535,170.4602468402227,175.9970645601887,57.96374842896855,56.24134266694352,52.470191578609494,,,,,,,,,
27,DOWN,7.701656003273484,5163.764999999999,b'stance0001',b'swing0002',b'stance0001',b'swing0001',,,,,64.4243300937437,,136.56128848880772,,,,,,,,,,,,,,145.66333098729842,177.33987600596288,172.62823826522032,173.53300896976222,57.96374842896855,56.24134266694352,52.470191578609494,,,,51.16601774921194,49.60394495018733,68.53014137112537,,,
