,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,DOWN,,984.08,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,147.56760053008114,,,,114.61247364419566,,,,,,,,,,,,,,
1,DOWN,,984.08,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,150.23154102150286,,,,122.91077287748752,,,,,,,,,,,,,,
2,DOWN,,1830.6,b'stance0000',b'stride0001',b'stance0000',b'stance0000',172.858535991439,,,,,,,,,,,,,46.482747373596325,,,,119.33333152826447,,,,,,,160.95166384914882,152.2045576763748,,,97.61508121029227,117.43000814144821,,,,,,,,,,,,,,
3,DOWN,,2349.0,b'stance0000',b'stride0001',b'stance0000',b'stride0001',172.858535991439,,,142.2204937248043,,,,,,,,,,46.482747373596325,,,,119.33333152826447,,,,,,,159.94634493471466,154.34795527438203,,,98.65021504305652,111.0212282330432,,,,,,,,,,,,,,
4,DOWN,,3104.51,b'stance0000',b'stride0001',b'stance0000',b'stride0001',172.858535991439,,,142.2204937248043,,,,,,,,,,46.482747373596325,,,,119.33333152826447,,,,,,,162.72753742665566,155.32268822794498,,,95.89433687507034,105.52496163817479,,,,,,,,,,,,,,
5,DOWN,,2274.23,b'stance0000',b'stride0001',b'stance0000',b'stride0001',172.858535991439,,,142.2204937248043,,,,,,,,,,46.482747373596325,,,,119.33333152826447,,,,,,,145.08289005669855,157.2409519719301,,,94.24507805980734,112.1270557779478,,,,,,,,,,,,,,
6,DOWN,,3782.35,b'stance0000',b'stride0001',b'stance0000',b'stride0001',172.858535991439,,,142.2204937248043,,,,,,,,,,46.482747373596325,,,,119.33333152826447,,,,,,,148.3730178102266,164.46554872649446,,,115.6692485644177,113.39444072497824,,,,,,,,,,,,,,
7,DOWN,,3767.23,b'stance0000',b'stride0001',b'stride0001',b'stride0001',172.858535991439,,0.0,142.2204937248043,,,,,,,,,,46.482747373596325,,,,119.33333152826447,,,,,,,144.75414402043745,156.3047027580589,,,131.08726288505702,102.19899852362246,,,,,,,,,,,,,,
8,DOWN,,3945.41,b'stance0000',b'stride0001',b'stance0001',b'stride0001',172.858535991439,,,142.2204937248043,,,,,,,,,,46.482747373596325,,,,119.33333152826447,,,,,,,146.76007123456304,167.62399219245538,,,137.0420287719761,109.92390798379529,,,,,,,,,,,,,,
9,DOWN,,3991.2,b'stride0001',b'stride0001',b'stride0002',b'stride0001',172.858535991439,291.4013507454502,166.4644262038254,142.2204937248043,,,,,,,,,66.01637593538368,46.482747373596325,,,77.86441632361468,119.33333152826447,,,,,,,145.12247982713188,170.78969005593277,,,158.42977212160778,110.85971942773479,,,,,,,,,,,,,,
10,DOWN,,4249.84,b'stride0001',b'stride0001',b'stride0002',b'stride0001',172.858535991439,291.4013507454502,166.4644262038254,142.2204937248043,,,,,,,,,66.01637593538368,46.482747373596325,,,77.86441632361468,119.33333152826447,,,,,,,147.07358523743326,165.72864029461888,,,170.4490167137358,105.43166166322565,,,,,,,,,,,,,,
11,DOWN,,4397.91,b'stride0001',b'stride0001',b'stride0002',b'stride0001',172.858535991439,291.4013507454502,166.4644262038254,142.2204937248043,,,,,,,,,66.01637593538368,46.482747373596325,,,77.86441632361468,119.33333152826447,,,,,,,149.3118782802724,176.15789290224015,,,152.85536164302454,108.40768123363651,,,,,,,,,,,,,,
12,DOWN,,3483.8500000000004,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,291.4013507454502,166.4644262038254,,,,,,,,,,66.01637593538368,,,,77.86441632361468,,,,,,,,156.1473488497307,167.30277948071497,,,155.8630688832963,102.06931766857377,,,,,,,,,,,,,,
13,DOWN,4.191897151930391,4590.305,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,291.4013507454502,166.4644262038254,,,,,,,,,,66.01637593538368,,,,77.86441632361468,,,,,,,,157.9537789801319,165.88298525099697,178.6044225847157,170.36069153187054,140.51079258678587,105.22259569165796,,,,,,,,,,,,,,
14,DOWN,3.1583581687431774,4755.79,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,291.4013507454502,166.4644262038254,,,,,,,,,,66.01637593538368,,,,77.86441632361468,,,,,,,,156.8440623781756,163.66387364898836,176.13360220221395,168.15907517819113,120.78261875248421,114.94720635626449,98.76653917744,,,,,,,,,,,,,
15,DOWN,1.5252671469120287,5130.95,b'stride0001',b'stance0001',b'stride0002',b'stride0002',,291.4013507454502,166.4644262038254,333.1843368034223,,,,,,,,,66.01637593538368,,,60.48776462593389,77.86441632361468,,,18.879343474078496,,,,-27.640873230924,173.8810568434223,167.35531212972717,169.41703013231069,167.47144010106322,117.22027807739416,135.87019844999656,102.79323514567697,103.84301040878653,,,,,,,,,,,,
