,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,UP,,2896.3,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,2896.3,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,2363.77,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,2253.37,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,3269.61,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,163.71157578665517,,,,,,,,,,,,,,
5,UP,,2762.7,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,159.39224839601275,,,,,,,,,,,,,,
6,UP,,3588.38,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,156.48323756927692,143.18783351952717,,,,,,,,,,,,,,
7,UP,,3061.45,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,151.41320258547995,145.8285059087343,,,,,,,,,,,,,,
8,UP,,3455.18,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,149.18232808802705,139.7440865348465,,,,,,,,,,,,,,
9,UP,,3297.88,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,165.56617998988168,142.04245765870886,,,,,,,,,,,,,,
10,UP,,3606.94,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,170.05484934327973,141.20505122770788,,,,,,,,,,,,,,
11,UP,,3412.5,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,174.1456586449634,147.82596935053417,,,,,,,,,,,,,,
12,UP,,2626.94,b'nan',b'swing0001',b'nan',b'nan',271.4295966763492,,,,,,,,,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,177.6831716676659,141.70833288907062,,,,,,,,,,,,,,
13,UP,,2587.41,b'nan',b'swing0001',b'nan',b'nan',271.4295966763492,,,,,,,,,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,171.65885865946288,152.60866641643008,,,,,,,,,,,,,,
14,UP,5.39627434930542,2582.3,b'nan',b'swing0001',b'nan',b'nan',271.4295966763492,,,,,,,,,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,,151.48171044607048,143.9516977400023,,,,,,,,,,,,,
15,UP,,2287.19,b'stance0001',b'swing0001',b'nan',b'swing0001',271.4295966763492,,,179.27851050738167,,,,,29.288455550759853,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,155.45013312582032,164.04850174292417,,,64.02197564912152,59.29826114123938,66.87171801167233,,,,,,,,,
16,UP,1.6955662059658814,2314.535,b'stance0001',b'swing0001',b'nan',b'swing0001',271.4295966763492,,,179.27851050738167,,,,,29.288455550759853,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,179.10840654589404,155.48597928063072,171.23279227359555,,64.02197564912152,59.29826114123938,66.87171801167233,,,,,,,,,
17,UP,1.4822196715829186,2428.915,b'stance0001',b'swing0001',b'nan',b'swing0001',271.4295966763492,,,179.27851050738167,,,,,29.288455550759853,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,172.33338146314924,133.40874247408246,165.52827725738194,152.40292059832706,64.02197564912152,59.29826114123938,66.87171801167233,,,,,,,,,
18,UP,0.12323177503285446,2611.6800000000003,b'stance0001',b'swing0001',b'nan',b'swing0001',271.4295966763492,,,179.27851050738167,,,,,29.288455550759853,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,167.95400130726074,136.8781205632126,159.95769854971914,144.29898609101033,64.02197564912152,59.29826114123938,66.87171801167233,,,,,,,,,
19,UP,1.8000584508756237,2909.085,b'stance0001',b'swing0001',b'nan',b'swing0001',271.4295966763492,,,179.27851050738167,,,,,29.288455550759853,,,,,78.9215217552515,,,,30.437386261472277,,,,,,,171.6726792061882,141.03491240205938,168.14183288588802,165.6180750187114,64.02197564912152,59.29826114123938,66.87171801167233,,,,,,,,,
