,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,stridephase_FL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_to1,mid_stance_toe_angles_mean_fl_to1-fl_to,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_to1,mid_stance_toe_angles_mean_fr_to1-fr_to,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_to1,mid_stance_toe_angles_mean_hr_to1-hr_to,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_to1,mid_stance_toe_angles_mean_hl_to1-hl_to
0,UP,,6192.52,b'stride0001',b'stride0001',b'stride0001',b'stride0001',b'nan',65.06037501722646,83.54063266144696,56.848831027527176,85.79240080186928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,6192.52,b'stride0001',b'stride0001',b'stride0001',b'stride0001',b'nan',65.06037501722646,83.54063266144696,56.848831027527176,85.79240080186928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,5440.54,b'stance0001',b'stride0001',b'stride0001',b'stride0001',b'nan',65.06037501722646,,56.848831027527176,85.79240080186928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,5305.11,b'stance0001',b'stance0001',b'stance0001',b'stance0001',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,6050.78,b'stance0001',b'stance0001',b'stance0001',b'stance0001',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,5484.38,b'stride0002',b'stride0002',b'stride0002',b'stance0001',b'nan',360.45371657327075,154.95597322862895,178.58952855835489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,6443.87,b'stride0002',b'stride0002',b'stride0002',b'stance0001',b'stance0001',360.45371657327075,154.95597322862895,178.58952855835489,,,,,,,,,,,,,,,,,,,,,,172.13180041232815,160.47305325795122,,,139.58414377345846,,,,,,,,,,,,,,,
7,UP,,5849.31,b'stride0002',b'stride0002',b'stride0002',b'stride0002',b'stance0001',360.45371657327075,154.95597322862895,178.58952855835489,0.0,,,,,,,,,,,,,,,,,,,,,178.0902006143711,154.42854839153674,,,145.0808171902302,151.8319238465836,,,,,,,,,,,,,,
8,UP,,6303.39,b'stride0002',b'stride0002',b'stride0002',b'stance0002',b'stance0001',360.45371657327075,154.95597322862895,178.58952855835489,,,,,,,,,,,,,,,,,,,,,,172.41313839978415,145.86063284933596,,,146.05094043172485,150.2630436679537,,,,,,,,,,,,,,
9,UP,,5144.9,b'stride0002',b'stride0002',b'stride0002',b'stride0003',b'stance0001',360.45371657327075,154.95597322862895,178.58952855835489,0.0,,,,,,,,,,,,,,,,,,,,,,143.02869517412745,,,,158.97062087067906,,,,,,,,,,,,,,
10,UP,,5581.96,b'stance0002',b'stride0002',b'stance0002',b'stance0003',b'stance0001',360.45371657327075,,,,,,,,37.520127347246266,,,,,,,,,,,,,,,,174.98427455235836,137.02885873638084,,,121.21587725747555,142.07216293074347,,,,,,,,,,,,,,
11,UP,,3323.215,b'stance0002',b'stride0002',b'stride0003',b'stride0004',b'stance0001',360.45371657327075,,0.0,191.8319237995573,,,,,37.520127347246266,,,,,,,,,,,,,,,,171.63319716840903,140.0578876446012,,,112.8794730301005,140.57092710989053,,,,,,,,,,,,,,
12,UP,8.753386039133407,5371.815,b'stance0002',b'stride0002',b'stance0003',b'stride0004',b'stance0001',360.45371657327075,,,191.8319237995573,,,,,37.520127347246266,,,,,,,,,,,,,,,,160.04431912080997,143.81391242206482,179.91582867501754,178.9896457765818,100.6469336156601,129.27752962718407,,,,,,,,,,,,,,
13,UP,7.502256381954179,5922.605,b'stance0002',b'stride0002',b'stride0004',b'stride0004',b'stance0001',360.45371657327075,,214.07051107803446,191.8319237995573,,,,,37.520127347246266,,,,,,,,,,,,,,,,145.5578974531345,155.5940077928649,173.98768494904553,178.4508295799431,106.12705169626282,125.35669928277542,,125.44152822236363,,,,,,,,,,,,
14,UP,5.404267502032047,5359.82,b'stance0002',b'stride0002',b'stride0004',b'stride0004',b'stance0001',360.45371657327075,,214.07051107803446,191.8319237995573,,,,,37.520127347246266,,,,,,,,,,,,,,,,159.07193492972428,170.4674947511524,147.07086166346778,176.47499489551893,134.66097762305998,125.62417633503753,,142.8891231450117,,,,,,,,,,,,
15,UP,2.73142495114038,5126.834999999999,b'stride0003',b'stride0002',b'stance0004',b'stride0004',b'stance0001',360.45371657327075,318.5870464123152,,191.8319237995573,,,,,,,,,,,,,24.024081359079354,,,,19.37936674591967,,,,149.45522357896292,,137.981440732989,175.0605441807493,145.36291648877062,,,138.11720888424006,,,,,,,,,,,,
16,UP,0.6068162945440977,6335.48,b'stride0003',b'stride0002',b'stride0005',b'stride0004',b'swing0001',360.45371657327075,318.5870464123152,303.11896276792623,191.8319237995573,,,,,,,,,,,97.90625217991354,,24.024081359079354,,22.48620040580159,,19.37936674591967,,-12.903384632332774,,158.53793043372173,,136.37525769922166,179.73049536572915,160.44050997039642,,138.3281814898122,119.5357748045902,,,,,,,,,,,,
17,UP,4.380562070578231,4861.43,b'stride0003',b'stride0002',b'stride0005',b'stance0004',b'swing0001',360.45371657327075,318.5870464123152,303.11896276792623,,,,,,,,,93.02624953307618,,,97.90625217991354,,24.024081359079354,,22.48620040580159,,19.37936674591967,,-12.903384632332774,,152.4919462971298,175.34915594552967,151.46166366716653,165.93315030462557,164.36354426841564,135.5044358631866,118.62667508600417,102.32050485687884,,,,,,,,,,,,
18,UP,7.3554640382513945,5065.87,b'stride0003',b'stance0002',b'stride0005',b'stance0004',b'swing0001',,318.5870464123152,303.11896276792623,,,,,,,28.580861684693115,,93.02624953307618,,,97.90625217991354,,24.024081359079354,,22.48620040580159,,19.37936674591967,,-12.903384632332774,,162.82862902925777,167.90121598238184,157.1210052869639,167.3615863947599,166.20976687023267,114.90496038786694,100.36857354480122,103.58480181459068,,,,57.868584576221245,69.61764369200047,36.735761022367875,,,,,,
19,UP,9.36039039719145,5501.825,b'stride0003',b'stance0002',b'stride0005',b'stance0004',b'swing0001',,318.5870464123152,303.11896276792623,,,,,,,28.580861684693115,,93.02624953307618,,,97.90625217991354,,24.024081359079354,,22.48620040580159,,19.37936674591967,,-12.903384632332774,,149.645487611139,149.09202524139695,170.19596869744092,179.8836745947009,150.63609466999458,107.10616805112186,102.46555195089124,102.05122523429344,,,,57.868584576221245,69.61764369200047,36.735761022367875,,,,,,
20,UP,9.280834911870011,5392.29,b'stride0003',b'stance0002',b'stride0005',b'stance0004',b'swing0001',,318.5870464123152,303.11896276792623,,,,,,,28.580861684693115,,93.02624953307618,,,97.90625217991354,,24.024081359079354,,22.48620040580159,,19.37936674591967,,-12.903384632332774,,167.20766486288485,138.34670564547446,179.24398456361587,174.04110008037497,149.30623274321135,97.84146421071839,117.67655648076911,139.22496097788675,,,,57.868584576221245,69.61764369200047,36.735761022367875,,,,,,
21,UP,9.21106752701829,5476.1900000000005,b'stride0003',b'stance0002',b'stride0005',b'stance0004',b'swing0001',,318.5870464123152,303.11896276792623,,,,,,,28.580861684693115,,93.02624953307618,,,97.90625217991354,,24.024081359079354,,22.48620040580159,,19.37936674591967,,-12.903384632332774,,173.80160284673522,139.91208850255575,177.3017357936753,159.17142023747175,146.57083371471185,118.12046260574826,136.9539284071078,152.99747759739566,,,,57.868584576221245,69.61764369200047,36.735761022367875,,,,,,
22,UP,6.855504925174362,4798.965,b'stride0003',b'stance0002',b'stride0005',b'stride0005',b'swing0001',,318.5870464123152,303.11896276792623,313.6636135518588,,,,,,28.580861684693115,,,,,97.90625217991354,75.52955422933195,24.024081359079354,,22.48620040580159,22.55216963585979,19.37936674591967,,-12.903384632332774,-14.506050250814496,174.36012730103974,144.2835195122196,171.65298329100742,153.26879809023066,140.15981314147373,138.4256924102604,149.10009766451995,160.57140707919967,,,,57.868584576221245,69.61764369200047,36.735761022367875,,,,,,
23,UP,3.782859419086225,5640.105,b'stride0003',b'stance0002',b'stride0005',b'stride0005',b'swing0001',,318.5870464123152,303.11896276792623,313.6636135518588,,,,,,28.580861684693115,,,,,97.90625217991354,75.52955422933195,24.024081359079354,,22.48620040580159,22.55216963585979,19.37936674591967,,-12.903384632332774,-14.506050250814496,179.0391371062835,144.8828042989733,164.37159721849548,147.06819635099123,141.2191153306797,159.43160728285028,139.86539417920983,167.68874865153245,,,,57.868584576221245,69.61764369200047,36.735761022367875,,,,,,
24,UP,0.4637309774161424,4868.84,b'stride0003',b'stride0003',b'stride0005',b'stride0005',b'swing0001',300.582733053816,318.5870464123152,303.11896276792623,313.6636135518588,,,,,,,,,,68.416643339933,97.90625217991354,75.52955422933195,24.024081359079354,21.61588474233107,22.48620040580159,22.55216963585979,19.37936674591967,22.234224133706476,-12.903384632332774,-14.506050250814496,171.4381608987288,138.58614892833327,152.70458964330453,145.0614211293658,142.67945085263784,154.72239346259425,119.12193333529382,146.96542518680013,,,,,,,,,,,,
25,UP,1.33521918052868,4375.35,b'stride0003',b'stride0003',b'stance0005',b'stride0005',b'stance0002',300.582733053816,318.5870464123152,,313.6636135518588,,,,,,,99.22425090948825,,,68.416643339933,,75.52955422933195,24.024081359079354,21.61588474233107,,22.55216963585979,19.37936674591967,22.234224133706476,,-14.506050250814496,,147.24905112833005,160.2494028474024,157.83340097836665,,161.6317985627581,117.119918766334,121.15966302383212,,,,,,,25.953527096699514,70.90047395709239,66.8304897502431,,,
26,UP,3.984513676836939,4505.49,b'stance0003',b'stride0003',b'stance0005',b'stride0005',b'stance0002',300.582733053816,,,313.6636135518588,,,,,37.868099069006895,,99.22425090948825,,,68.416643339933,,75.52955422933195,,21.61588474233107,,22.55216963585979,,22.234224133706476,,-14.506050250814496,176.65947122573334,134.9137378627516,161.38075236927904,156.5235080063435,127.03173968654518,140.75760972223685,104.05528069611346,98.30999675307876,62.50721632473992,63.53627178697348,63.26296640922995,,,,25.953527096699514,70.90047395709239,66.8304897502431,,,
27,UP,4.819903774930177,4919.4,b'stance0003',b'stride0003',b'stance0005',b'stride0005',b'stance0002',300.582733053816,,,313.6636135518588,,,,,37.868099069006895,,99.22425090948825,,,68.416643339933,,75.52955422933195,,21.61588474233107,,22.55216963585979,,22.234224133706476,,-14.506050250814496,171.87520161166287,141.5889700146184,171.36378118455974,169.30580827181416,124.65328916277971,133.8764459960955,96.99766801103188,91.91327033649725,62.50721632473992,63.53627178697348,63.26296640922995,,,,25.953527096699514,70.90047395709239,66.8304897502431,,,
