,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_to1,hl_to1-hl_to
0,UP,4.305798459126925,3218.3050000000003,b'stance0000',b'stride0001',b'stance0000',b'stride0001',111.85525929354085,,,80.64601234448257,,117.57144305087989,,74.10221006921813,,,,,,,,,,,,,,10.285385852023325,,,147.15794032679088,140.67156948774817,162.92353139213526,176.24471376757793,105.03235115998832,119.05479352064741,,,71.98750220410287,58.76612500683303,46.828253453608376,39.30116713649987,40.993444348781885,33.04096615058004,30.491277369220025,30.065134387127227,68.30429660703979,17.672545668709287,86.82365165024709,64.10016846663211
1,UP,5.978268059782663,3218.3050000000003,b'stance0000',b'stride0001',b'stance0000',b'stride0001',111.85525929354085,,,80.64601234448257,,102.06487764606653,,56.080795150444764,,,,,,,,,,,,,,10.285385852023325,,,145.37949937668228,141.93923560624262,155.12339536686895,172.532750715914,110.51974679819261,109.59495640873186,,116.18614719012598,69.82894985871967,63.48373206031535,50.97638847575275,49.374220463637556,42.703956278785725,42.0523058080048,34.37310218225139,27.463541536458873,58.581897808589076,62.58603105873948,35.149451589649125,84.93732906869148
2,UP,8.363067124638505,3206.035,b'stance0000',b'stride0001',b'stride0001',b'stride0001',111.85525929354085,,0.0,80.64601234448257,,93.52829831746556,123.58883536007079,38.99046165353731,,,,,,,,,,,,,,10.285385852023325,,,162.12364370129598,143.03613742045258,151.68805239266092,178.9758838028502,129.69161249333968,98.54528009282494,125.98016324047589,120.90211916925108,67.24477297505246,56.99900237564958,66.91408575310604,49.60912005027272,43.91107306811546,44.32932461003853,14.023887718130997,24.641886896823138,32.713690466261426,50.27361529072168,65.69241915692723,81.01756401992344
3,UP,12.425807407486023,3010.21,b'stride0001',b'stride0001',b'stance0001',b'stride0001',111.85525929354085,260.97779112185964,,80.64601234448257,165.64943845481375,84.06173319855532,,26.943877707690703,,,,,77.06175503480296,,,,35.85888052259771,,,,20.458966666175996,10.285385852023325,,,150.97593863266422,147.21816685205096,145.0832755710205,177.52654267915045,128.20126400478486,102.46790492236073,139.0423069885459,122.09039697430674,52.31136178347995,69.38703378419162,71.49711154448494,52.62666735380234,47.805351088410504,38.89881311757061,34.28167034968236,35.35966191298269,6.8755867284243095,44.617794585319984,56.61382156894048,84.8723674884872
4,UP,15.522084826489303,2981.25,b'stride0001',b'stride0001',b'stance0001',b'stance0001',111.85525929354085,260.97779112185964,,,150.38086628525312,82.99932865316677,,,,,,109.43768516421797,77.06175503480296,,,,35.85888052259771,,,,20.458966666175996,10.285385852023325,,,169.94797625336625,147.85286326713415,128.96262961809614,178.4790547660439,175.33403058148411,110.22326207393229,144.6519405403451,109.56060439966204,50.9865262066586,70.15971291293027,46.434153225573624,51.078677758797596,42.75087288672188,42.58842817603991,45.23134372154164,32.76485480412416,18.885507570398318,48.9739364492316,56.818454215644955,84.3440952751703
5,UP,19.80854952947569,3086.01,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,260.97779112185964,216.77892667138514,,152.32423083676593,,146.19514010994837,,,16.586107705609617,,109.43768516421797,77.06175503480296,,113.98224973093922,,35.85888052259771,,28.040744805099955,,20.458966666175996,,-14.322973601107321,,,141.5147766222051,132.2972685504485,174.8472735885369,,107.50824518013432,121.56463852250886,108.98662822716307,21.51350430296065,15.000036825092728,20.88262342381293,64.95253177312809,56.70922637710215,38.87526099248078,32.83334312863491,66.66572316758375,46.017457729093664,37.58820337310613,56.57658766632022,85.10583811727712
6,UP,21.942471196639193,3006.44,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,260.97779112185964,216.77892667138514,,138.9410199978927,,135.90311636941993,,,16.586107705609617,,109.43768516421797,77.06175503480296,,113.98224973093922,,35.85888052259771,,28.040744805099955,,20.458966666175996,,-14.322973601107321,,158.58864668853246,153.2734422307443,134.20213613494707,170.8314951626219,171.33925876214388,104.33217513148604,98.61835157922907,106.82958543976584,24.152179854094147,30.550082710328144,31.301773506055987,68.28416222352254,45.98569289310877,37.91489772544295,27.24524796309117,50.619452021421324,60.17791886695917,30.575213754984837,54.83933070265978,87.04990975800854
7,UP,21.839841849135453,3561.44,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,260.97779112185964,216.77892667138514,,126.57515145693195,,111.5966111994139,,,16.586107705609617,,109.43768516421797,77.06175503480296,,113.98224973093922,,35.85888052259771,,28.040744805099955,,20.458966666175996,,-14.322973601107321,,154.02948585804572,144.56059409623032,149.78308267767514,164.3731034754598,161.9889204528854,91.4662361254844,79.59280337852591,99.5979212496723,26.065305152233453,39.2826107102048,34.56415255191457,65.77180879425379,47.80134836856609,37.53750335395171,36.59998002839577,44.88762886000054,55.01062415871619,28.344453074432554,55.51526242943773,88.81032243626704
8,UP,21.77144013367563,3502.8,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,260.97779112185964,216.77892667138514,,113.44151861640508,,108.99215222697171,,,16.586107705609617,,109.43768516421797,77.06175503480296,,113.98224973093922,,35.85888052259771,,28.040744805099955,,20.458966666175996,,-14.322973601107321,,158.7374754424522,142.79972232724043,137.12394327407898,175.95492061805894,143.88713632621995,84.14373999724768,90.42195751947743,106.0412889971576,35.41361392686254,47.83553919630452,32.75770269552533,64.126939655695,49.901742079715895,35.7874206413491,34.02345075685586,41.19823525785114,55.97388452693956,31.733872069580954,57.67134667304379,89.39463458415293
9,UP,18.818391111197094,3855.955,b'stride0001',b'stance0001',b'stride0002',b'stance0001',,260.97779112185964,216.77892667138514,,99.78581900808058,,76.726582006788,,,16.586107705609617,,109.43768516421797,77.06175503480296,,113.98224973093922,,35.85888052259771,,28.040744805099955,,20.458966666175996,,-14.322973601107321,,163.1641690528216,132.43005001569352,172.54334279681913,168.9795046187073,127.36813324314085,83.81121652370051,76.2960675668677,98.7865159907907,40.92486241220718,36.65727547986938,34.80530179652404,60.67268037097769,53.25995508280854,37.34981703112864,34.750104985047535,34.72742242450361,57.416389869619096,29.655764507559162,59.52410068321227,83.82287522835729
