,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,,112.83,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,315.75686303859715,,,,,,,,,,,,,,,,,,,,,,144.27441574473525,144.08700716843435,,,97.37774034861889,59.6953730809613,,,,,,,,,,,,,,
1,UP,,112.83,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,315.75686303859715,,,,,,,,,,,,,,,,,,,,,,145.23385136600018,144.53520602352847,,,97.39376799956294,59.374094305197204,,,,,,,,,,,,,,
2,UP,,74.93,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,143.4956996785008,142.8516720929198,,,98.19623835338136,57.51871835739868,,,,,,,,,,,,,,
3,UP,,386.91,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,26.55172320074047,,,,,,,,,,,,,,,,,,,,,,143.39638400292955,140.16557032770913,,,98.48958758549881,58.551594229821404,,,,,,,,,,,,,,
4,UP,,111.67,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,26.55172320074047,,,,,,,,,,,,,,,,,,,,,,141.58230315616808,141.57601034924863,,,98.98924732958986,61.0771887811033,,,,,,,,,,,,,,
5,UP,,337.08,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,26.55172320074047,,,,,,,,,,,,,,,,,,,,,,143.11522549441986,139.94436322140234,,,98.25559440302995,63.78569080083413,,,,,,,,,,,,,,
6,UP,,1200.85,b'stride0001',b'stance0000',b'stance0002',b'stance0000',,0.0,,,,,,,,,,,,,,,,,,,,,,,145.70382719036357,135.88642003994786,,,95.37027747675832,62.66703566409183,,,,,,,,,,,,,,
7,UP,,506.2,b'stance0001',b'stance0000',b'stride0003',b'stance0000',,,7.353873184903406,,,,,,,,,,,,,,,,,,,,,,145.76364573048502,132.42084461417966,,,98.71862438215095,63.051950645999995,,,,,,,,,,,,,,
8,UP,,761.4,b'stride0002',b'stance0000',b'stride0003',b'stride0001',,0.0,7.353873184903406,0.0,,,,,,,,,,,,,,,,,,,,,145.12359212297355,140.23390331909218,,,98.44885035039698,46.08226371141271,,,,,,,,,,,,,,
9,UP,,432.55,b'stance0002',b'stance0000',b'stride0003',b'stance0001',,,7.353873184903406,,,,,,,,,,,,,,,,,,,,,,149.52272782959415,135.54220896865263,,,100.67170909594277,47.67028213551694,,,,,,,,,,,,,,
