,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,,5148.21,b'stride0001',b'stance0000',b'stance0000',b'stride0001',,373.9947578221833,,102.72115378493416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,5148.21,b'stride0001',b'stance0000',b'stance0000',b'stride0001',,373.9947578221833,,102.72115378493416,,,,,,,,,,,,,,,,,,,,,154.20095023327823,,,,129.51592959524604,,,,,,,,,,,,,,,
2,UP,,4730.96,b'stride0001',b'stance0000',b'stance0000',b'stride0001',,373.9947578221833,,102.72115378493416,,,,,,,,,,,,,,,,,,,,,152.20700153839056,,,,136.61401162292296,,,,,,,,,,,,,,,
3,UP,,4312.53,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,373.9947578221833,38.11233734232142,102.72115378493416,,,,,,,,,,,,,,,,,,,,,159.434973833343,,,,141.6228753982864,,,,,,,,,,,,,,,
4,UP,,4971.59,b'stride0001',b'stride0001',b'stride0001',b'stride0001',39.94878951247091,373.9947578221833,38.11233734232142,102.72115378493416,,,,,,,,,,,,,,,,,,,,,154.67606064914145,163.4151880352764,,,,,,,,,,,,,,,,,,
5,UP,,5258.05,b'stride0001',b'stride0001',b'stride0001',b'stride0001',39.94878951247091,373.9947578221833,38.11233734232142,102.72115378493416,,,,,,,,,,,,,,,,,,,,,154.40142001898965,166.8558460767797,,,,131.00091128818497,,,,,,,,,,,,,,
6,UP,,4867.71,b'stride0001',b'stride0001',b'stride0001',b'stride0001',39.94878951247091,373.9947578221833,38.11233734232142,102.72115378493416,,,,,,,,,,,,,,,,,,,,,142.04493239054045,165.57891842714218,,,,124.5601670775183,,,,,,,,,,,,,,
7,UP,,3872.075,b'stride0001',b'stride0001',b'stride0001',b'stride0001',39.94878951247091,373.9947578221833,38.11233734232142,102.72115378493416,,,,,,,,,,,,,,,,,,,,,,156.33768085432746,,,,125.98975479343858,,,,,,,,,,,,,,
8,UP,29.888494111383043,3503.5600000000004,b'stride0001',b'stride0001',b'stride0001',b'stride0001',39.94878951247091,373.9947578221833,38.11233734232142,102.72115378493416,143.64502555947212,,,,,,,,,,,,,,,,,,,,,147.70670307500944,,,,123.64943456040513,,,,,,,,,,,,,,
9,UP,25.410304539322944,5206.495,b'stride0001',b'stance0001',b'stride0001',b'stance0001',,373.9947578221833,38.11233734232142,,138.54787883991548,,,,,,,,,,,,,,,,,,,,140.18116089853018,142.98447920866403,,107.16253497294834,172.40689996585425,128.25024303066692,,46.00330554953641,,,,,,,,,,,,
10,UP,19.495675088164663,5649.115,b'stride0001',b'stance0001',b'stride0001',b'stride0002',,373.9947578221833,38.11233734232142,0.0,129.88891047925128,,,,,,,,,,,,,,,,,,,,141.27252430989776,156.48377547715694,160.28725502626088,,169.1355980800411,142.87456418801395,55.15516616921245,,,,,,,,,,,,,
11,UP,13.304991203688047,3701.9449999999997,b'stride0001',b'stance0001',b'stride0001',b'stance0002',,373.9947578221833,38.11233734232142,,121.76501456277883,,,,,,,,,,,,,,,,,,,,148.53580155198762,139.7367595867965,,98.56421857834577,,144.3356510867055,,30.180805317434334,,,,,,,,,,,,
12,UP,9.003280191076243,6001.33,b'stride0001',b'stride0002',b'stride0001',b'stride0003',341.84537010918353,373.9947578221833,38.11233734232142,751.8016163918866,108.50798996024334,,,,,,,,,36.62826558260234,,,,17.873671114896304,,,,33.569068868836496,,-46.021240289080765,155.1815593685756,124.96801312114788,,,141.3234127821046,138.35898859433394,,,,,,,,,,,,,,
13,UP,1.9073615814430023,4861.195,b'stride0001',b'stride0002',b'stride0001',b'stride0003',341.84537010918353,373.9947578221833,38.11233734232142,751.8016163918866,90.41807440371481,,,,,,,,,36.62826558260234,,,,17.873671114896304,,,,33.569068868836496,,-46.021240289080765,,115.79774902663678,,,,136.80932940615938,,,,,,,,,,,,,,
14,UP,2.48760849018301,3610.635,b'stride0001',b'stride0002',b'stance0001',b'stride0003',341.84537010918353,373.9947578221833,,751.8016163918866,85.27778917144941,,,,,,,,,36.62826558260234,,,,17.873671114896304,,,,33.569068868836496,,-46.021240289080765,177.79081898826277,114.93186488024945,178.53362431529843,143.91395447122986,149.02491313063075,133.12805711964523,68.77088905306222,146.44648473256302,,,,,,,,,,,,
15,UP,1.823646024211911,4385.735,b'stride0001',b'stride0002',b'stance0001',b'stride0003',341.84537010918353,373.9947578221833,,751.8016163918866,105.74051350088482,,,,,,,,,36.62826558260234,,,,17.873671114896304,,,,33.569068868836496,,-46.021240289080765,153.60565522438344,110.69157281817743,178.39506157249045,168.6833913816709,146.02305872116997,149.82781651316589,69.3233804315314,118.08006214634783,,,,,,,,,,,,
16,UP,1.8410423483879794,4429.3099999999995,b'stride0001',b'stride0002',b'stride0002',b'stride0003',341.84537010918353,373.9947578221833,327.1844700665645,751.8016163918866,110.15898424158736,,,,,,,,,36.62826558260234,30.763229086294118,,,17.873671114896304,15.287155794371117,,,33.569068868836496,32.1237266395333,-46.021240289080765,154.74087169021047,115.24296191639357,164.15409712664803,165.3337552675893,151.54871397993713,157.06869936735984,66.5568875633108,,,,,,,,,,,,,
17,UP,0.16533888632854038,4977.005,b'stance0001',b'stride0002',b'stride0002',b'stride0003',341.84537010918353,,327.1844700665645,751.8016163918866,,,,,,,,,,36.62826558260234,30.763229086294118,,,17.873671114896304,15.287155794371117,,,33.569068868836496,32.1237266395333,-46.021240289080765,148.58100919546916,131.30178412788013,170.62803980633913,175.17874707663282,156.96613313843739,,72.26115608041607,,,,,,,,,,,,,
