,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
0,DOWN,1.3758277383393533,b'nan',b'nan',b'nan',b'nan',455.185,,,,,,,,,,,,,,,,,,,,,
1,DOWN,0.8997135329792911,b'nan',b'nan',b'nan',b'nan',455.185,,,,,,,,,4.640747240126325,,,,,9.513175368050916,3.5209068298190394,4.551111475794952,1.4654314028886044,,,,
2,DOWN,,b'nan',b'nan',b'nan',b'nan',556.745,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,b'nan',b'nan',b'nan',b'nan',169.075,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,b'nan',b'nan',b'nan',b'nan',550.095,,,,,,,,,,,,,,,,,,,,,
5,DOWN,,b'nan',b'nan',b'nan',b'nan',435.435,,,,,,,,,,,,,,,,,,,,,
6,DOWN,,b'nan',b'nan',b'nan',b'nan',649.56,,,,,,,,,,,,,,,,,,,,,
7,DOWN,1.2834564549362995,b'nan',b'nan',b'nan',b'nan',423.43999999999994,,,,,,,,,0.6047686103100341,,81.38144323549596,,,1.3049158193103414,0.8022090470890184,0.6363098189526778,0.9549357907579415,,,,195.08449993138353
8,DOWN,0.6349719222138219,b'nan',b'nan',b'nan',b'nan',1197.125,,,,,,,,,-0.23946199452877953,,79.65958125340332,,,-0.515666189220364,0.15876160373122641,0.2498886033691626,2.207899110355906,,,,193.3080361030715
9,DOWN,0.6540798559951497,b'nan',b'nan',b'nan',b'nan',531.35,,,,,,,,,-0.4845384034164166,,79.10633348043275,,,-1.052211084567998,0.3272008467252287,0.5177637527606435,,,,,195.52812160763304
10,DOWN,0.17221119085883174,b'nan',b'nan',b'nan',b'nan',1140.05,,,,,,,,,-2.372655057312572,,77.52785751066249,,,-5.049226855980681,0.13345274598727788,2.5455227607443023,4.177361808061209,,,,193.7139538068355
11,DOWN,0.1124083933826796,b'nan',b'nan',b'nan',b'nan',665.405,,,,,,,,,-2.043558432124711,,,,,-4.245173444702726,0.7651859412085388,2.1198095665564725,,,,,
12,DOWN,0.101910103924439,b'nan',b'nan',b'nan',b'nan',1783.99,,,,,,,,,-2.5441807876046068,,,,,-5.294124495779926,0.06345817759775853,2.8054200916891783,,,,,
13,DOWN,0.2307107690968735,b'nan',b'nan',b'nan',b'nan',775.63,,,,,,,,,-3.1803078134893497,,,,,-6.601092933762143,1.166827337343565,3.4839403552889046,,,,,
14,DOWN,0.5516591046802546,b'nan',b'nan',b'nan',b'nan',1193.16,,,,,,,,,-2.4086357996326413,,,,,-5.095422180246515,1.9377000737218366,2.7032856675326924,,,,,
15,DOWN,0.4136856812752683,b'nan',b'nan',b'nan',b'nan',1060.87,,,,,,,,,-2.4336799604440245,,,,,-5.292440353065443,1.234989262316846,2.850906659174193,,,,,
16,DOWN,0.5862265570944203,b'nan',b'nan',b'nan',b'nan',1236.4850000000001,,,,,,,,,-2.599398293164755,,,,,-5.710994822440666,1.8261928040472653,3.024254374478619,,,,,
17,DOWN,0.07321366079898439,b'nan',b'nan',b'nan',b'nan',212.175,,,,,,,,,-2.521997008283492,,,,,-5.605690698596686,1.6627113325547476,2.832382076114562,,,,,
18,DOWN,0.24814203095473886,b'nan',b'nan',b'nan',b'nan',777.1,,,,,,,,,-2.138184891331075,,67.6572299567122,,,-4.555783702686015,1.5407114412991225,2.3130732913376013,,,,,185.13562678913806
19,DOWN,0.24628269523930157,b'swing0001',b'nan',b'nan',b'nan',591.665,8.166199533865882,,,,2.585150791195211,,,,-2.3110582320389383,,,,,-4.928064791809344,1.8004605363563102,2.448384724082683,,,,,
20,DOWN,0.24089289732617658,b'swing0001',b'nan',b'nan',b'nan',352.84,8.166199533865882,,,,2.585150791195211,,,,-1.7742039414154032,,65.04604794409198,,,-3.7310969629714825,2.2395265603535526,1.8193833285406398,,1.1558149533139925,,,183.0339097750125
21,DOWN,0.8081086098766264,b'swing0001',b'nan',b'nan',b'nan',561.87,8.166199533865882,,,,2.585150791195211,,,,-1.870280432181351,,,,,-4.033139884345365,2.405648127431691,1.9913421793665083,6.239312550481051,,,,
22,DOWN,0.06145914194516422,b'swing0001',b'nan',b'nan',b'nan',354.42499999999995,8.166199533865882,,,,2.585150791195211,,,,-1.4509699777753065,,,,,-3.1492200368242353,2.6521422428700103,1.5292346593205475,6.517451212953405,1.6570855764801453,,,
23,DOWN,0.6049747487254251,b'swing0001',b'nan',b'nan',b'nan',458.895,8.166199533865882,,,,2.585150791195211,,,,-0.7554395753641325,,,,,-1.6197887628083345,1.9272810492257548,0.8011638896113248,,1.4858724057976866,,,
24,DOWN,1.319684693799104,b'swing0001',b'nan',b'nan',b'nan',454.455,8.166199533865882,,,,2.585150791195211,,,,-1.187950950288253,,,,,-2.549324357297908,2.350874582072781,1.26666503329737,,,,,
25,DOWN,2.432733934133296,b'swing0001',b'nan',b'nan',b'nan',530.485,8.166199533865882,,,,2.585150791195211,,,,-1.4000992854170984,22.99983858948524,,,,-2.996287916329856,2.4437765289145625,1.5069344473818702,2.7593105437830103,,24.52644009881194,,
26,DOWN,3.3048539710369482,b'swing0001',b'nan',b'nan',b'nan',776.3,8.166199533865882,,,,2.585150791195211,,,,-1.1068415343515672,21.83555201364062,,,,-2.366755233739878,1.206407218931744,1.1951554072297244,1.9011783603152885,,23.440342926731706,,
27,DOWN,3.3558324552747933,b'swing0001',b'nan',b'nan',b'nan',479.905,8.166199533865882,,,,2.585150791195211,,,,-1.0854719285804588,21.647201677964443,,,,-2.280094310600834,1.5053561282792902,1.1253100978988253,1.7059863237326431,,24.691388085793,,
28,DOWN,3.5220922006793955,b'swing0001',b'nan',b'nan',b'nan',641.065,8.166199533865882,,,,2.585150791195211,,,,-1.4025149015525555,19.391030265476413,,,,-2.8941886585533307,1.803946229512888,1.4264389386678256,2.0760061065602233,,21.82055485804322,,
29,DOWN,3.4046427973336506,b'swing0001',b'nan',b'nan',b'nan',687.4300000000001,8.166199533865882,,,,2.585150791195211,,,,-0.3867360064287872,,,,,-0.8077752304938375,0.5020168766787488,0.39586469493886023,1.995659232608212,,,,
30,DOWN,2.9872910443017986,b'swing0001',b'nan',b'nan',b'nan',1013.465,8.166199533865882,,,,2.585150791195211,,,,0.11589065250323581,,,,,0.24223679058103428,0.29381131192086996,0.11893181216866633,1.291280410573256,,,,
31,DOWN,2.621420469363727,b'swing0001',b'nan',b'nan',b'nan',1071.93,8.166199533865882,,,,2.585150791195211,,,,0.054844458049990094,,,,,0.11851410339896214,0.8483605677684892,0.05610572512359919,1.0232075186925016,,,,
32,DOWN,3.4850653671186365,b'swing0001',b'nan',b'nan',b'nan',655.575,8.166199533865882,,,,2.585150791195211,,,,-0.2270581518290004,,,,,-0.48543472414798394,0.050287970681931485,0.22758453595123182,0.8681867411783896,,,,
33,DOWN,4.470077850697123,b'swing0001',b'nan',b'nan',b'nan',896.835,8.166199533865882,,,,2.585150791195211,,,,-0.4418785679947208,21.391697031261785,53.384134787181175,-49.79380118019491,71.18549821145669,-0.962516017888448,1.760101152473548,0.4428698512173051,7.393363223426963,,30.4784579875887,,167.55276386819986
