,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
0,UP,7.157873540936707,b'nan',b'nan',b'nan',b'nan',434.86,,,,,,,,,,,,,,,,,,,,,
1,UP,8.32052493228493,b'nan',b'nan',b'nan',b'nan',434.86,,,,,,,,,-5.726841604712501,,,,,-11.701800246570752,4.289655308173973,5.031704767897928,1.674987484639198,6.521287981976171,,,
2,UP,6.506780620975007,b'nan',b'nan',b'nan',b'nan',874.33,,,,,,,,,-5.098732977282727,15.21130932111518,,,,-10.379152238891189,4.684512288080029,4.428631661235132,0.21724028297003864,6.083327333689474,17.42212889196431,,
3,UP,6.065550366729617,b'nan',b'nan',b'nan',b'nan',473.435,,,,,,,,,-5.561872777126963,13.282697558450591,,,,-11.738693274958994,4.434882780682443,4.7663840528429,2.5974092414155847,6.554966871371175,17.015884128917328,,
4,UP,6.323388128214525,b'nan',b'nan',b'nan',b'nan',886.35,,,,,,,,,-5.972147722788086,7.708593594086328,,,,-11.874024446901307,4.367301633264296,5.025977875604317,3.09447784543747,9.182422473022847,10.250934476600445,,
5,UP,7.040913618421953,b'nan',b'nan',b'nan',b'nan',443.71500000000003,,,,,,,,,-7.601469223158003,3.8405155920535043,,,,-14.619200210871794,5.740139509995592,6.4531242533514215,4.927284449374013,7.116422009354558,4.9492481268241475,,
6,UP,6.24801701013814,b'nan',b'nan',b'nan',b'nan',635.0,,,,,,,,,-8.058752368493954,3.200689585263638,,,,-15.146889690927278,5.754593496489008,6.729600454501798,4.28475365343828,7.565763799976729,4.148686751563681,,
7,UP,5.808247515455606,b'nan',b'nan',b'nan',b'nan',1750.0749999999998,,,,,,,,,-8.337376807082226,1.3510378618816197,,,,-16.04999664052708,5.013222794436454,7.06800848773201,3.962244645625137,8.447264390887735,1.952432487543717,,
8,UP,5.370390422026319,b'nan',b'nan',b'nan',b'nan',2129.98,,,,,,,,,-8.506289644539896,-1.660174486701666,,,,-16.224783906814444,4.607998637944097,7.273461909245978,5.03905808217361,8.127785292055268,2.495363337610358,,
9,UP,5.148572652143003,b'nan',b'nan',b'nan',b'nan',2064.675,,,,,,,,,-4.819397287597371,-4.85776813503215,,,,-9.427728191137483,2.503018419929279,3.9966438911207285,2.6056471650634823,8.957100688562376,8.124906548788301,11.482931448851263,
10,UP,4.988220565149778,b'nan',b'nan',b'nan',b'nan',1505.5300000000002,,,,,,,,,-0.9832559406208408,-4.534236590498393,,,,-1.9198623908903163,0.02652635033285729,0.8756301160279957,1.5138809852467214,7.297274752478604,7.567651992471989,13.207073559172352,
