,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
0,UP,4.047370823739909,b'nan',b'nan',b'nan',b'nan',192.9,,,,,,,,,,,,,,,,,,,,,
1,UP,4.325173221100987,b'nan',b'nan',b'nan',b'nan',192.9,,,,,,,,,13.766073980961021,,,,,25.490136091135,7.954223760276696,12.7237918398007,10.390736005716082,,,,
2,UP,4.688625689621495,b'nan',b'nan',b'nan',b'nan',152.825,,,,,,,,,13.29969085598157,,,,,24.488858118553647,7.429851663670486,12.202650434487571,10.642091445862063,,,,
3,UP,4.752311037755489,b'nan',b'nan',b'nan',b'nan',113.39500000000001,,,,,,,,,13.23418793011382,,,,,24.597843490106253,7.596206391844493,12.167799517843651,10.535955101948938,,,,
4,UP,4.89827657784141,b'nan',b'nan',b'nan',b'nan',148.575,,,,,,,,,13.25889915896431,,,,,24.958926516816337,7.529928410214264,12.293910767482728,10.459566442829866,,,,
5,UP,5.207146423175087,b'nan',b'nan',b'nan',b'nan',155.985,,,,,,,,,14.096731369858107,,,,,26.76191895699866,8.300771182600048,13.258439308365467,10.9856944821324,19.232917687808545,,,
6,UP,5.065736079817489,b'nan',b'nan',b'nan',b'nan',121.975,,,,,,,,,15.23634554089398,,,,,28.849618164973403,8.680896120099376,14.144468876940795,11.608763547665854,,,,
7,UP,4.775294708750933,b'nan',b'nan',b'nan',b'nan',272.615,,,,,,,,,16.463897452316917,,,,,30.93932062058166,9.065860032041586,15.281821328248869,12.050691722788905,16.82985992456576,,,
8,UP,3.740233263702566,b'nan',b'nan',b'nan',b'nan',157.28,,,,,,,,,19.108117941985995,,,,,35.183871224359905,10.135791310381206,17.53969150344359,13.818875732465376,16.08379594184869,,,
9,UP,3.680617521687757,b'nan',b'nan',b'nan',b'nan',137.505,,,,,,,,,19.728475426877942,,,,,35.56286620258785,9.679507023964,17.19795105956009,13.755205974099328,15.91554594469074,,,
