,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
0,UP,,b'nan',b'nan',b'nan',b'nan',25.07,,,,,,,,,,,,,,,,,,,,,
1,UP,,b'nan',b'nan',b'nan',b'nan',25.07,,,,,,,,,,,,,,,,,,,,,
2,UP,,b'nan',b'nan',b'nan',b'nan',78.71,,,,,,,,,,,,,,,,,,,,,
3,UP,,b'nan',b'nan',b'nan',b'nan',120.46,,,,,,,,,,,,,,,,,,,,,
4,UP,,b'nan',b'nan',b'nan',b'nan',108.24,,,,,,,,,,,,,,,,,,,,,
5,UP,,b'nan',b'nan',b'nan',b'nan',100.01,,,,,,,,,,,,,,,,,,,,,
6,UP,,b'nan',b'nan',b'nan',b'nan',199.98,,,,,,,,,,,,,,,,,,,,,
7,UP,12.060661067908008,b'nan',b'nan',b'nan',b'nan',127.33500000000001,,,,,,,,,0.3222261913365689,,,,,0.6800432506622677,1.4509573230413555,0.3641139794521904,1.6805527469053456,,,,
8,UP,12.047618699197692,b'nan',b'nan',b'nan',b'nan',199.97500000000002,,,,,,,,,0.4818318044620144,,,,,1.014836388036627,1.3665119955613654,0.5413458853490699,1.8292426822934138,,,,
9,UP,11.57816623165176,b'nan',b'nan',b'nan',b'nan',150.165,,,,,,,,,0.7310291618506368,,,,,1.5456288598735828,1.420611302628486,0.8136802931658607,1.7906565175064506,,,,
10,UP,11.29234609723636,b'nan',b'nan',b'nan',b'nan',157.95,,,,,,,,,0.421089808099466,,,,,0.8934976119141526,1.4344684652843107,0.4679521868153733,1.1179277884117396,,,,
11,UP,11.315950203320739,b'nan',b'nan',b'nan',b'nan',204.09500000000003,,,,,,,,,0.3920386008958586,,,,,0.835690767956497,1.3608072355077871,0.4353148877002174,1.1939367850575402,,,,
12,UP,11.159774677276136,b'nan',b'nan',b'nan',b'nan',168.905,,,,,,,,,0.2531278592095069,,,,,0.5471371631603529,1.0763347128915175,0.282468580547307,0.8706105689093318,,,,
13,UP,11.26881672252604,b'nan',b'nan',b'nan',b'nan',231.195,,,,,,,,,-0.2775809855293215,,,,,-0.5977877340165042,0.4600725059159469,0.30688659061476903,0.2531752743387123,,,,
14,UP,11.20584031018655,b'nan',b'nan',b'nan',b'nan',199.29500000000002,,,,,,,,,-0.47275899073148275,,,,,-1.01530561598107,0.2714210044727767,0.5251329961555299,0.011804236418848089,,,,
15,UP,11.380511415477706,b'nan',b'nan',b'nan',b'nan',80.365,,,,,,,,,-0.659286067611716,,,,,-1.4198959144900047,0.010105145585934117,0.7294504085412769,0.07572640118258654,,,,
16,UP,11.372856550288084,b'nan',b'nan',b'nan',b'nan',172.96,,,,,,,,,-0.3831057570169161,,,,,-0.8206155725523537,0.27747105974102976,0.419462850101907,1.1890943009475199,,,,
17,UP,11.416777849706232,b'nan',b'nan',b'nan',b'nan',198.965,,,,,,,,,-0.02234427862851757,,,,,-0.04751882400168232,0.18653071008694283,0.024580618907378324,1.6725744685522193,,,,
18,UP,11.981246349468343,b'nan',b'nan',b'nan',b'nan',142.845,,,,,,,,,-0.10233671080726682,,,,,-0.2165507866520511,0.07424843465655795,0.11241962224142528,0.9544172198794689,,,,
19,UP,12.371233163884247,b'nan',b'nan',b'nan',b'nan',137.31,,,,,,,,,-0.06937013384762433,,,,,-0.14778717540901845,0.2166305813946974,0.0765237701022615,1.1255075409420856,,,,
20,UP,12.523280701468149,b'nan',b'nan',b'nan',b'nan',120.505,,,,,,,,,-0.529206404298675,,,,,-1.126653814711174,0.19176645017099053,0.5828782486910884,0.766645988938687,,,,
21,UP,12.602494172510633,b'nan',b'nan',b'nan',b'nan',236.785,,,,,,,,,-0.7954394289532493,,,,,-1.7076723123676327,0.1480500324220433,0.8882700717287919,0.5914222148637402,,,,
22,UP,12.31772401497785,b'nan',b'nan',b'nan',b'nan',145.54500000000002,,,,,,,,,-1.3917667162857887,,,,,-2.9769633519221963,0.4932859175062031,1.5737090308610011,0.11318271877168325,,,,
23,UP,12.22815745773685,b'nan',b'nan',b'nan',b'nan',248.74,,,,,,,,,-1.7627142098269748,,,,,-3.7708885089692177,0.9012526110202883,2.0019324817439603,0.6170106125867375,,,,
24,UP,11.946134049327533,b'nan',b'nan',b'nan',b'nan',293.575,,,,,,,,,-2.0185495185581686,,,,,-4.31805678788386,1.0592264724458176,2.305741390659592,1.1491780339415854,,,,
25,UP,11.176108093138636,b'nan',b'nan',b'nan',b'nan',529.665,,,,,,,,,-2.6262476521535043,,,,,-5.58849554212065,0.884273048304256,2.979376392561773,1.51370489599407,,,,
26,UP,9.579796568759745,b'nan',b'nan',b'nan',b'stance0001',299.83,,,,,,,,,-3.949981958314195,,,,,-8.36262689313109,1.6885693781246662,4.53170915836962,3.263186598080482,,,,
27,UP,,b'nan',b'nan',b'nan',b'stance0001',386.985,,,,,,,,,,,,,,,,,,,,,
28,UP,8.77981363423222,b'nan',b'nan',b'nan',b'stance0001',553.9300000000001,,,,,,,,,-3.0929413942397375,,,,,-6.5300775464478615,1.9635385579137594,3.59095127271428,2.7640970900145243,,,,
29,UP,7.624060547385226,b'nan',b'nan',b'nan',b'stance0001',175.135,,,,,,,,,-3.4739907352441706,,,,,-7.270226397729041,2.6849867210799165,4.062043709753986,3.326565552250816,,,,
30,UP,7.941603456387886,b'nan',b'nan',b'nan',b'stance0001',501.325,,,,,,,,,-2.7170913655530335,,,,,-5.670405446044189,1.9726450266360434,3.210303215252138,2.344865296778683,,,,
31,UP,6.7716387816386,b'nan',b'nan',b'nan',b'stance0001',689.065,,,,,,,,,-3.7112080148807283,,,,,-7.57528839686786,2.082214582427187,4.385222154337948,3.408513016128859,,,,
32,UP,5.578523888809526,b'nan',b'nan',b'nan',b'stance0001',607.0600000000001,,,,,,,,,-4.651093084396299,,,,,-9.320128036031177,2.3192541204637602,5.41368408531133,4.575958369462824,,,,
33,UP,5.414396991245463,b'nan',b'nan',b'nan',b'stance0001',793.595,,,,,,,,,-3.964696636724075,,,,,-7.837581634242247,0.8694025027962806,4.647110828598414,4.44863461912592,,,,
34,UP,5.380642394345759,b'nan',b'nan',b'nan',b'stance0001',729.795,,,,,,,,,-2.15564381359211,,,,,-4.281194537014597,0.47639957095858343,2.5454198778621375,2.8224690838717463,,,,
35,UP,4.372465574142023,b'nan',b'nan',b'nan',b'stance0001',991.395,,,,,,,,,-2.071563610972191,,,,,-4.116154933434126,0.5927336898466227,2.5096944163704378,2.4114040733971285,,,,
36,UP,3.196702840663059,b'nan',b'nan',b'nan',b'swing0001',1132.035,,,,79.25208499373957,,,,12.149313185685394,-2.2797736088694887,,,,,-4.588593555550197,1.230116226972367,2.8274673976819433,3.387316713699482,,,,
37,UP,2.325762675563367,b'nan',b'nan',b'nan',b'swing0001',722.495,,,,79.25208499373957,,,,12.149313185685394,-1.603043037040647,,,,,-3.237885690297386,1.2486219229989026,1.955810534149067,2.5486447324849633,,,,
38,UP,1.920179176039204,b'nan',b'nan',b'nan',b'swing0001',1007.655,,,,79.25208499373957,,,,12.149313185685394,1.2404046028525617,,,,,2.5188383672766665,3.65741861247309,1.5623613717703373,0.5552134273216469,,,,
39,UP,1.1394070233553142,b'nan',b'nan',b'nan',b'swing0001',939.995,,,,79.25208499373957,,,,12.149313185685394,2.119056612103898,,,,,4.319895393953173,4.738070361581017,2.684418470416816,0.8435727886540514,,,,
40,UP,0.20981332041688125,b'nan',b'nan',b'nan',b'swing0001',,,,,79.25208499373957,,,,12.149313185685394,1.9538244819975987,,,,,3.9417891664152576,5.752675478104858,2.417682204656906,0.0018723652177291188,0.597735952241663,,,
41,UP,0.46245158089215427,b'nan',b'swing0001',b'nan',b'swing0001',,,122.73971059334923,,79.25208499373957,,7.018978163629789,,12.149313185685394,3.831894368956344,,,,,7.7780866180972525,6.077185418057947,4.841566909805861,0.9722167793985963,0.0668494071992433,,,
42,UP,1.1263760441951565,b'nan',b'swing0001',b'nan',b'swing0001',,,122.73971059334923,,79.25208499373957,,7.018978163629789,,12.149313185685394,4.825457788114797,-1.8942234144770844,,,,9.879840595107,7.571764167087694,6.177474594307634,2.3765788002201065,1.9923448517712932,1.2008329972280891,,
43,UP,2.118153385137362,b'nan',b'swing0001',b'nan',b'swing0001',,,122.73971059334923,,79.25208499373957,,7.018978163629789,,12.149313185685394,5.694505149731464,-8.43853093185485,,,,11.567508462542415,7.99935494007553,7.135783645175518,4.15851482922014,4.176027905211421,5.357103373130347,10.180581930669076,
44,UP,2.8817384168483717,b'nan',b'swing0001',b'nan',b'swing0001',796.29,,122.73971059334923,,79.25208499373957,,7.018978163629789,,12.149313185685394,6.713420609762035,-16.024499159037976,,,,13.553418887349121,8.541525535898254,8.302700251098502,4.991730171033491,7.6284756492203245,11.113289622348374,,
45,UP,3.2314401316030885,b'nan',b'swing0001',b'nan',b'swing0001',1161.865,,122.73971059334923,,79.25208499373957,,7.018978163629789,,12.149313185685394,8.158527625491287,-16.934625346320455,,,,16.247054682801313,9.226292621244728,9.941903613740354,5.461043359315468,7.217375130410648,12.021191832142957,14.875759113764655,
46,UP,4.7806717476304055,b'nan',b'swing0001',b'nan',b'swing0001',1346.645,,122.73971059334923,,79.25208499373957,,7.018978163629789,,12.149313185685394,9.775914072581031,-21.69471161508058,,,,19.71003281582058,9.142406199826755,11.570548806733195,6.428953497287162,8.446311531564957,17.03120153318124,21.781004282716314,
47,UP,6.089610264778087,b'nan',b'swing0001',b'nan',b'swing0001',826.0899999999999,,122.73971059334923,,79.25208499373957,,7.018978163629789,,12.149313185685394,9.163717827675296,-23.434604662968955,,,,18.665448070990383,9.565421848746931,11.211601393307138,7.037094675584931,9.182271351447211,18.871597683298052,25.316494371069812,
48,UP,6.8278347076795045,b'nan',b'swing0001',b'swing0001',b'swing0001',962.53,,122.73971059334923,,79.25208499373957,,7.018978163629789,7.947180503744228,12.149313185685394,9.076717580560434,-24.686576054949,,,,18.82394521702056,9.890931429855438,11.412334676235817,7.601889753735321,11.357271233637224,20.953354850300517,26.08772774070219,
49,UP,8.38900519883935,b'nan',b'swing0001',b'swing0001',b'swing0001',612.2249999999999,,122.73971059334923,,79.25208499373957,,7.018978163629789,7.947180503744228,12.149313185685394,9.136560697248317,-24.58480697277695,,,,18.80087149324457,9.48757620336473,11.248329644476335,7.617436551602593,11.629067655331726,19.530662325648123,27.14601139512592,
50,UP,9.131629559386097,b'nan',b'swing0001',b'swing0001',b'stance0002',495.44499999999994,,122.73971059334923,,,,7.018978163629789,7.947180503744228,,10.24087316773737,-26.06626363894506,,,,21.014333663617794,8.695026412457734,12.705251477753778,8.490728748156107,11.852017558909449,21.851280206451694,30.898725639045956,
51,UP,9.98825408110116,b'nan',b'swing0001',b'swing0001',b'stance0002',,,122.73971059334923,,,,7.018978163629789,7.947180503744228,,10.31428505286114,-26.473014599028975,,,,21.21380316221461,9.010726889579775,12.890067333684252,8.19553360278113,11.826647646186757,21.98702413970067,32.40971080899599,
