,direction_of_climbing,body_deflection_angle,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,speed_PXperS,step-length_FL,step-length_FR,step-length_HR,step-length_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,cranial_bA,prox_bA,tip_bA,prox_dist,dist_bA,cranial_caudal,amplitude_Spine_A,amplitude_Spine_B,amplitude_Spine_C,amplitude_Tail_A,amplitude_Tail_B,amplitude_Tail_C,amplitude_Tail_Tip
0,UP,,b'nan',b'nan',b'nan',b'nan',465.98,,,,,,,,,,,,,,,,,,,,,
1,UP,,b'nan',b'nan',b'nan',b'nan',465.98,,,,,,,,,,,,,,,,,,,,,
2,UP,,b'nan',b'nan',b'nan',b'nan',1262.93,,,,,,,,,,,,,,,,,,,,,
3,UP,,b'nan',b'nan',b'nan',b'nan',205.92,,,,,,,,,,,,,,,,,,,,,
4,UP,,b'nan',b'nan',b'nan',b'nan',902.45,,,,,,,,,,,,,,,,,,,,,
5,UP,,b'nan',b'nan',b'nan',b'nan',519.57,,,,,,,,,,,,,,,,,,,,,
6,UP,,b'nan',b'nan',b'nan',b'nan',858.55,,,,,,,,,,,,,,,,,,,,,
7,UP,,b'nan',b'nan',b'nan',b'nan',370.1,,,,,,,,,,,,,,,,,,,,,
8,UP,,b'nan',b'nan',b'nan',b'nan',986.41,,,,,,,,,,,,,,,,,,,,,
9,UP,,b'nan',b'nan',b'nan',b'nan',912.51,,,,,,,,,,,,,,,,,,,,,
10,UP,,b'nan',b'nan',b'nan',b'nan',643.07,,,,,,,,,,,,,,,,,,,,,
11,UP,,b'nan',b'nan',b'nan',b'nan',533.39,,,,,,,,,,,,,,,,,,,,,
12,UP,,b'nan',b'nan',b'nan',b'nan',1727.89,,,,,,,,,,,,,,,,,,,,,
13,UP,,b'nan',b'nan',b'nan',b'nan',1031.45,,,,,,,,,,,,,,,,,,,,,
14,UP,,b'nan',b'swing0001',b'nan',b'nan',587.47,,,,,,,,,,,,,,,,,,,,,
15,UP,,b'nan',b'swing0001',b'nan',b'nan',913.76,,,,,,,,,,,,,,,,,,,,,
16,UP,,b'nan',b'swing0001',b'nan',b'nan',504.37,,,,,,,,,,,,,,,,,,,,,
17,UP,,b'nan',b'swing0001',b'nan',b'nan',344.685,,,,,,,,,,,,,,,,,,,,,
18,UP,18.05163812639402,b'nan',b'swing0001',b'nan',b'nan',1115.1100000000001,,,,,,,,,11.584463528119072,,,,,24.352178791016044,6.173748048031608,10.562698603679186,6.674993738346671,,,,
19,UP,22.838567042747997,b'nan',b'swing0001',b'nan',b'nan',1006.26,,,,,,,,,12.490968162179826,,,,,26.08129315983565,6.250102967052056,11.440352725879757,4.86697465274802,,,,
20,UP,23.46767328982706,b'nan',b'swing0001',b'nan',b'nan',514.255,,,,,,,,,12.679866150272781,,,,,26.10722328625137,7.501370982811852,10.853902330106747,5.541632205061191,,,,
21,UP,24.789692830938264,b'nan',b'swing0001',b'nan',b'nan',698.585,,,,,,,,,10.645825760075073,,,,,23.0063965059669,6.224018546146141,9.305099957529615,4.245369841434519,,,,
22,UP,25.563245952272414,b'nan',b'swing0001',b'nan',b'nan',414.645,,,,,,,,,11.19830371236104,,,,,23.708307792174942,6.568600225604969,9.54334288423519,5.945829566548988,,,,
23,UP,26.249174746400364,b'nan',b'swing0001',b'nan',b'nan',540.37,,,,,,,,,11.877003722789269,,,,,23.221010075750005,5.2022118316538695,9.080070938622407,7.300368779893085,,,,
24,UP,26.38151271249639,b'nan',b'swing0001',b'nan',b'nan',365.93,,,,,,,,,12.670139095457849,,,,,25.47490852514921,6.475530015324331,10.32578437293276,6.406816634708583,,,,
25,UP,26.004704775328577,b'nan',b'swing0001',b'nan',b'nan',178.575,,,,,,,,,11.18337443669343,,,,,22.741339983800405,5.7077615720245864,9.217747158992227,4.939986445280029,,,,
26,UP,26.052397156554573,b'nan',b'swing0001',b'nan',b'nan',225.57500000000002,,,,,,,,,10.865430097047808,,,,,21.45332452233847,5.330747685372143,8.64414947853223,6.740569251151713,,,36.2418789967913,
27,UP,25.992502636055722,b'nan',b'stance0001',b'nan',b'stance0001',205.065,,,,,,,,,9.914402647363435,,,,,19.646171225839918,6.178483513947281,8.040291707376399,2.9829387389301183,,,36.766581514181276,
28,UP,25.609970056000524,b'nan',b'stance0001',b'nan',b'stance0001',961.77,,,,,,,,,11.143821014832422,,,,,21.509941204547548,6.256062324878955,8.653866611741964,5.554613947299085,,,36.52619593493473,
29,UP,26.218967370328865,b'nan',b'stance0001',b'nan',b'stance0001',376.79999999999995,,,,,,,,,10.254114433655547,,,,,19.023317040558112,5.637266880546802,7.582241517911228,4.838932459004629,,,40.57108943464053,
30,UP,26.13254553560144,b'nan',b'stance0001',b'nan',b'stance0001',821.355,,,,,,,,,10.60337496487629,,,,,19.79996388184713,5.293558251165772,7.866823480920013,5.40500302609789,,,41.38498291956251,
31,UP,24.85742880847584,b'swing0001',b'stance0001',b'nan',b'stance0001',437.53499999999997,,,,,23.05374902454289,,,,9.51504985257239,,,,,18.249571354488374,4.386198239769849,7.253603843931445,4.711650626682727,,,,
32,UP,24.667188517405446,b'swing0001',b'stance0001',b'nan',b'stance0001',1007.885,,,,,23.05374902454289,,,,8.456482282364705,,,,,16.163561038704863,2.996834481548555,6.505510739155809,5.956655463323352,,,,
33,UP,25.66093347113843,b'swing0001',b'stance0001',b'nan',b'stance0001',792.33,,,,,23.05374902454289,,,,6.331763442243126,,,,,12.221255454922806,2.14435730332114,4.964234853880694,3.940874004847445,,,,
34,UP,24.797886803659043,b'swing0001',b'stance0001',b'nan',b'stance0001',1336.9450000000002,,,,,23.05374902454289,,,,8.475307049576491,,,,,17.36106097355324,2.220353385890468,7.15761464363622,5.482544073612882,,,,
35,UP,24.314875742605558,b'swing0001',b'stance0001',b'nan',b'stance0001',378.73999999999995,,,,,23.05374902454289,,,,7.365979069861103,,,,,14.614853295490642,3.505236061692599,6.3757556018398125,6.053755869847371,,,,
36,UP,23.063799953544876,b'swing0001',b'stance0001',b'nan',b'stance0001',1006.155,,,,,23.05374902454289,,,,5.646286548722691,,,,,11.146503256928428,1.3698612206392997,4.8796806683844265,5.732698841526928,,,,
37,UP,23.007590780926538,b'swing0001',b'stance0001',b'nan',b'stance0001',1192.01,,,,,23.05374902454289,,,,3.612204459779825,,,,,7.162856142035543,0.4772773068950229,3.2550764814013924,5.634957846909994,,,,
38,UP,23.6367634619568,b'swing0001',b'stance0001',b'nan',b'stance0001',800.995,,,,,23.05374902454289,,,,1.427946056289764,,,,,2.8976554892473225,1.1509018534631472,1.3238476289897096,2.9220602378814053,16.951133279987165,,,
39,UP,23.38480455610359,b'swing0001',b'stance0001',b'nan',b'stance0001',842.495,,,,,23.05374902454289,,,,-0.4001565857610004,,,,,-0.8423035376111476,0.6918674673818072,0.41196891294954574,1.8795553704565977,18.125725991469256,,,
40,UP,23.0454141483719,b'swing0001',b'stance0001',b'nan',b'stance0001',1343.47,,,,,23.05374902454289,,,,-1.440134610307934,,,,,-3.0473977574640885,0.9302166748280345,1.5106217145475211,0.9489464974546434,,,,
41,UP,21.643502346628782,b'swing0001',b'stance0001',b'nan',b'stance0001',1382.98,,,,,23.05374902454289,,,,-3.606769641983012,,,,,-8.051179602160612,4.001299683948451,4.178681582695017,2.269488004480327,13.508818540108184,,,
42,UP,20.789799074529288,b'swing0001',b'stance0001',b'nan',b'stance0001',1351.435,,,,,23.05374902454289,,,,-5.492052837622369,,,,,-12.687978775014843,5.406620735566651,6.384314110636686,2.3062395011645322,13.296048119411083,,,
43,UP,18.746559962769,b'swing0001',b'stance0001',b'nan',b'stance0001',981.735,,,,,23.05374902454289,,,,-7.857283148415293,,,,,-16.963056286585417,5.878134982104905,8.66281609602122,2.2166312617888435,10.597450047088978,,,
44,UP,17.94997282331476,b'swing0001',b'stance0001',b'nan',b'stance0001',920.36,,,,,23.05374902454289,,,,-7.7839299084467415,,,,,-17.217082368620236,5.893286201280435,8.796906978349757,4.16938254675501,11.679881724487705,,,
45,UP,17.56532918665583,b'swing0001',b'stance0001',b'nan',b'stance0001',1313.205,,,,,23.05374902454289,,,,-9.154504051848482,,,,,-20.2343079652728,5.970043489597417,10.376053219910643,5.240279126190275,11.054672847825483,,,
46,UP,14.810018348493626,b'swing0001',b'stance0001',b'nan',b'stance0001',882.88,,,,,23.05374902454289,,,,-10.91766490676937,,,,,-23.720356797144166,6.882546957671677,11.692199729499476,7.360235983355218,2.1459372306791678,,,
47,UP,13.365498423596387,b'swing0001',b'stance0001',b'nan',b'stance0001',571.735,,,,,23.05374902454289,,,,-12.808616010899227,,,,,-27.16700463784532,8.157144660457547,13.57083516467743,10.207109163430887,0.281275596690378,,,
48,UP,11.558380741555663,b'swing0001',b'stance0001',b'nan',b'stance0001',1008.9649999999999,,,,,23.05374902454289,,,,-13.348305645590525,,,,,-27.23072153744517,8.762746702161921,14.112058961653913,10.918816751140822,,,,
49,UP,10.581804083947887,b'swing0001',b'stance0001',b'nan',b'stance0001',451.67999999999995,,,,,23.05374902454289,,,,-13.236258690763274,,,,,-27.269350095457227,8.62454123560014,13.938022087408827,11.113549761449425,2.3992336820866735,,,
50,UP,9.443134606979841,b'stance0001',b'stance0001',b'nan',b'stance0001',330.445,,,,,,,,,-12.104491481500451,,,,,-24.96056017946898,8.508066108242204,12.598667474378715,8.217311197624529,3.6296729271295103,,,
51,UP,8.553212787936689,b'stance0001',b'swing0002',b'nan',b'stance0001',297.13,,,,,,19.635389472781284,,,-11.644254726088793,,,,,-23.650518489272308,8.013508419078962,12.208038868390863,7.99646279403445,,,,
52,UP,8.326796866382143,b'stance0001',b'swing0002',b'nan',b'stance0001',438.725,,,,,,19.635389472781284,,,-10.800874849366616,-2.516768215319946,,,,-22.215311573012166,7.469617413239929,11.454949025640396,7.378999978077545,1.5993301352783442,5.150161468177365,,
53,UP,7.367917182135893,b'stance0001',b'swing0002',b'stance0001',b'stance0001',313.84000000000003,,,,,,19.635389472781284,,,-10.519021734213364,-1.184249204952845,,,,-21.65815721512823,7.171380270403304,11.406129410721565,9.078362711174657,2.7623064751597277,2.4172953042600183,,
54,UP,7.291066175300198,b'stance0001',b'swing0002',b'stance0001',b'stance0001',304.0,,,,,,19.635389472781284,,,-10.419073563630185,,,,,-21.244327333384597,6.907671001592988,11.08863744756006,10.53680426626983,2.0799838114537113,,,
55,UP,6.942573429574901,b'stance0001',b'swing0002',b'stance0001',b'stance0001',278.29,,,,,,19.635389472781284,,,-9.912928331719456,,,,,-20.36370724944247,6.447344026049587,10.746348949231974,9.771653633454005,2.8299546340469175,,,
56,UP,6.996879033311807,b'stance0001',b'swing0002',b'stance0001',b'stance0001',441.71999999999997,,,,,,19.635389472781284,,,-9.779776238790356,,,,,-20.097357425948644,6.253599836702142,10.705107851073985,9.84625581087925,3.7423625364233324,,,
57,UP,6.909577630093493,b'stance0001',b'swing0002',b'stance0001',b'stance0001',900.27,,,,,,19.635389472781284,,,-9.39734708475256,,,,,-19.3140514937875,5.896362881319289,10.360712232827822,9.651929034654577,3.9060863163868373,,1.9991343429260569,
