,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,L1_outlier_pred,L2_outlier_pred,L3_outlier_pred,L4_outlier_pred,R1_outlier_pred,R2_outlier_pred,R3_outlier_pred,R4_outlier_pred,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS,inner_segm_L1,outer_segm_L1,inner_segm_L2,outer_segm_L2,inner_segm_L3,outer_segm_L3,inner_segm_L4,outer_segm_L4,inner_segm_R1,outer_segm_R1,inner_segm_R2,outer_segm_R2,inner_segm_R3,outer_segm_R3,inner_segm_R4,outer_segm_R4
0,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.4503450822702932,4.014940107746136,9.484628778179726,4.291919165072669,3.494836584939842,,5.591827687721144,,ext,ext,ext,ext,ext,,ext,0.0007432364779660643,,,0.6240435973413517,1.000240674265216,0.9997257062347896,3.015371575656849,3.0453394183209315,6.448493333819569,1.2121638875382368,3.0858558625621795,1.9551224139290013,1.6335791729149887,1.2123727813887362,,1.9149685311520668,3.7203183689755366
2,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1443348180182094,,4.118826283707154,8.773374795257544,4.877096465576252,4.0675437049135885,,4.773353290946139,,,ext,flex,ext,ext,,flex,0.0011324582789773018,0.998641916764524,2.1661820924769595,0.994563334439054,,1.1502387586033203,3.0052258749508147,3.167756239409318,5.605822001686348,1.3905957944644678,3.4946721450007177,2.141224159997195,1.990178124211563,1.2687156536835804,,1.5198383897326562,3.288815982169154
3,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0449570290438572,3.8174239957662706,8.641455804009594,5.571718077915242,3.6072545964305314,3.869789809648793,5.324221719602625,,,flex,flex,ext,flex,,ext,0.002656543520433773,0.17547153251910944,,0.8614593200347038,1.1857310877844338,0.9190555526224112,2.9166576379484033,2.670231749003774,5.979536038422036,1.0782473343079553,4.493776714517676,2.0111147255878996,1.7183940755681666,1.0436716042482275,3.0379011048006723,1.9184369811768078,3.4194338499708734
4,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,,,3.5396425381540997,7.178457326356395,5.384935735856287,3.5156464658884907,3.777816009647368,,,,flex,flex,flex,flex,flex,,0.0019219809244176162,0.38899505846523796,,0.7107488851724405,,0.879767916240953,2.6808876326655904,1.1507764737167938,6.068818899629263,1.8542175434236339,3.543230446665235,2.0812894170044527,1.5316190671075467,0.9554837240025249,3.0985470843746654,0.7071806772266844,
5,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,,,3.3246299384305362,4.999336305887776,4.942234113009406,2.8274746057967426,2.5434813168610964,,,,flex,flex,flex,flex,flex,,0.0034206502453832856,0.4702016229897959,,1.0955450866370924,,0.5550776942484674,3.052212583988199,1.311390033295079,6.291979779241095,0.02043513793262962,4.961412412154495,1.2066099364906153,1.724069525332335,0.509711379533308,2.1345897555266404,0.2715026323079891,
6,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5861919390411714,,3.9350182235168316,5.962023127619565,1.8589295486264832,3.2376452122346935,3.8931619007611658,4.971773407485943,,,ext,ext,flex,ext,ext,,0.0018820015372558207,1.2326778749730616,2.363963348372764,0.7346416282681874,,0.921491789021252,3.064627339887543,1.5333207327711589,4.472257644591809,1.1476381455896956,0.7856675630291301,1.708139870782701,1.5658665245685401,0.9815796640954698,3.176687607325115,1.6001235583641138,3.3949585079731293
7,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,3.622360097236095,3.213730919612092,2.9653364187409306,4.634886075314954,1.4188527797366641,2.355401063400209,2.72112758768152,4.636782986398528,ext,,flex,flex,flex,flex,flex,flex,0.0053301412585571644,1.2721647184311153,2.4266730656850193,1.2143370729920893,1.999612618392516,1.1106412423584446,1.8571647812227525,1.5851062023777431,3.120481707305918,0.5620861608324444,1.3428035413781256,0.6495754637740773,1.785723709267222,0.6672348940243182,2.0678845296688113,1.7148891330169216,2.9344841665392005
8,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.854123827826939,3.1033365932535886,2.2865465129217157,3.6690520163667557,1.4623379504444882,1.380966153987001,,,ext,flex,flex,flex,ext,flex,,,0.0014917074090826288,1.8069577926846816,3.063438482976583,0.720155551461835,2.3867711739809185,0.38528990068657337,2.584643518147297,0.92667111079811,2.8092450359900414,0.5086105419885721,0.9743327272143537,0.47548554469520793,1.2813823545391425,0.21968184218792441,,0.6733259229687857,
9,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.574257314343204,2.900321125357781,2.1271050575968475,3.9309667453128534,1.2577654122677968,1.541904406088427,2.5084427500134656,4.733465325595974,flex,flex,flex,ext,flex,ext,,,0.001934961117957818,2.006558071684787,2.573297438832142,1.1253227063604774,1.7763499789829773,0.6895099427302177,2.505662728905203,1.1799470299401027,2.790452455697171,0.38633546397652013,0.8793614896353511,0.5280741529163432,1.2857716940291741,0.2573615034708115,2.311442564820588,1.1534298931482962,3.5808101533579837
