,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
0,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0
1,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',10.568279026820413,8.880577645766179,15.325974477532696,21.45549724626538,10.757612586918288,6.720814862123476,8.039267827232097,15.602648786603044,ext,ext,ext,ext,ext,ext,ext,ext,0.005833557990406091
2,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',8.612643031584744,8.333362603338431,14.630516542175174,20.55631820922084,8.595727766838321,7.029022123490084,8.753331215120348,14.562520789913263,flex,flex,flex,flex,flex,ext,ext,flex,0.006166650093481805
3,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',7.4561008241903926,7.427400256264803,12.865904846091926,20.255566666202267,7.845838624744699,8.007558929652097,8.697530504526107,15.486282454314589,flex,flex,flex,flex,flex,ext,flex,ext,0.007493526979676619
4,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',7.108976509545664,7.817685475997549,11.418502485288345,19.85942754069143,7.195802464087835,7.472445511698224,8.462493282506239,15.980634330838253,flex,ext,flex,flex,flex,flex,flex,ext,0.006204281372711377
5,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',6.774238864890485,6.618263176924382,11.148403608866698,19.056829389708625,5.823027967901981,7.434751372030215,7.078719229724995,18.088070059146002,flex,flex,flex,flex,flex,flex,flex,ext,0.00850797931279684
6,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',6.809458875991161,7.759059371798018,11.117287067934324,17.593425938266478,6.685247437998391,7.348858803080258,7.313755991796143,18.52925315567304,ext,ext,flex,flex,ext,flex,ext,ext,0.00827351522040327
7,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',6.484674631212527,7.7629518958589925,11.46745625416632,16.889017032393955,7.411564000529218,7.7513925080739465,8.961126342139664,17.451499817894874,flex,ext,ext,flex,ext,ext,ext,flex,0.007191959502254083
8,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',6.863752762058767,9.614025853908231,10.57713415373795,13.539455944550419,8.292041796499225,7.531056706608442,8.701964610928071,17.736314242721022,ext,ext,flex,flex,ext,flex,flex,ext,0.00702161796399938
9,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',7.376707257642654,10.57519939569902,10.996924598209997,11.973804406082113,10.586644223129845,8.783722346965826,9.073874479217968,16.592445056692423,ext,ext,ext,flex,ext,ext,ext,flex,0.005984914201541139
