,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
0,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0
1,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,
2,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,0.003924564587316654
3,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',2.4994898290009204,,3.885355087030445,,,6.593342102309653,,,,,,,,,,,0.0017454503335893425
4,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.4667237774587465,,4.0500961411986145,,7.186550684813861,,,,flex,,ext,,,,,,0.007178186308310051
5,RIGHT,b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',b'nan',1.9726812011600294,,3.206735795809843,,6.748314116492761,,,,ext,,flex,,flex,,,,0.006596661876687094
6,RIGHT,b'nan',b'nan',b'nan',b'nan',b'stance0001',b'nan',b'stance0001',b'swing0001',3.214193693179063,4.464433086952901,5.017420662478143,5.708443663918701,5.724745517847269,4.021711239946165,5.454374915215386,,ext,,ext,,flex,,,,0.004773499327110009
7,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'nan',b'stance0001',b'stance0001',b'stance0001',b'swing0001',4.418719336407026,3.6759606461459993,4.399950605387795,7.703577385038497,5.379069538959711,3.4016551500900927,5.054399940835264,,ext,flex,flex,ext,flex,flex,flex,,0.0059771831209455084
8,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'swing0001',b'stance0001',b'stance0001',b'stance0001',b'swing0001',4.599942622843554,2.540322177161521,4.113868189693199,10.203057963200893,6.74170975325853,3.6968029981919064,4.600146851128493,8.841232228904737,ext,flex,flex,ext,ext,ext,flex,,0.010604547913756698
9,RIGHT,b'stance0001',b'swing0001',b'stance0001',b'swing0001',b'stance0001',b'stance0001',b'stance0001',b'swing0001',4.173542563722043,4.527326675788766,5.486681412585435,11.027034910316006,5.5254080877846965,6.71400216674288,6.542142326873713,7.560724396914064,flex,ext,ext,ext,flex,ext,ext,flex,0.00757792292113726
10,RIGHT,b'stance0001',b'stance0001',b'stance0001',b'swing0001',b'swing0001',b'stance0001',b'stance0001',b'swing0001',4.126021836274016,6.137896034590373,5.651226161805187,10.029498788393118,3.865220519198243,6.990571244501329,6.131864671051247,6.834020837844838,flex,ext,ext,flex,flex,ext,flex,flex,0.00787363365769447
