,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
0,UP,,386.71,b'stance0000',b'stride0001',b'stance0000',b'stance0000',16.368297641678613,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.52134110197744,,,
1,UP,,386.71,b'stance0000',b'stride0001',b'stance0000',b'stance0000',16.368297641678613,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.61467730400943,,,
2,UP,,539.55,b'stance0000',b'stance0001',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,315.28,b'stance0000',b'stance0001',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,766.02,b'stance0000',b'stride0002',b'stance0000',b'stance0000',0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,810.48,b'stance0000',b'stance0002',b'stride0001',b'stance0000',,,64.61126126129975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,768.53,b'stance0000',b'stride0003',b'stride0001',b'stride0001',38.78786575458311,,64.61126126129975,37.290985751950544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UP,,989.42,b'stance0000',b'stride0003',b'stride0001',b'stride0001',38.78786575458311,,64.61126126129975,37.290985751950544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,,761.76,b'stance0000',b'stride0003',b'stride0001',b'stride0001',38.78786575458311,,64.61126126129975,37.290985751950544,,,,,,,,,,,,,,,,,,,,,,170.49467688784904,,,,126.95417973963863,,
9,UP,,779.02,b'stance0000',b'stride0003',b'stride0001',b'stride0001',38.78786575458311,,64.61126126129975,37.290985751950544,,,,,,,,,,,,,,,,,,,,,,179.78074841797704,,,,119.28395482603054,,
10,UP,,609.72,b'stance0000',b'stride0003',b'stance0001',b'stride0001',38.78786575458311,,,37.290985751950544,,,,,,,76.6060102590691,,,,,,,,,,,,,,,,,,,122.84739534244247,,
11,UP,,527.28,b'stance0000',b'stance0003',b'stance0001',b'stance0001',,,,,,,,,,9.65839234340296,76.6060102590691,157.39009748646376,,,,,,,,,,,,,,,,,,132.4602852978905,,
