,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
0,UP,,142.43,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,142.43,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,239.29,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,8.266127129429973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,73.69,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,8.266127129429973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,150.31,b'stance0001',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,131.49,b'stride0002',b'stance0000',b'stance0000',b'stance0000',,8.393757187562594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,153.7,b'stride0002',b'stance0000',b'stance0000',b'stance0000',,8.393757187562594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UP,,433.57,b'stride0002',b'stance0000',b'stance0000',b'stance0000',,8.393757187562594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,,319.29,b'stride0002',b'stance0000',b'stance0000',b'stance0000',,8.393757187562594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UP,,114.68,b'stance0002',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,25.422405163109715,,,,,,,,,,,,,,,,,,,,,,,
10,UP,,308.74,b'stance0002',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,25.422405163109715,,,,,,,,,,,,,,,,,,,,,,,
11,UP,,295.41,b'stance0002',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,25.422405163109715,,,,,,,,,,,,,,,,,,,,,,,
12,UP,,233.39,b'stance0002',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,25.422405163109715,,,,,,,,,,,,,,,,,,,,,,,
13,UP,,150.25,b'stance0002',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,25.422405163109715,,,,,,,,,,,,,,,,,,,,,,,
14,UP,,333.07,b'stride0003',b'stance0000',b'stance0000',b'stance0000',,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UP,,249.76,b'stance0003',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,54.57993208099733,,,,,,,,,,,,,,,,,,,,,,,
16,UP,,270.31,b'stance0003',b'stance0000',b'stride0001',b'stance0000',,,50.141019262130605,,,,,,54.57993208099733,,,,,,,,,,,,,,,,,,,,,,,
17,UP,,164.14,b'stance0003',b'stance0000',b'stride0001',b'stance0000',,,50.141019262130605,,,,,,54.57993208099733,,,,,,,,,,,,,,,,,,,,,,,
18,UP,,419.82,b'stance0003',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,54.57993208099733,,137.67032486943364,,,,,,,,,,,,,,,,,,,,,
19,UP,,243.73,b'stance0003',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,54.57993208099733,,137.67032486943364,,,,,,,,,,,,,,,,,,,,,
20,UP,,232.35,b'stance0003',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,54.57993208099733,,137.67032486943364,,,,,,,,,,,,,,,,,,,,,
21,UP,,556.76,b'stance0003',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,54.57993208099733,,137.67032486943364,,,,,,,,,,,,,,,,,,,,,
22,UP,,853.41,b'stance0003',b'stance0000',b'stance0001',b'stride0001',,,,0.0,,,,,54.57993208099733,,137.67032486943364,,,,,,,,,,,,,,,,,,,,,
23,UP,,647.23,b'stance0003',b'stance0000',b'stance0001',b'stance0001',,,,,,,,,54.57993208099733,,137.67032486943364,,,,,,,,,,,,,,,,,,,,,
24,UP,,1109.22,b'stance0003',b'stance0000',b'stance0001',b'stride0002',,,,0.0,,,,,54.57993208099733,,137.67032486943364,,,,,,,,,,,,,,,,,,,,,
25,UP,,398.51,b'stance0003',b'stance0000',b'stride0002',b'stance0002',,,11.620933384950774,,,,,,54.57993208099733,,,32.867215781084276,,,,,,,,,,,,,,,,,,,,
26,UP,,1401.47,b'stance0003',b'stance0000',b'stride0002',b'stance0002',,,11.620933384950774,,,,,,54.57993208099733,,,32.867215781084276,,,,,,,,,,,,,,,,,,,,
27,UP,,600.7,b'stance0003',b'stance0000',b'stride0002',b'stance0002',,,11.620933384950774,,,,,,54.57993208099733,,,32.867215781084276,,,,,,,,,,,,,,,,,,,,
28,UP,,728.02,b'stance0003',b'stance0000',b'stride0002',b'stance0002',,,11.620933384950774,,,,,,54.57993208099733,,,32.867215781084276,,,,,,,,,,,,,,,,,,,,
29,UP,,558.05,b'stride0004',b'stance0000',b'stance0002',b'stance0002',,0.0,,,,,,,,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
30,UP,,562.85,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
31,UP,,758.68,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
32,UP,,402.91,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
33,UP,,594.33,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
34,UP,,478.5,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
35,UP,,274.44,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
36,UP,,674.8,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
37,UP,,210.32,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
38,UP,,671.15,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
39,UP,,256.65,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
40,UP,,504.77,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
41,UP,,501.74,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
42,UP,,418.72,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
43,UP,,657.66,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
44,UP,,415.95,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
45,UP,,674.95,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
46,UP,,822.5,b'stance0004',b'stance0000',b'stance0002',b'stance0002',,,,,,,,,57.78737228148296,,149.67601019371108,32.867215781084276,,,,,,,,,,,,,,,,,,,,
47,UP,,525.21,b'stance0004',b'stance0000',b'stance0002',b'stride0003',,,,0.0,,,,,57.78737228148296,,149.67601019371108,,,,,,,,,,,,,,,,,,,,,
48,UP,,936.51,b'stride0005',b'stance0000',b'stance0002',b'stance0003',,0.0,,,,,,,,,149.67601019371108,88.72305856265969,,,,,,,,,,,,,,,,,,,,
49,UP,,758.78,b'stance0005',b'stance0000',b'stance0002',b'stance0003',,,,,,,,,,,149.67601019371108,88.72305856265969,,,,,,,,,,,,,,,,,,,,
50,UP,,1025.55,b'stance0005',b'stance0000',b'stance0002',b'stance0003',,,,,,,,,,,149.67601019371108,88.72305856265969,,,,,,,,,,,,,,,,,,,,
51,UP,,791.49,b'stride0006',b'stance0000',b'stance0002',b'stance0003',,0.0,,,,,,,,,149.67601019371108,88.72305856265969,,,,,,,,,,,,,,,,,,,,
52,UP,,518.45,b'stance0006',b'stance0000',b'stance0002',b'stance0003',,,,,,,,,,,149.67601019371108,88.72305856265969,,,,,,,,,,,,,,,,,,,,
53,UP,,469.77,b'stance0006',b'stance0000',b'stride0003',b'stance0003',,,0.0,,,,,,,,,88.72305856265969,,,,,,,,,,,,,,,,,,,,
54,UP,,836.22,b'stride0007',b'stance0000',b'stance0003',b'stride0004',,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,UP,,1087.37,b'stance0007',b'stance0000',b'stride0004',b'stance0004',,,0.0,,,,,,40.53181626932311,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
56,UP,,917.87,b'stance0007',b'stance0000',b'stance0004',b'stance0004',,,,,,,,,40.53181626932311,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
57,UP,,407.48,b'stance0007',b'stance0000',b'stance0004',b'stance0004',,,,,,,,,40.53181626932311,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
58,UP,,1020.95,b'stance0007',b'stance0000',b'stance0004',b'stance0004',,,,,,,,,40.53181626932311,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
59,UP,,717.06,b'stance0007',b'stance0000',b'stride0005',b'stance0004',,,154.05467065122073,,,,,,40.53181626932311,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
60,UP,,820.88,b'stride0008',b'stance0000',b'stride0005',b'stance0004',,0.0,154.05467065122073,,,,,,,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
61,UP,,1405.61,b'stance0008',b'stance0000',b'stance0005',b'stance0004',,,,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
62,UP,,1235.06,b'stance0008',b'stance0000',b'stance0005',b'stance0004',,,,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
63,UP,,527.57,b'stance0008',b'stance0000',b'stride0006',b'stance0004',,,165.13224497366303,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
64,UP,,2503.17,b'stance0008',b'stance0000',b'stride0006',b'stance0004',,,165.13224497366303,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
65,UP,,912.96,b'stance0008',b'stance0000',b'stance0006',b'stance0004',,,,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
66,UP,,2199.3,b'stance0008',b'stance0000',b'stride0007',b'stance0004',,,183.93921783081268,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
67,UP,,1981.19,b'stance0008',b'stance0000',b'stride0007',b'stance0004',,,183.93921783081268,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,,,,,,,,
68,UP,,1078.12,b'stance0008',b'stance0000',b'stride0007',b'stance0004',,,183.93921783081268,,,,,,96.11506928098555,,,58.44148164330213,,,,,,,,,,,,,149.2230925542103,,,,,,,
69,UP,,1459.23,b'stride0009',b'stance0000',b'stride0007',b'stance0004',,143.33732781058475,183.93921783081268,,,,,,,,,58.44148164330213,,,,,1.8170490146977922,,,,,,,,163.22904432436712,,,,,,,
70,UP,,1962.88,b'stride0009',b'stance0000',b'stance0007',b'stride0005',,143.33732781058475,,0.0,,,,,,,,,,,,,1.8170490146977922,,,,,,,,170.68451024985856,,,,,,,
71,UP,,1363.77,b'stride0009',b'stance0000',b'stance0007',b'stance0005',,143.33732781058475,,,,,,,,,,,,,,,1.8170490146977922,,,,,,,,162.4874872619173,,,,,,,
72,UP,,2033.81,b'stride0009',b'stance0000',b'stride0008',b'stride0006',,143.33732781058475,84.38030698354076,0.0,,,,,,,,,,,,,1.8170490146977922,,,,,,,,168.55936768165077,134.3834314380753,,,99.35616986580028,79.23062016140268,,
73,UP,,1600.87,b'stride0009',b'stance0000',b'stride0008',b'stance0006',,143.33732781058475,84.38030698354076,,,,,,,,,,,,,,1.8170490146977922,,,,,,,,163.42240874608356,135.0146092124959,,,91.73385051880672,77.85003137221123,,
74,UP,,663.59,b'stride0009',b'stance0000',b'stride0008',b'stance0006',,143.33732781058475,84.38030698354076,,,,,,,,,,,,,,1.8170490146977922,,,,,,,,167.6860639421891,132.43709107461711,,,88.57278375561724,76.36981673790415,,
75,UP,,1084.34,b'stride0009',b'stance0000',b'stride0008',b'stride0007',,143.33732781058475,84.38030698354076,222.28175163457126,,,,,,,,,,,,,1.8170490146977922,,,,,,,,178.104273365006,132.1629459064782,,,86.80673923650195,70.3818297624511,,
76,UP,,791.83,b'stride0009',b'stance0000',b'stride0008',b'stride0007',,143.33732781058475,84.38030698354076,222.28175163457126,,,,,,,,,,,,,1.8170490146977922,,,,,,,,173.83754734070047,132.2837861314596,,,88.94960878627103,72.69337554435803,,
77,UP,,530.81,b'stride0009',b'stance0000',b'stride0008',b'stride0007',,143.33732781058475,84.38030698354076,222.28175163457126,,,,,,,,,,,,,1.8170490146977922,,,,,,,,178.04478946518734,132.36184249306447,,,91.80791412463479,73.82084769867686,,
78,UP,,738.04,b'stride0009',b'stance0000',b'stride0008',b'stride0007',,143.33732781058475,84.38030698354076,222.28175163457126,,,,,,,,,,,,,1.8170490146977922,,,,,,,,171.26059207972384,134.48177453733533,,,99.27745217871858,77.6687664782773,,
79,UP,,501.58,b'stride0009',b'stance0000',b'stride0008',b'stride0007',,143.33732781058475,84.38030698354076,222.28175163457126,,,,,,,,,,,,,1.8170490146977922,,,,,,,,173.1575155350989,132.08443378577786,,,112.07525825824659,80.24430989354575,,
80,UP,,1120.5,b'stance0009',b'stance0000',b'stance0008',b'stance0007',,,,,,,,,,,,,,,,,,,,,,,,,168.52691936408098,131.04328367710878,,,121.59683717831943,84.20602353416947,,
81,UP,,657.6,b'stride0010',b'stance0000',b'stride0009',b'stride0008',,,6.153803287132198,13.446624785468321,,,,,,,,,,,,,,,,,,,,,160.43333054351066,132.4930554587982,,,129.64260572318005,87.98419789775743,,
82,UP,,805.01,b'stance0010',b'stance0000',b'stride0009',b'stride0008',,,6.153803287132198,13.446624785468321,,,,,,,,,,,,,,,,,,,,,152.96088646966516,131.98526895360493,,,135.6372173459552,89.9610231571555,,
83,UP,,458.16,b'stance0010',b'stance0000',b'stance0009',b'stride0008',,,,13.446624785468321,,,,,,,,,,,,,,,,,,,,,152.45228226335993,131.7645091806353,,,134.55769383349735,95.72046644931626,,
84,UP,,1138.0,b'stance0010',b'stance0000',b'stance0009',b'stride0008',,,,13.446624785468321,,,,,,,,,,,,,,,,,,,,,151.91079920229737,140.63394605855436,,,127.45612917117134,100.45432354386598,,
85,UP,,1190.93,b'stance0010',b'stance0000',b'stance0009',b'stride0008',,,,13.446624785468321,,,,,,,,,,,,,,,,,,,,,149.75524182257047,149.0895456619347,,,121.47594950245656,95.50404374268507,,
86,UP,,1459.69,b'stance0010',b'stance0000',b'stride0010',b'stride0008',,,,13.446624785468321,,,,,,,,,,,,,,,,,,,,,163.27813968625014,145.139309213868,,,113.21275042306272,99.61170347740156,,
87,UP,,1864.88,b'stance0010',b'stance0000',b'stride0010',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,166.71561273755367,146.42624660626865,,,106.33745166358892,114.25935048130819,,
88,UP,,1491.93,b'stance0010',b'stance0000',b'stance0010',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,154.94246135244336,151.95868681419773,,,101.56437181492277,116.65755787083373,,
89,UP,,1924.45,b'stance0010',b'stance0000',b'stance0010',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,160.11856877654554,160.67644186016625,,,92.66640796859976,117.49224586245978,,
90,UP,,2565.31,b'stance0010',b'stance0000',b'stance0010',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,170.07523602445278,154.40762304167106,,,85.443845328533,122.97402326843991,,
91,UP,,2347.86,b'stance0010',b'stance0000',b'stance0010',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,174.37014400695887,,,,78.25532945546507,,,
92,UP,,1962.93,b'stance0010',b'stance0000',b'stride0011',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,172.40543409316132,151.36508083592273,,,73.37894216085198,148.08173373123768,,
93,UP,,2726.47,b'stance0010',b'stance0000',b'stride0011',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,170.91484752887257,154.2814150147494,,,74.5874610026102,154.23304381239797,,
94,UP,,2130.34,b'stance0010',b'stance0000',b'stance0011',b'stance0008',,,,,,,,,,,,98.11642218830298,,,,,,,,,,,,,175.23786661749838,,,,68.53295086219815,,,
95,UP,,2405.9,b'stance0010',b'stance0000',b'stride0012',b'stride0009',,,,224.83341632035254,,,,,,,,,,,,,,,,,,,,,178.93601209333232,,,,67.96847266311428,,,
96,UP,,2502.56,b'stance0010',b'stance0000',b'stance0012',b'stride0009',,,,224.83341632035254,,,,,,,,,,,,,,,,,,,,,178.13953469498134,,,,64.23588670631628,,,
97,UP,,1456.39,b'stance0010',b'stride0001',b'stride0013',b'stride0009',0.0,,,224.83341632035254,,,,,,,,,,,,,,,,,,,,,160.72368330968212,131.2513678580736,,,65.85339393616374,,,
98,UP,,1536.7,b'stance0010',b'stance0001',b'stance0013',b'stride0009',,,,224.83341632035254,,,,,,,,,,,,,,,,,,,,,160.26210546615542,131.11048579798725,,,67.28735817847702,,,
99,UP,,1454.68,b'stance0010',b'stride0002',b'stride0014',b'stride0009',327.0755263072332,,,224.83341632035254,,,,,,,,,,,,,,7.826418367891868,,,,,,,152.27624254418657,125.52581504982038,,,66.4785094350445,176.92089668977363,,
100,UP,,890.69,b'stance0010',b'stride0002',b'stride0014',b'stance0009',327.0755263072332,,,,,,,,,,,130.6123210739112,,,,,,7.826418367891868,,,,,,,152.8283909405214,,,,65.92382825040745,,,
101,UP,,2394.12,b'stance0010',b'stride0002',b'stance0014',b'stance0009',327.0755263072332,,,,,,,,,,,130.6123210739112,,,,,,7.826418367891868,,,,,,,,,,,65.82331118904385,,,
102,UP,,1429.52,b'stance0010',b'stride0002',b'stride0015',b'stance0009',327.0755263072332,,,,,,,,,,,130.6123210739112,,,,,,7.826418367891868,,,,,,,,,,,68.45175423561018,,,
103,UP,,1914.14,b'stance0010',b'stride0002',b'stride0015',b'stance0009',327.0755263072332,,,,,,,,,,,130.6123210739112,,,,,,7.826418367891868,,,,,,,163.34013487554836,131.91331943720348,,,71.21431180845163,,,
104,UP,,3169.54,b'stance0010',b'stride0002',b'stride0015',b'stance0009',327.0755263072332,,,,,,,,,,,130.6123210739112,,,,,,7.826418367891868,,,,,,,159.2080673812089,132.6933144984278,,,79.31729550204696,,,
105,UP,6.103443475344193,1134.5900000000001,b'stance0010',b'stride0002',b'stride0015',b'stance0009',327.0755263072332,,,,,,,,,,,130.6123210739112,,,,,,7.826418367891868,,,,,,,158.85303908162905,127.79996555600711,,,85.58032717818392,141.13517726884257,,
