,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
0,UP,,132.52,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,132.52,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,508.8,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,76.45,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,102.99,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,108.99,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,268.31,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UP,,188.45,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,,399.59,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UP,,278.3,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UP,,211.82,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UP,,229.64,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UP,,112.69,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UP,,188.86,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,UP,,381.63,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UP,,220.08,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,UP,,241.78,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UP,,329.71,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UP,,360.79,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,UP,,236.08,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UP,,217.37,b'stance0000',b'stance0000',b'stride0001',b'stance0000',,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,UP,,415.21,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,118.59844187062335,,,,,,,,,,,,,,,,,,,,,
22,UP,,238.63,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,118.59844187062335,,,,,,,,,,,,,,,,,,,,,
23,UP,,639.59,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,118.59844187062335,,,,,,,,,,,,,,,,,,,,,
24,UP,,847.39,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,118.59844187062335,,,,,,,,,,,,,,,,,,,,,
25,UP,,353.28,b'stance0000',b'stance0000',b'stance0001',b'stance0000',,,,,,,,,,,118.59844187062335,,,,,,,,,,,,,,,,,,,,,
26,UP,,848.11,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,69.73443842607098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,UP,,675.59,b'stance0000',b'stance0000',b'stride0002',b'stance0000',,,69.73443842607098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,UP,,1199.36,b'stance0000',b'stance0000',b'stance0002',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,UP,,587.31,b'stance0000',b'stance0000',b'stride0003',b'stance0000',,,5.46054797802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,UP,,672.82,b'stance0000',b'stance0000',b'stride0003',b'stance0000',,,5.46054797802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,UP,,602.3,b'stance0000',b'stance0000',b'stride0003',b'stance0000',,,5.46054797802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,UP,,670.03,b'stance0000',b'stance0000',b'stride0003',b'stance0000',,,5.46054797802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,UP,,310.91,b'stance0000',b'stance0000',b'stride0003',b'stance0000',,,5.46054797802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
