,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
0,DOWN,,,b'stride0001',b'stride0001',b'stride0001',b'stance0000',12.460201982368106,6.8851982361440225,8.180826947303819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,,b'stride0001',b'stride0001',b'stride0001',b'stance0000',12.460201982368106,6.8851982361440225,8.180826947303819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,,b'stance0001',b'stride0001',b'stance0001',b'stance0000',12.460201982368106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,,b'stance0001',b'stride0001',b'stride0002',b'stride0001',12.460201982368106,,0.0,16.473518595340764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,,b'stride0002',b'stance0001',b'stance0002',b'stride0001',,107.81275092890871,,16.473518595340764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DOWN,,,b'stride0002',b'stride0002',b'stride0003',b'stride0001',7.715525770074866,107.81275092890871,14.760513862141616,16.473518595340764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DOWN,,,b'stride0002',b'stride0002',b'stride0003',b'stance0001',7.715525770074866,107.81275092890871,14.760513862141616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DOWN,,,b'stride0002',b'stance0002',b'stance0003',b'stride0002',,107.81275092890871,,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DOWN,,,b'stride0002',b'stride0003',b'stride0004',b'stride0002',0.0,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DOWN,,,b'stride0002',b'stance0003',b'stride0004',b'stride0002',,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DOWN,,1945.56,b'stride0002',b'stride0004',b'stride0004',b'stride0002',27.052223821882638,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DOWN,,3114.37,b'stride0002',b'stride0004',b'stride0004',b'stride0002',27.052223821882638,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DOWN,,2492.14,b'stride0002',b'stride0004',b'stride0004',b'stride0002',27.052223821882638,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DOWN,,3506.6,b'stride0002',b'stance0004',b'stride0004',b'stride0002',,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DOWN,,3068.72,b'stride0002',b'stride0005',b'stride0004',b'stride0002',195.7783482130827,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DOWN,,3140.63,b'stride0002',b'stride0005',b'stride0004',b'stride0002',195.7783482130827,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DOWN,,3188.31,b'stride0002',b'stride0005',b'stride0004',b'stride0002',195.7783482130827,107.81275092890871,78.6511310606061,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,DOWN,,3236.89,b'stride0002',b'stride0005',b'stance0004',b'stride0002',195.7783482130827,107.81275092890871,,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DOWN,,2849.87,b'stride0002',b'stride0005',b'stride0005',b'stride0002',195.7783482130827,107.81275092890871,7.253892348006718,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,171.74168900355835,,,,127.0750778761701,,
19,DOWN,,2226.04,b'stride0002',b'stride0005',b'stride0005',b'stride0002',195.7783482130827,107.81275092890871,7.253892348006718,80.84451961467155,,,,,,,,,,,,,,,,,,,,,,166.95260901116802,,,,122.39677193759002,,
20,DOWN,,2531.22,b'stride0002',b'stride0005',b'stance0005',b'stance0002',195.7783482130827,107.81275092890871,,,,,,,,,,,,,,,,,,,,,,,,171.90647588153345,,,,127.48072684956549,,
21,DOWN,,2354.97,b'stance0002',b'stride0005',b'stance0005',b'stance0002',195.7783482130827,,,,,,,,,,,,,,,,,,,,,,,,,176.35189780202919,,,,131.2869015690815,,
22,DOWN,,2115.32,b'stance0002',b'stride0005',b'stride0006',b'stance0002',195.7783482130827,,0.0,,,,,,,,,,,,,,,,,,,,,,,179.25909210032472,,,,139.60506877329124,,
23,DOWN,0.9272367767690957,3084.47,b'stride0003',b'stride0005',b'stance0006',b'stride0003',195.7783482130827,151.23204640047837,,25.50436210915236,,,,,,,,,,,,,,,,,32.146693188694925,,,9.987527260895973,,171.23408639980875,,,,131.1225028747309,,
24,DOWN,,2281.295,b'stride0003',b'stride0005',b'stride0007',b'stride0003',195.7783482130827,151.23204640047837,0.0,25.50436210915236,,,,,,,,,,,,,,,,,32.146693188694925,,,9.987527260895973,,177.92451491269685,,,,136.9103654685265,,
25,DOWN,1.4714940550173907,2236.12,b'stride0003',b'stride0005',b'stance0007',b'stride0003',195.7783482130827,151.23204640047837,,25.50436210915236,,,,,,,,,,,,,,,,,32.146693188694925,,,9.987527260895973,,16.386025268609643,,,,179.89944145066795,,
