,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
0,UP,,3098.14,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,226.3682180858803,,,,,,,,,,,,,,,,,,,,,134.05658511511317,131.16465844304076,,,67.65380402695068,21.13672803795987,,
1,UP,,3098.14,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,226.3682180858803,,,,,,,,,,,,,,,,,,,,,,,,,70.55297940243244,,,
2,UP,,2834.31,b'stance0000',b'stance0000',b'stance0000',b'stride0001',,,,226.3682180858803,,,,,,,,,,,,,,,,,,,,,,,,,73.81929691162239,20.577301872580108,,
3,UP,,2861.55,b'stance0000',b'stance0000',b'stride0001',b'stride0001',,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,153.8464960482067,141.4904848925633,,,78.8314420066895,,,
4,UP,,3208.63,b'stance0000',b'stance0000',b'stride0001',b'stride0001',,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,159.23598154373394,158.670376162674,,,84.02862330302867,9.94425989033175,,
5,UP,,1963.65,b'stance0000',b'stride0001',b'stride0001',b'stride0001',85.21545288625403,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,157.31245506005493,,,,91.7895127703821,,,
6,UP,,2874.53,b'stance0000',b'stride0001',b'stride0001',b'stride0001',85.21545288625403,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,159.07199046088965,,,,95.00042801890193,,,
7,UP,,2637.795,b'stance0000',b'stride0001',b'stride0001',b'stride0001',85.21545288625403,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,14.591643538121701,2533.605,b'stance0000',b'stride0001',b'stride0001',b'stride0001',85.21545288625403,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,155.83368612148615,175.01127320628618,,,112.44124589312,133.20313110561284,,
9,UP,15.627125118144022,2844.13,b'stance0000',b'stride0001',b'stride0001',b'stride0001',85.21545288625403,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,154.47360651355555,178.92444302307723,,,,138.3745796534852,,
10,UP,15.221815430922163,2279.75,b'stance0000',b'stride0001',b'stride0001',b'stride0001',85.21545288625403,,138.2622309459314,226.3682180858803,,,,,,,,,,,,,,,,,,,,,155.27952536932608,170.37843585409496,,,167.80507549905772,136.91466559398583,,
11,UP,,2049.32,b'stance0000',b'stance0001',b'stance0001',b'stance0001',,,,,,,,,,41.84557243617015,129.8849795374944,31.29252747743268,,,,,,,,,,,,,,,,,,134.1240649913989,,
12,UP,,2042.78,b'stance0000',b'stance0001',b'stance0001',b'stance0001',,,,,,,,,,41.84557243617015,129.8849795374944,31.29252747743268,,,,,,,,,,,,,160.56209671853819,167.97888054378686,,,,129.79670463142693,,
13,UP,,2324.66,b'stance0000',b'stance0001',b'stance0001',b'stance0001',,,,,,,,,,41.84557243617015,129.8849795374944,31.29252747743268,,,,,,,,,,,,,156.5849603869164,154.85592242204197,,,,120.86146357087273,,
14,UP,,1931.04,b'stride0001',b'stance0001',b'stance0001',b'stance0001',,0.0,,,,,,,,41.84557243617015,129.8849795374944,31.29252747743268,,,,,,,,,,,,,52.12991062329087,105.83655630596074,,,,113.8914022339376,,
15,UP,,2091.44,b'stance0001',b'stance0001',b'stance0001',b'stance0001',,,,,,,,,,41.84557243617015,129.8849795374944,31.29252747743268,,,,,,,,,,,,,49.130736950479644,99.8268165891843,,,,107.23621407229679,,167.93198339968478
16,UP,,1840.66,b'stride0002',b'stance0001',b'stride0002',b'stance0001',,143.6005450616276,397.2097622097561,,,,,,,41.84557243617015,,31.29252747743268,,,,,3.4545445335414877,,,,,,,,48.14624073012931,97.95264676918075,,,,107.312168282074,,
17,UP,,1726.94,b'stride0002',b'stance0001',b'stride0002',b'stride0002',,143.6005450616276,397.2097622097561,42.00720387813906,,,,,,41.84557243617015,,,,,,,3.4545445335414877,,,,,,,,143.6758939660504,144.34246335106633,,,,104.5754633450759,,
18,UP,,1559.99,b'stride0002',b'stance0001',b'stride0002',b'stride0002',,143.6005450616276,397.2097622097561,42.00720387813906,,,,,,41.84557243617015,,,,,,,3.4545445335414877,,,,,,,,136.14521961678122,144.19842157205431,,,,103.81051349317926,,
19,UP,,1931.23,b'stride0002',b'stance0001',b'stride0002',b'stride0002',,143.6005450616276,397.2097622097561,42.00720387813906,,,,,,41.84557243617015,,,,,,,3.4545445335414877,,,,,,,,145.83168528878204,142.0991766816478,,,,102.25374782863847,,
20,UP,,1682.81,b'stride0002',b'stance0001',b'stance0002',b'stance0002',,143.6005450616276,,,,,,,,41.84557243617015,136.4721516863477,,,,,,3.4545445335414877,,,,,,,,139.86387489166762,136.62831750523753,,,,101.78089377845399,,
21,UP,,2152.045,b'stride0002',b'stance0001',b'stance0002',b'stride0003',,143.6005450616276,,0.0,,,,,,41.84557243617015,136.4721516863477,,,,,,3.4545445335414877,,,,,,,,140.21841871200263,140.22055241661386,,,,102.56428769187904,,
22,UP,15.612175068572668,1514.77,b'stance0002',b'stance0001',b'stance0002',b'stance0003',,,,,,,,,,41.84557243617015,136.4721516863477,107.98051465392369,,,,,,,,,,,,,142.77938180744252,141.24289925378054,173.858723176805,,,99.69573774849464,,
23,UP,15.792751575666813,1572.95,b'stride0003',b'stance0001',b'stance0002',b'stance0003',,467.36620202045566,,,155.34646419191813,,,,,41.84557243617015,136.4721516863477,107.98051465392369,,,,,5.9512155463870595,,,,,,,,132.05733569319267,136.76705880540945,175.6474303627617,,164.8829167083526,100.49021441106966,,
24,UP,,1549.9450000000002,b'stride0003',b'stance0001',b'stance0002',b'stance0003',,467.36620202045566,,,,,,,,41.84557243617015,136.4721516863477,107.98051465392369,,,,,5.9512155463870595,,,,,,,,135.61366072247984,136.35670818172065,,,,101.07218825954986,,27.63077242063497
25,UP,15.391646807783275,1897.09,b'stride0003',b'stance0001',b'stance0002',b'stance0003',,467.36620202045566,,,151.21640527131692,,,,,41.84557243617015,136.4721516863477,107.98051465392369,,,,,5.9512155463870595,,,,,,,,139.9492313575024,139.81151691024897,159.591119556492,21.340684879559888,161.81958515726595,99.33824893453739,,78.2824720064629
26,UP,13.549034469512605,2496.6850000000004,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,147.56451115233628,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,145.62902336690382,131.69946771435275,162.20315464067014,,,98.62747604291854,,
27,UP,13.612387595987542,2103.16,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,147.02535229588162,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,152.8836209140342,139.19170775765417,163.72734798886816,,,97.42609515310795,,
28,UP,12.568753546592546,1565.0349999999999,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,149.64985456334873,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,142.02461068043505,140.532064360496,162.62279195121778,,,98.01552522803776,,
29,UP,11.241929937668885,1933.585,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,146.87926012849329,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,140.98388832532652,144.76502135077317,148.15238934929377,,,101.72784989172591,76.14189503916958,
30,UP,10.337457517858951,1980.6,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,144.6456919860194,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,140.07448622474493,142.8016287480644,,,,98.69685398413351,,
31,UP,,1003.065,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,144.25566546856098,143.71679864868187,,,,102.19613236381299,171.2347144974046,
32,UP,7.107160537384715,2396.31,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,134.9584016987125,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,136.85195020880371,140.57002727928582,35.06596097036305,,,101.51232461253751,176.0474107361912,
33,UP,,1546.295,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,140.68644073669475,,,,,,165.76933636296195,
34,UP,4.070620305529701,3412.575,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,120.43309601239201,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,144.3266904946827,148.59554444879456,33.4415818970304,,,109.67520763790881,,
35,UP,2.2598170450444854,2435.43,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,113.5682179480404,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,144.66654829697575,146.73057726097795,36.018429070485894,163.62246391050377,,109.03862174489596,15.933021299642604,93.6330640957469
36,UP,0.7882834180539078,2627.485,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,106.98965981230714,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,,,56.046273768712,,,,84.65519112365014,
37,UP,1.1013064672865767,3612.085,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,102.23519221881891,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,,,58.75989433646248,,,,91.49401277671969,
38,UP,,2647.4,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,,,43.667369401276204,,,,125.65497185198215,
39,UP,3.0682085102558574,2814.37,b'stride0003',b'stance0001',b'stride0003',b'stance0003',,467.36620202045566,279.5377329942756,,26.126497136639443,,,,,41.84557243617015,,107.98051465392369,,,60.65335402998126,,5.9512155463870595,,7.419755445964851,,,,-45.17498598689224,,,,53.36697260994957,156.2105912876036,,,124.44221804736654,108.47314112805446
