,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,,142.43,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,142.43,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,239.29,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,73.69,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,150.31,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DOWN,,131.49,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DOWN,,153.7,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DOWN,,433.57,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DOWN,,319.29,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DOWN,,114.68,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DOWN,,308.74,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DOWN,,295.41,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DOWN,,233.39,b'nan',b'stance0001',b'nan',b'nan',,,,,,,,,,150.7786816625941,,,,,,,,,,,,,,,,,,,,,,15.430721226955555,33.732138521099145,26.06490734114982,,,,,,
13,DOWN,,150.25,b'nan',b'stance0001',b'swing0001',b'swing0001',,,3.2933285721370096,18.6351796212072,,,,,,150.7786816625941,,,,,,,,,,,,,,,,,,,,,,15.430721226955555,33.732138521099145,26.06490734114982,,,,,,
14,DOWN,,333.07,b'nan',b'stance0001',b'swing0001',b'swing0001',,,3.2933285721370096,18.6351796212072,,,,,,150.7786816625941,,,,,,,,,,,,,,,,,,,,,,15.430721226955555,33.732138521099145,26.06490734114982,,,,,,
15,DOWN,,249.76,b'nan',b'stance0001',b'swing0001',b'swing0001',,,3.2933285721370096,18.6351796212072,,,,,,150.7786816625941,,,,,,,,,,,,,,,,,,,,,,15.430721226955555,33.732138521099145,26.06490734114982,,,,,,
16,DOWN,,270.31,b'nan',b'stance0001',b'swing0001',b'swing0001',,,3.2933285721370096,18.6351796212072,,,,,,150.7786816625941,,,,,,,,,,,,,,,,,,,,,,15.430721226955555,33.732138521099145,26.06490734114982,,,,,,
17,DOWN,,164.14,b'nan',b'stance0001',b'swing0001',b'swing0001',,,3.2933285721370096,18.6351796212072,,,,,,150.7786816625941,,,,,,,,,,,,,,,,,,,,,,15.430721226955555,33.732138521099145,26.06490734114982,,,,,,
18,DOWN,,419.82,b'nan',b'swing0001',b'swing0001',b'swing0001',4.39521354168262,,3.2933285721370096,18.6351796212072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DOWN,,243.73,b'stance0001',b'swing0001',b'swing0001',b'swing0001',4.39521354168262,,3.2933285721370096,18.6351796212072,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,,,,,,
20,DOWN,,232.35,b'stance0001',b'swing0001',b'swing0001',b'swing0001',4.39521354168262,,3.2933285721370096,18.6351796212072,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,,,,,,
21,DOWN,,556.76,b'stance0001',b'swing0001',b'swing0001',b'swing0001',4.39521354168262,,3.2933285721370096,18.6351796212072,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,,,,,,
22,DOWN,,853.41,b'stance0001',b'swing0001',b'swing0001',b'swing0001',4.39521354168262,,3.2933285721370096,18.6351796212072,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,,,,,,
23,DOWN,,647.23,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
24,DOWN,,1109.22,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
25,DOWN,,398.51,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
26,DOWN,,1401.47,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
27,DOWN,,600.7,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
28,DOWN,,728.02,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
29,DOWN,,558.05,b'stance0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83640704598533,1.0832723729468903,1.7045991951962067,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
30,DOWN,,562.85,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
31,DOWN,,758.68,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
32,DOWN,,402.91,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
33,DOWN,,594.33,b'swing0001',b'swing0001',b'stance0001',b'stance0001',4.39521354168262,5.162584506297503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.88821533708535,4.371877486393306,32.63075271799997,52.18280004230869,5.410346191020429,39.34843199553327
