,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,UP,,,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UP,,,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UP,,,b'stance0000',b'stance0000',b'stance0000',b'stance0000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UP,,,b'stance0000',b'stance0000',b'stride0001',b'stride0001',,,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UP,,,b'stride0001',b'stance0000',b'stride0001',b'stride0001',,5.434902556735264,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UP,,,b'stride0001',b'stride0001',b'stride0001',b'stride0001',142.47345867710024,5.434902556735264,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UP,,,b'stride0001',b'stride0001',b'stride0001',b'stride0001',142.47345867710024,5.434902556735264,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UP,,,b'stance0001',b'stride0001',b'stride0001',b'stride0001',142.47345867710024,,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UP,,,b'stride0002',b'stride0001',b'stride0001',b'stride0001',142.47345867710024,144.78601881677503,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UP,,,b'stride0002',b'stride0001',b'stride0001',b'stride0001',142.47345867710024,144.78601881677503,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,UP,,,b'stance0002',b'stride0001',b'stride0001',b'stride0001',142.47345867710024,,0.14992408441245367,0.09183999453143557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71166327018914,8.600264405941852,13.962348845618786,,,,,,,,,
11,UP,,,b'stance0002',b'stride0001',b'stride0001',b'stance0001',142.47345867710024,,0.14992408441245367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71166327018914,8.600264405941852,13.962348845618786,,,,,,,,,
12,UP,,,b'stance0002',b'stride0001',b'stride0001',b'stride0002',142.47345867710024,,0.14992408441245367,1025.4662133322938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71166327018914,8.600264405941852,13.962348845618786,,,,,,,,,
13,UP,,,b'stance0002',b'stance0001',b'stride0001',b'stride0002',,,0.14992408441245367,1025.4662133322938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71166327018914,8.600264405941852,13.962348845618786,,,,,,,,,
14,UP,,,b'stance0002',b'stance0001',b'stance0001',b'stance0002',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71166327018914,8.600264405941852,13.962348845618786,,,,,,,,,
15,UP,,,b'stance0002',b'stance0001',b'stance0001',b'stride0003',,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71166327018914,8.600264405941852,13.962348845618786,,,,,,,,,
16,UP,,,b'stance0002',b'stance0001',b'stance0001',b'stance0003',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71166327018914,8.600264405941852,13.962348845618786,,,,,,,,,
17,UP,,,b'stride0003',b'stride0002',b'stride0002',b'stride0004',0.0,0.3876744416045112,1292.0035677412363,10.066129005666179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UP,,,b'stride0003',b'stance0002',b'stride0002',b'stride0004',,0.3876744416045112,1292.0035677412363,10.066129005666179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,UP,,,b'stride0003',b'stride0003',b'stance0002',b'stride0004',0.0,0.3876744416045112,,10.066129005666179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.364066917140494,15.684184590425916,60.41342231684528,,,
20,UP,,,b'stride0003',b'stance0003',b'stance0002',b'stance0004',,0.3876744416045112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78721225994004,25.88303718369005,85.85880402930228,3.364066917140494,15.684184590425916,60.41342231684528,,,
21,UP,,,b'stance0003',b'stance0003',b'stance0002',b'stance0004',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78721225994004,25.88303718369005,85.85880402930228,3.364066917140494,15.684184590425916,60.41342231684528,,,
22,UP,,,b'stance0003',b'stance0003',b'stance0002',b'stance0004',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78721225994004,25.88303718369005,85.85880402930228,3.364066917140494,15.684184590425916,60.41342231684528,,,
23,UP,,,b'stride0004',b'stance0003',b'stance0002',b'stance0004',,22.94781691672854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78721225994004,25.88303718369005,85.85880402930228,3.364066917140494,15.684184590425916,60.41342231684528,,,
24,UP,,,b'stride0004',b'stance0003',b'stance0002',b'stride0005',,22.94781691672854,,5.745030408155549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78721225994004,25.88303718369005,85.85880402930228,3.364066917140494,15.684184590425916,60.41342231684528,,,
25,UP,,,b'stride0004',b'stance0003',b'stance0002',b'stride0005',,22.94781691672854,,5.745030408155549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78721225994004,25.88303718369005,85.85880402930228,3.364066917140494,15.684184590425916,60.41342231684528,,,
26,UP,,,b'stride0004',b'stride0004',b'stance0002',b'stride0005',226.7859081227545,22.94781691672854,,5.745030408155549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.364066917140494,15.684184590425916,60.41342231684528,,,
27,UP,,,b'stride0004',b'stride0004',b'stride0003',b'stride0005',226.7859081227545,22.94781691672854,0.0,5.745030408155549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,UP,,,b'stride0004',b'stride0004',b'stance0003',b'stride0005',226.7859081227545,22.94781691672854,,5.745030408155549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.294976188104141,30.68524146508228,40.25282672805459,,,
29,UP,,,b'stride0004',b'stride0004',b'stance0003',b'stance0005',226.7859081227545,22.94781691672854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.294976188104141,30.68524146508228,40.25282672805459,,,
30,UP,,,b'stance0004',b'stride0004',b'stance0003',b'stance0005',226.7859081227545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.294976188104141,30.68524146508228,40.25282672805459,,,
31,UP,,,b'stride0005',b'stance0004',b'stance0003',b'stance0005',,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.294976188104141,30.68524146508228,40.25282672805459,,,
32,UP,,,b'stance0005',b'stance0004',b'stance0003',b'stance0005',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.294976188104141,30.68524146508228,40.25282672805459,,,
33,UP,,,b'stance0005',b'stance0004',b'stance0003',b'stride0006',,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.294976188104141,30.68524146508228,40.25282672805459,,,
34,UP,,,b'stance0005',b'stride0005',b'stride0004',b'stance0006',0.0,,0.22830587327540391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,UP,,,b'stride0006',b'stance0005',b'stride0004',b'stance0006',,238.55858788277365,0.22830587327540391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,UP,,,b'stride0006',b'stride0006',b'stride0004',b'stance0006',1143.151500561929,238.55858788277365,0.22830587327540391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,UP,,,b'stride0006',b'stride0006',b'stance0004',b'stride0007',1143.151500561929,238.55858788277365,,1271.7556871723968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.170497671668873,9.973615505846132,24.850739183417602,,,
38,UP,,,b'stride0006',b'stride0006',b'stance0004',b'stride0007',1143.151500561929,238.55858788277365,,1271.7556871723968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.170497671668873,9.973615505846132,24.850739183417602,,,
39,UP,,,b'stance0006',b'stride0006',b'stance0004',b'stride0007',1143.151500561929,,,1271.7556871723968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.170497671668873,9.973615505846132,24.850739183417602,,,
40,UP,,,b'stance0006',b'stride0006',b'stance0004',b'stance0007',1143.151500561929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.170497671668873,9.973615505846132,24.850739183417602,,,
41,UP,,,b'stance0006',b'stride0006',b'stance0004',b'stride0008',1143.151500561929,,,1283.7732749912461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.170497671668873,9.973615505846132,24.850739183417602,,,
42,UP,,,b'stance0006',b'stride0006',b'stance0004',b'stride0008',1143.151500561929,,,1283.7732749912461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.170497671668873,9.973615505846132,24.850739183417602,,,
43,UP,,,b'stride0007',b'stride0006',b'stance0004',b'stride0008',1143.151500561929,0.0,,1283.7732749912461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.170497671668873,9.973615505846132,24.850739183417602,,,
44,UP,,,b'stance0007',b'stride0006',b'stride0005',b'stride0008',1143.151500561929,,1277.813735006664,1283.7732749912461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,UP,,,b'stride0008',b'stride0006',b'stride0005',b'stride0008',1143.151500561929,98.59890110893865,1277.813735006664,1283.7732749912461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,UP,,,b'stride0008',b'stride0006',b'stride0005',b'stride0008',1143.151500561929,98.59890110893865,1277.813735006664,1283.7732749912461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,UP,,,b'stride0008',b'stride0006',b'stride0005',b'stance0008',1143.151500561929,98.59890110893865,1277.813735006664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,UP,,,b'stride0008',b'stride0006',b'stride0005',b'stride0009',1143.151500561929,98.59890110893865,1277.813735006664,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,UP,,,b'stride0008',b'stride0006',b'stance0005',b'stride0009',1143.151500561929,98.59890110893865,,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,UP,,,b'stance0008',b'stride0006',b'stride0006',b'stride0009',1143.151500561929,,116.1057832060611,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,UP,,,b'stride0009',b'stance0006',b'stride0006',b'stride0009',,5.868717734466644,116.1057832060611,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,UP,,,b'stride0009',b'stride0007',b'stride0006',b'stride0009',0.0,5.868717734466644,116.1057832060611,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,UP,,,b'stance0009',b'stance0007',b'stride0006',b'stride0009',,,116.1057832060611,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2891781421153,39.44167214395325,35.65837616333922,,,,,,,,,
54,UP,,,b'stance0009',b'stride0008',b'stride0006',b'stride0009',0.0,,116.1057832060611,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2891781421153,39.44167214395325,35.65837616333922,,,,,,,,,
55,UP,,,b'stance0009',b'stance0008',b'stride0006',b'stride0009',,,116.1057832060611,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2891781421153,39.44167214395325,35.65837616333922,,,,,,,,,
56,UP,,,b'stance0009',b'stride0009',b'stance0006',b'stride0009',346.3295952743407,,,1044.1943512431103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2891781421153,39.44167214395325,35.65837616333922,,,,,,,,,
