,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,,3098.14,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,134.05658511511317,131.16465844304076,,,,,,,,,,,,,,
1,DOWN,,3098.14,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,2834.31,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,2861.55,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,153.8464960482067,141.4904848925633,,,,,,,,,,,,,,
4,DOWN,,3208.63,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,159.23598154373394,158.670376162674,,,,,,,,,,,,,,
5,DOWN,,1963.65,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,157.31245506005493,,,,,,,,,,,,,,,
6,DOWN,,2874.53,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,159.07199046088965,,,,,,,,,,,,,,,
7,DOWN,,2637.795,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DOWN,14.591643538121701,2533.605,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,155.83368612148615,175.01127320628618,,,,,,,,,,,,,,
9,DOWN,15.627125118144022,2844.13,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,154.47360651355555,178.92444302307723,,,,,,,,,,,,,,
10,DOWN,15.221815430922163,2279.75,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,155.27952536932608,170.37843585409496,,,,,,,,,,,,,,
11,DOWN,,2049.32,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DOWN,,2042.78,b'nan',b'swing0001',b'nan',b'nan',221.38158452493772,,,,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,160.56209671853819,167.97888054378686,,,,,,,,,,,,,,
13,DOWN,,2324.66,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,156.5849603869164,154.85592242204197,,,,,,,,,,,,,,
14,DOWN,,1931.04,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,52.12991062329087,105.83655630596074,,,,,,,,,,,,,,
15,DOWN,,2091.44,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,49.130736950479644,99.8268165891843,,,,,,,,,,,,,,
16,DOWN,,1840.66,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,48.14624073012931,97.95264676918075,,,,,,,,,,,,,,
17,DOWN,,1726.94,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,143.6758939660504,144.34246335106633,,,,,,,,,,,,,,
18,DOWN,,1559.99,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,136.14521961678122,144.19842157205431,,,,,,,,,,,,,,
19,DOWN,,1931.23,b'nan',b'swing0001',b'nan',b'swing0001',221.38158452493772,,,335.60331237116617,,,,,,,,,,49.80520495274058,,,,88.61742352781033,,,,,,,145.83168528878204,142.0991766816478,,,,,,,,,,,,,,
