,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,,1260.71,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DOWN,,1260.71,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DOWN,,1026.55,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOWN,,1388.46,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOWN,,1664.88,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,166.426597090578,,,,,,,,,,,,,,
5,DOWN,,1211.35,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,171.81707676741684,,,,,,,,,,,,,,
6,DOWN,,911.0,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,159.17992592358874,,,,,,,,,,,,,,
7,DOWN,,1195.72,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,163.72829081391012,,,,,,,,,,,,,,
8,DOWN,,1591.82,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,175.53756915759115,,,,,,,,,,,,,,
9,DOWN,,1603.75,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,177.76617844647862,,,,,,,,,,,,,,
10,DOWN,,619.0,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,167.9058661777491,,,,,,,,,,,,,,
11,DOWN,,1466.76,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,167.75107354927587,,,,,,,,,,,,,,
12,DOWN,,1486.0,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,162.94805454567611,,,,,,,,,,,,,,
13,DOWN,,1442.98,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,158.90054252103877,,,,,,,,,,,,,,
14,DOWN,,1575.21,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,156.85719714045422,,,,,,,,,,,,,,
15,DOWN,,836.83,b'nan',b'nan',b'nan',b'nan',,,,,,,,,,,,,,,,,,,,,,,,,,154.7544316037296,,,,,,,,,,,,,,
16,DOWN,,1552.7,b'stance0001',b'nan',b'nan',b'nan',,,,,,,,,145.81527351836453,,,,,,,,,,,,,,,,,152.2099846493208,,,27.969423752632917,11.586941289591572,33.22136361050801,,,,,,,,,
17,DOWN,,1591.92,b'stance0001',b'nan',b'nan',b'nan',,,,,,,,,145.81527351836453,,,,,,,,,,,,,,,,148.8877636727901,148.74839911780848,,,27.969423752632917,11.586941289591572,33.22136361050801,,,,,,,,,
18,DOWN,,1068.83,b'stance0001',b'nan',b'nan',b'nan',,,,,,,,,145.81527351836453,,,,,,,,,,,,,,,,152.90305573366973,151.54975657771752,,,27.969423752632917,11.586941289591572,33.22136361050801,,,,,,,,,
19,DOWN,,1274.87,b'stance0001',b'nan',b'nan',b'nan',,,,,,,,,145.81527351836453,,,,,,,,,,,,,,,,153.81104568212987,145.31281170573843,,,27.969423752632917,11.586941289591572,33.22136361050801,,,,,,,,,
20,DOWN,,1272.5,b'stance0001',b'nan',b'nan',b'nan',,,,,,,,,145.81527351836453,,,,,,,,,,,,,,,,145.05781801253053,151.87467224252913,,,27.969423752632917,11.586941289591572,33.22136361050801,,,,,,,,,
