,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,mid_stance_toe_angles_mean_fl_ti-fl_ti1,mid_stance_toe_angles_mean_fl_ti1-fl_tm,mid_stance_toe_angles_mean_fl_tm-fl_to1,mid_stance_toe_angles_mean_fr_ti-fr_ti1,mid_stance_toe_angles_mean_fr_ti1-fr_tm,mid_stance_toe_angles_mean_fr_tm-fr_to1,mid_stance_toe_angles_mean_hr_ti-hr_ti1,mid_stance_toe_angles_mean_hr_ti1-hr_tm,mid_stance_toe_angles_mean_hr_tm-hr_to1,mid_stance_toe_angles_mean_hl_ti-hl_ti1,mid_stance_toe_angles_mean_hl_ti1-hl_tm,mid_stance_toe_angles_mean_hl_tm-hl_to1
0,DOWN,2.0007898832194355,1564.0749999999998,b'stance0000',b'stance0000',b'stride0001',b'stride0001',,,8.51638340647367,332.52544564845687,,,56.3664826969551,,,,,,,,,,,,,,,,,,,,171.31484476399527,,,,107.93474203262583,,,,,,,,,,,,,
1,DOWN,1.4158797456337018,1564.0749999999998,b'stance0000',b'stance0000',b'stride0001',b'stride0001',,,8.51638340647367,332.52544564845687,,,59.06607479638278,,,,,,,,,,,,,,,,,,,,170.69074355952955,,,,113.21178670062098,,,,,,,,,,,,,
2,DOWN,1.0405835374973396,992.29,b'stance0000',b'stance0000',b'stride0001',b'stance0001',,,8.51638340647367,,,,58.126273693460476,,,,,,,,,,,,,,,,,,,,164.20749763153947,,,,117.21221468203434,,,,,,,,,,,,,
3,DOWN,1.8246135010021898,1387.4450000000002,b'stance0000',b'stance0000',b'stance0001',b'stride0002',,,,435.5014546899769,,,,,,,63.25992263053928,,,,,,,,,,,,,,,,170.22104784400176,,,,119.51602709553322,,,,,,,,40.76411954798991,18.032585913701496,26.5721276749055,,,
4,DOWN,3.128846805688508,1150.365,b'stance0000',b'stance0000',b'stance0001',b'stride0002',,,,435.5014546899769,,,,,,,63.25992263053928,,,,,,,,,,,,,,,,168.79145591695817,,,,125.31387839054872,,,,,,,,40.76411954798991,18.032585913701496,26.5721276749055,,,
5,DOWN,4.410809249614092,1146.54,b'stride0001',b'stance0000',b'stance0001',b'stride0002',,425.55718542381067,,435.5014546899769,,,,,,,63.25992263053928,,,,,,,,,,,,,,,,167.9386473458583,,,,128.7932537986103,,,,,,,,40.76411954798991,18.032585913701496,26.5721276749055,,,
6,DOWN,4.639353619695239,1597.72,b'stride0001',b'stance0000',b'stance0001',b'stride0002',,425.55718542381067,,435.5014546899769,,,,,,,63.25992263053928,,,,,,,,,,,,,,,16.528972891888543,176.8573320731087,,,108.10360806380294,136.03304225734476,,,,,,,,40.76411954798991,18.032585913701496,26.5721276749055,,,
7,DOWN,5.4169567024635805,1105.35,b'stride0001',b'stance0000',b'stance0001',b'stride0002',,425.55718542381067,,435.5014546899769,,,,,,,63.25992263053928,,,,,,,,,,,,,,,3.546849513110402,173.4409824343451,,,106.89710116902934,136.4617118403003,,,,,,,,40.76411954798991,18.032585913701496,26.5721276749055,,,
8,DOWN,5.182275908130808,1456.48,b'stance0001',b'stance0000',b'stance0001',b'stride0002',,,,435.5014546899769,,,,,,,63.25992263053928,,,,,,,,,,,,,,,,169.3889610869428,,,,134.87494147153944,,,,,,,,40.76411954798991,18.032585913701496,26.5721276749055,,,
9,DOWN,5.865223753387153,1562.795,b'stance0001',b'stride0001',b'stance0001',b'stride0002',0.0,,,435.5014546899769,,,,,,,63.25992263053928,,,,,,,,,,,,,,,,179.5342720791151,,,,137.99906208829879,,,,,,,,40.76411954798991,18.032585913701496,26.5721276749055,,,
