,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL,fl_ti-fl_ti1,fl_ti1-fl_tm,fl_tm-fl_to1,fl_to1-fl_to,fr_ti-fr_ti1,fr_ti1-fr_tm,fr_tm-fr_to1,fr_to1-fr_to,hr_ti-hr_ti1,hr_ti1-hr_tm,hr_tm-hr_to1,hr_to1-hr_to,hl_ti-hl_ti1,hl_ti1-hl_tm,hl_tm-hl_to1,hl_to1-hl_to
0,b'UP',,,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,418.95894849923155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.520673455361418,2.892548950794833,47.70692141052448,41.47096146384558,0.6579124450980249,0.899349548435899,45.8022247569945,1.61509394339561,62.98648589746958,89.06046857892424,0.020471441188543438,54.532136446291304,82.15512944149208,0.0434379054855734,19.456438708632476,0.07363099002060416
1,b'UP',,,b'stride0001',b'stance0000',b'stance0000',b'stance0000',,418.95894849923155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.028262670150525,1.6670681173726452,83.71012456212523,84.77698182749303,23.603547936378646,0.9163750102223476,45.637429773499065,1.6385714014000061,11.659946015951745,85.28393507277745,0.034028198800938145,54.51136085544428,43.90413378611001,2.8715480578518284,19.42892670258149,0.06640633422567069
2,b'UP',,,b'stance0001',b'stance0000',b'stride0001',b'stance0000',,,136.0618408557983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.760781563673106,0.704023513695151,1.388820536718917,1.0125453062673713,73.86986452206486,0.07490179854236188,52.43696084571508,2.0059511304650917,10.033436399216688,57.40161837403065,21.124654985666385,59.71318270490238,37.72571504157037,84.75848444329787,19.485856503319877,0.055053635636344696
3,b'UP',,,b'stance0001',b'stride0001',b'stride0001',b'stance0000',6.254595512444526,,136.0618408557983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.03542620039394,1.4278006725340406,83.59044194115721,84.6617648298258,0.8142720178501759,1.0073688557602427,2.1306261328416154,39.58852420995033,63.96412403623221,87.9205439051984,0.025076380127113,54.042182372665266,40.83165030860215,19.485248266705398,0.005581693553736278,0.07698596382156724
4,b'UP',,354.3,b'stride0002',b'stride0001',b'stride0001',b'stance0000',6.254595512444526,420.6769345766582,136.0618408557983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.77484763467328,0.6889815753367912,29.09324665212157,29.413422851557726,15.34012661855341,0.1937759659158842,31.27335455345508,48.93922362829406,10.187549399903647,49.07960907701273,30.1811770336788,61.34594028968189,44.24587067574062,57.26303001402782,29.39207664640985,29.499200230643382
5,b'UP',,128.96,b'stride0002',b'stride0001',b'stride0001',b'stance0000',6.254595512444526,420.6769345766582,136.0618408557983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.566374511701952,2.8963168460227884,47.55838362673898,41.413390787463605,25.031687323975603,1.1731048327520348,1.0213157098764194,43.67485553488504,8.238138447542163,35.87692816727551,0.023761785250908572,54.44843900820011,40.620893713122086,19.461182386621285,0.012671621161508889,0.07534337409680451
6,b'UP',,99.36,b'stance0002',b'stance0001',b'stance0001',b'stride0001',,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01957576593222546,3.2045714388534607,3.6907484644781143,0.8958380581389485,17.601292853025484,56.029107757302754,52.88952404501795,1.5968315284654033,28.699576837518016,85.18117474887028,19.712339321648034,43.20473911887308,46.17516856974281,88.94072477140799,0.38778855402106166,18.105266016472772
7,b'UP',,245.83,b'stride0003',b'stance0001',b'stride0002',b'stance0001',,1.528549835227792,135.534603350302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.752295643979195,0.6547969293945062,84.90263915925205,85.23569226331999,24.01761153595612,0.6979664431294829,2.4605997424941606,41.574432695092696,8.54307840086206,49.84741014006552,30.14611586676264,59.71546323520238,38.07587713393638,52.16140777266645,0.23714323898173822,11.462196472648738
8,b'UP',,130.45,b'stride0003',b'stance0001',b'stride0002',b'stance0001',,1.528549835227792,135.534603350302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.473065616864915,2.8927834656972995,4.566905066105862,1.554744933761625,24.798290239705523,1.0440675310362124,1.724101672243762,42.70881886935118,43.89463532244403,88.7211017422613,0.009649470703034848,55.16962067606394,46.704707037076744,88.68872309442793,19.337231762669965,0.07538838506678963
9,b'UP',,188.37,b'stride0003',b'stride0002',b'stance0002',b'stance0001',233.54685747104966,1.528549835227792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.87786888554183,0.6574136278568008,1.3357153700075575,1.0125968852834148,28.497722764183635,61.02631298542685,62.9483580679852,23.966497126920814,26.159575393970385,84.82972679561085,21.752687678576752,43.08669863927531,45.272283160843784,87.6220547636116,2.270871432236686,21.724929013561127
